no_cue,no_target,type,cue_type,target_type,no_cosine
gripe,å fange,related,word,word,
spinal,abdominal,related,word,word,
latterlig,absurd,related,word,word,0.472988731737933
ledelse,administrativ,related,word,word,0.238073153955838
hormon,adrenalin,related,word,word,0.394257596199711
nummer,adresse,related,word,word,0.425400257991394
privilegium,ære,related,word,word,0.416257485401136
skikkelig,ærlig,related,word,word,0.280077627584584
lojalitet,ærlighet,related,word,word,0.554811200708893
felle,agn,related,word,word,0.342806778875485
stemme,aksent,related,word,word,0.340313876436208
nekte,akseptere,related,word,word,0.359291141869278
avtrekker,aktivere,related,word,word,0.233345825981668
aktiv,aktivitet,related,word,word,0.460226375473976
advokat,aktor,related,word,word,0.462442156212148
varsling,alarm,related,word,word,0.350481997968276
motiv,alibi,related,word,word,0.488404635551681
bravo,alfa,related,word,word,0.439530264231201
valg,alternativ,related,word,word,0.391711340217365
afrika,amerika,related,word,word,0.42566815608853
autopsi,analyse,related,word,word,
gås,and,related,word,word,0.215223848238893
sjel,ånd,related,word,word,0.404216919221491
invasjon,angrep,related,word,word,0.411907503178029
offer,angriperen,related,word,word,0.208809038703288
klage,anklage,related,word,word,0.463405181580283
lignende,annerledes,related,word,word,0.178290445209033
konklusjon,antagelse,related,word,word,0.381384266449023
helt klart,åpenbart,related,word,word,
jobb,arbeid,related,word,word,0.525676154272751
bonde,arbeider,related,word,word,0.148442843624744
ingeniør,arkitekt,related,word,word,0.361446099419145
våpenlager,våpenkammer,related,word,word,0.576591955231733
tatovering,arr,related,word,word,0.336886596811187
straffe,arrestere,related,word,word,0.331079015459518
uvitenhet,arroganse,related,word,word,0.420187438021777
årsaken,begrunnelse,related,word,word,0.317987766135328
blodåre,arterie,related,word,word,0.495444792337851
kavaleri,artilleri,related,word,word,0.54431717666685
arv,arve,related,word,word,0.564359739968298
leiesoldat,snikmorder,related,word,word,0.479264119115804
brukerstøtte,assistanse,related,word,word,
sekretær,assistent,related,word,word,0.47136321940423
hjelp,assistere,related,word,word,0.299444641308525
hva,at,related,word,word,0.445834018297961
stillehavet,atlanterhavet,related,word,word,0.588816766586967
miljø,atmosfære,related,word,word,0.352589233614338
jurisdiksjon,autoritet,related,word,word,0.424598967844796
ankomst,avgang,related,word,word,0.430548719955548
artikkel,avis,related,word,word,0.440669206844719
oppsigelse,avskjedigelse,related,word,word,0.665780052143296
seksjon,avsnitt,related,word,word,0.28530802259851
kontrakt,avtale,related,word,word,0.5137563523853
ristet brød,bacon,related,word,word,
dusj,baderom,related,word,word,0.365268164117128
eske,bag,related,word,word,0.284125165197309
hjørne,bakgate,related,word,word,0.297578833258217
forside,bakside,related,word,word,0.484285545180381
orkester,band,related,word,word,0.403074596208551
planet,sirklingsbane,related,word,word,
klubb,bar,related,word,word,0.408768204884225
baby,barn,related,word,word,0.423244908485776
ungdom,barndom,related,word,word,0.299085258300921
stadion,baseball,related,word,word,0.316384521973566
undervannsbåt,båt,related,word,word,0.433925878688396
regiment,bataljon,related,word,word,0.489128994425038
supermann,batman,related,word,word,0.426130507498256
kreve,be om,related,word,word,
konspirasjon,bedrageri,related,word,word,0.378826170871213
fenomen,begivenhet,related,word,word,0.283546854459334
grave,begrave,related,word,word,0.607972223553967
kiste,begravelse,related,word,word,0.455338131368737
terapi,behandling,related,word,word,0.423723857973681
holde,beholde,related,word,word,0.448821463825512
bekreftelse,bekrefte,related,word,word,0.725642130101684
sjekke,bekrefte,related,word,word,0.274458250903284
bekymring,bekymre,related,word,word,0.462346779043108
bonus,belønning,related,word,word,0.445566424093315
sum,beløp,related,word,word,0.469877053230844
eksepsjonell,bemerkelsesverdig,related,word,word,0.441238154155165
populær,berømt,related,word,word,0.385703873861299
advarsel,beskjed,related,word,word,0.366524765849566
ydmyk,beskjeden,related,word,word,0.231776423231858
profil,beskrivelse,related,word,word,0.358595176239872
mot,besluttsomhet,related,word,word,0.259829866226527
bestefar,bestemor,related,word,word,0.594781434996078
betydningsfull,betydning,related,word,word,0.694205433851739
bevisførsel,bevis,related,word,word,0.471730775333948
kjøretøy,bil,related,word,word,0.436344170034954
dyrt,billig,related,word,word,0.377068944895889
kjemi,biologi,related,word,word,0.570652139440152
kjemisk,biologisk,related,word,word,0.476763943733494
brun,blå,related,word,word,0.422485655434598
lekegutt,blad,related,word,word,
ripe,blåmerke,related,word,word,0.216755962010226
kombinasjon,blanding,related,word,word,0.403641747537326
slutt,mål,related,word,word,0.143050495308461
plante,blomst,related,word,word,0.355948177666765
bibel,bok,related,word,word,0.361995926026823
silke,bomull,related,word,word,0.409590385651535
slott,palass,related,word,word,0.40878806161514
sheriff,borgermester,related,word,word,0.410447645433845
