"pl_cue","pl_target","type","cue_type","target_type","pl_cosine"
"dyplom","absolwent","related","word","word",0.460102233353829
"niedorzeczny","absurdalny","related","word","word",0.719795001002951
"kierownictwo","administracyjny","related","word","word",0.401107851969667
"hormon","adrenalina","related","word","word",0.411900161867289
"numer","adres","related","word","word",0.618659583251631
"solidny","agencja","related","word","word",0.09138333836921
"głos","akcent","related","word","word",0.47461860581435
"autor","aktor","related","word","word",0.406291195337649
"kanał","aktualności","related","word","word",0.171235517055858
"spust","aktywuj","related","word","word",0.243146125041035
"alarm","alarm","related","word","word",1
"kąt","aleja","related","word","word",0.146771790662346
"brawo","alfa","related","word","word",0.269270345532593
"motyw","alibi","related","word","word",0.403346366337857
"afryka","ameryka","related","word","word",0.604093654494956
"sekcja zwłok","analiza","related","word","word",NA
"dom","apartament","related","word","word",0.556907267011456
"pozwolenie","aprobata","related","word","word",0.281851788573185
"inżynier","architekt","related","word","word",0.574100944350636
"karać","aresztować","related","word","word",0.478421662489045
"legion","armia","related","word","word",0.298062342372148
"ignorancja","arogancja","related","word","word",0.695317174134903
"kawaleria","artyleria","related","word","word",0.684101154665685
"sekretarz","asystent","related","word","word",0.318903111046381
"inwazja","atak","related","word","word",0.459809645961522
"pacyfik","atlantycki","related","word","word",0.530845600062445
"środowisko","atmosfera","related","word","word",0.342407512030782
"pociąg","autobus","related","word","word",0.740192170415227
"jurysdykcja","autorytet","related","word","word",0.34374143953233
"droga","autostrada","related","word","word",0.53121358071393
"zwiastun filmu","awangarda","related","word","word",NA
"dziadek","babcia","related","word","word",0.636233288601279
"analityk","badacz","related","word","word",0.422262680777546
"badania","badanie","related","word","word",0.783069654856759
"klub","bar","related","word","word",0.625574575381476
"niezwykle","bardzo","related","word","word",0.725551428888133
"stadion","baseball","related","word","word",0.405906862434281
"pułk","batalion","related","word","word",0.629706482912371
"jedwab","bawełna","related","word","word",0.552769188081561
"bezpieczeństwo","bezpieczeństwo","related","word","word",1
"bezpieczny","bezpieczne","related","word","word",0.691078132682353
"bezpośredni","bezpośrednio","related","word","word",0.670724124333334
"bezradny","bezsilny","related","word","word",0.677532126933661
"nieprzydatny","bezwartościowy","related","word","word",0.494714173314964
"walka","bić się","related","word","word",NA
"chemia","biologia","related","word","word",0.563804343100123
"chemiczny","biologiczny","related","word","word",0.65028633283305
"wojna","bitwa","related","word","word",0.646502820382222
"przemysł","biznes","related","word","word",0.49828557862268
"błąd","błąd","related","word","word",1
"otwarty","blisko","related","word","word",0.163761027697929
"tatuaż","blizna","related","word","word",0.464886257068887
"toast","boczek","related","word","word",0.216693301980215
"skarb","bogactwo","related","word","word",0.378187200830234
"słaby","bogaty","related","word","word",0.324793543023798
"cierpienie","ból","related","word","word",0.675735336576659
"bóg","boska","related","word","word",0.382814920074012
"waszyngton","boston","related","word","word",0.487018581926168
"koleś","bracie","related","word","word",0.355092508196139
"obecność","brak","related","word","word",0.340620388818886
"portal","brama","related","word","word",0.454175292299625
"siostra","brat","related","word","word",0.606215134739783
"włosy","broda","related","word","word",0.462728136449995
"pistolet","broń","related","word","word",0.673493507153867
"chronić","bronić","related","word","word",0.695330127291923
"paskudny","brudny","related","word","word",0.638674623772437
"rdzeniowy","brzuszny","related","word","word",0.465641937474301
"digustowanie","brzydki","related","word","word",NA
"wieża","budynek","related","word","word",0.29842055104651
"bankowość","budżetowy","related","word","word",0.315007921565066
"szeryf","burmistrz","related","word","word",0.60297237234659
"wiatr","burza","related","word","word",0.464929310498236
"uruchomić","but","related","word","word",0.14264366193799
"szkło","butelka","related","word","word",0.294331960863253
"absolutnie","całkowicie","related","word","word",0.578449274082806
"czosnek","cebula","related","word","word",0.539548071972965
"przypadkowo","celowo","related","word","word",0.477836826040115
"wartość","cena £","related","word","word",NA
"mila","centymetr","related","word","word",0.355967633594788
"rytuał","ceremonia","related","word","word",0.535820225100529
"cesarski","cesarz","related","word","word",0.433910392752894
"obsługiwać","chirurgia","related","word","word",0.124315866313484
"dziewczyna","chłopiec","related","word","word",0.4490352264225
"przyjechać","chodź","related","word","word",0.222527702486734
"grypa","choroba","related","word","word",0.629163238535478
"chory","chory","related","word","word",1
"katolicki","chrześcijanin","related","word","word",0.470912257330087
"płótno","chusteczka","related","word","word",0.213229123714311
"wspaniały","chwała","related","word","word",0.238234112392659
"łza","ciąć","related","word","word",0.15447640085373
"naciskać","ciągnąć","related","word","word",0.422868308785186
"deser","ciasto","related","word","word",0.555020601830761
"narodziny","ciąża","related","word","word",0.26257992523644
"ekscytujący","ciekawe","related","word","word",0.139172855721675
"cień","ciemny","related","word","word",0.39650741490822
"ciężki","ciężko","related","word","word",0.426320944552974
"trudny","ciężko","related","word","word",0.366456953968283
"puls","ciśnienie","related","word","word",0.58828780290841
"cichy","cisza","related","word","word",0.384974159897508
"grób","cmentarz","related","word","word",0.617529398494053
"nic","coś","related","word","word",0.580024944143352
"ćwiczyć","ćwiczenie","related","word","word",0.514606629950397
"palić","cygaro","related","word","word",0.409506111186805
"naiwny","cyniczny","related","word","word",0.614903487824589
"ogród zoologiczny","cyrk","related","word","word",NA
"kultura","cywilizacja","related","word","word",0.622079498624032
"okulary","czapka","related","word","word",0.406017115810513
"biały","czarny","related","word","word",0.810230046025308
"magia","czarodziej","related","word","word",0.456394177851532
"przekleństwo","czarownica","related","word","word",0.328504202977098
"lekkoduch","czasopismo","related","word","word",0.197960262168424
"materiał","cząstka","related","word","word",0.114337044188661
"kość","czaszka","related","word","word",0.418910745443035
"cukier","czekolada","related","word","word",0.510082828915233
"czasem","często","related","word","word",0.448272233775169
"człowiek","człowiek","related","word","word",1
"dwa","cztery","related","word","word",0.739839447440085
"trzeci","czwarty","related","word","word",0.837675797447603
"aktywny","czynność","related","word","word",0.237155846551667
"blisko","daleko","related","word","word",0.527636541265399
"lord","dama","related","word","word",0.206004113679789
"dobroczynność","darowizna","related","word","word",0.500161869205301
"oferta","dawać","related","word","word",0.155138438989321
"pojęcie","definicja","related","word","word",0.373031264828006
