zh_hk_cue,zh_hk_target,type,cue_type,target_type,zh_hk_cosine
實際,真係,related,word,word,
欽佩,欣賞,related,word,word,
特務,偵探,related,word,word,0.925955692407252
免疫缺陷,愛滋病病毒,related,word,word,
空氣,氧氣,related,word,word,0.91520015009154
酒精,藥物,related,word,word,0.971624032683983
允許,由得,related,word,word,
獨自,孤單,related,word,word,0.971704417396777
已經,仍然,related,word,word,0.955323788690454
總是,不斷,related,word,word,0.984464188507484
大使,部長,related,word,word,0.900081226249718
救護車,直升機,related,word,word,0.905919346218368
天使,魔鬼,related,word,word,0.914958546644465
匿名,未知,related,word,word,0.944410116151204
解藥,疫苗,related,word,word,0.880841731166083
實踐,使用,related,word,word,
到達,來臨,related,word,word,
文物,獎章,related,word,word,
吸引,迷人,related,word,word,
作家,演員,related,word,word,0.977022383680486
簽名,攝影師,related,word,word,0.954935970372558
驗屍,分析,related,word,word,0.88673630033313
香蕉,士多啤梨,related,word,word,
銀行家,投資者,related,word,word,0.927874341194544
銀行業,金融,related,word,word,
海灣,港口,related,word,word,
野獸,動物,related,word,word,0.946171865180791
蜜蜂,螞蟻,related,word,word,0.968078080390968
誕生,懷孕,related,word,word,
男童,女孩,related,word,word,
優秀,甲等,related,word,word,
公事包,行李喼,related,word,word,
深啡,藍色,related,word,word,
船艙,甲板,related,word,word,
口徑,子彈,related,word,word,
通話,電話,related,word,word,0.865918062790191
嘉年華,節日,related,word,word,
天主教,基督教,related,word,word,
名人,巨星,related,word,word,
水泥,塑膠,related,word,word,
冠軍,戰士,related,word,word,0.932112825666629
大臣,總統,related,word,word,0.939171875319759
變化,進步,related,word,word,0.853880389915272
渠道,消息,related,word,word,
晶片,設備,related,word,word,
聖誕,假期,related,word,word,0.950304377557075
乾淨,清洗,related,word,word,0.787587775768452
清楚,明顯,related,word,word,0.935127664538586
布匹,手巾,related,word,word,
雲層,霧氣,related,word,word,
教練,選手,related,word,word,0.830362937292107
煤炭,石油,related,word,word,
棺材,葬禮,related,word,word,0.944289224596739
戰鬥,打架,related,word,word,0.96639894365234
自在,舒暢,related,word,word,
指示,命令,related,word,word,0.983470227219482
貿易,商人,related,word,word,0.973397908057654
比賽,錦標賽,related,word,word,
抱怨,指控,related,word,word,0.623667569491089
憂慮,擔心,related,word,word,
結論,假設,related,word,word,0.836381045803953
祝賀,迎接,related,word,word,
考慮,思考,related,word,word,0.979166065037709
建築物,建造,related,word,word,
包含,內容,related,word,word,
控制,操縱,related,word,word,0.782770527078749
角落,小巷,related,word,word,
數數,計算,related,word,word,
遮蓋,隱藏,related,word,word,
裂縫,洞口,related,word,word,
忌廉,醬汁,related,word,word,
創作,生產,related,word,word,
創造,毀滅,related,word,word,0.944798201666683
關鍵,政治,related,word,word,0.952657560525277
皇冠,寶座,related,word,word,
電流,電力,related,word,word,0.972816311536392
爸爸,媽媽,related,word,word,0.832911622112422
黑暗,光明,related,word,word,0.959660369559596
死亡,消失,related,word,word,0.933600371804693
體面,誠實,related,word,word,0.974876898094823
描述,表示,related,word,word,0.722760027281866
沙漠,山谷,related,word,word,
慾望,希望,related,word,word,0.862256598406394
噁心,醜陋,related,word,word,0.928517607999752
距離,速度,related,word,word,0.868125445679948
疑問,懷疑,related,word,word,
向下,向上,related,word,word,0.959570685033502
巨龍,獅子,related,word,word,
戲劇性,浪漫,related,word,word,0.975735290510198
幾滴,一口,related,word,word,
地震,爆炸,related,word,word,0.906199927195965
別處,某處,related,word,word,0.914542262491949
大使館,部門,related,word,word,
結束,完成,related,word,word,0.899799454998023
足夠,充足,related,word,word,
進入,前往,related,word,word,0.947734795864092
信封,包裹,related,word,word,
恆久,永遠,related,word,word,
邪惡,殘酷,related,word,word,0.923839180374987
檢驗,調查,related,word,word,
優秀,偉大,related,word,word,0.909933951318295
極其,非常,related,word,word,0.7309887892585
工廠,生產,related,word,word,
偽造,錯誤,related,word,word,0.974914831844257
農民,工人,related,word,word,0.994564759142566
聯邦,州份,related,word,word,
忠誠,奉獻,related,word,word,0.958660991961846
金融,投資,related,word,word,0.947173497415427
公司,機構,related,word,word,0.888228508444757
第一,最後,related,word,word,0.867186610446609
旗幟,象徵,related,word,word,
流感,疾病,related,word,word,0.963210598170515
跟隨,追趕,related,word,word,
原諒,藉口,related,word,word,0.451859951668213
饒恕,憐憫,related,word,word,0.947350838533938
表格,簽名,related,word,word,
獲得,贏取,related,word,word,
天才,科學家,related,word,word,0.905699289952785
手勢,動作,related,word,word,
眼鏡,鴨舌帽,related,word,word,
上帝,神聖,related,word,word,0.648233411804081
揸實,捕捉,related,word,word,
孫仔,外甥,related,word,word,
感激,致謝,related,word,word,
青綠,橙色,related,word,word,
手掌,上臂,related,word,word,0.974830246274149
絞刑,處決,related,word,word,0.831450388693098
健康,教育,related,word,word,0.985451168915466
壯健,正常,related,word,word,
聆訊,審判,related,word,word,
你好,再見,related,word,word,0.674586673812564
