"sl_cue","sl_fake_cue","sl_target","sl_fake_target","en_cue","en_target"
"žlica","eleca","vilica","tovice","spoon","fork"
"hrbteničen","hrbteviden","trebušen","trebušišče","spinal","abdominal"
"ugrabiti","ugrahati","ukrasti","abniti","kidnap","abduct"
"nesmiseln","smedeš","absurden","abugledno","ridiculous","absurd"
"hormon","njemon","adrenalin","opornalin","hormone","adrenaline"
"podjetje","podjanec","agencija","travcija","firm","agency"
"sprožite","koražiti","aktivirajte","aktivesti","trigger","activate"
"opozorilo","ustrezorilo","alarm","aladivo","alert","alarm"
"motiv","movan","alibi","rodbi","motive","alibi"
"NLP","nol","vesoljec","vesor","ufo","alien"
"kot","kotistič","ulica","alšim","corner","alley"
"bravo","zlovo","alfa","alirnost","bravo","alpha"
"afrika","afražnost","amerika","ogrorika","africa","america"
"obdukcija","avtenje","analiza","stroliza","autopsy","analysis"
"hiša","proša","stanovanje","splotma","house","apartment"
"kaznovati","kazljavati","aretirati","obljutirati","punish","arrest"
"inženir","inžeslom","arhitekt","arhenec","engineer","architect"
"arzenal","arsestvo","orožarna","armuda","arsenal","armory"
"nevednost","nevenca","prevzetnost","prevzednjice","ignorance","arrogance"
"žila","frila","arterija","vzcveterija","vein","artery"
"konjenica","konjačba","topništvo","topilerija","cavalry","artillery"
"pacifik","pacišmar","atlantik","atlastika","pacific","atlantic"
"okolje","teklje","atmosfera","obljumosfera","environment","atmosphere"
"vozilo","voljalo","avto","sleto","vehicle","car"
"vlak","smak","avtobus","avtožnic","train","bus"
"cesta","cerena","avtocesta","avtocepljen","road","highway"
"dedek","debim","babica","babistve","grandfather","grandmother"
"orkester","orkeglje","bend","bavk","orchestra","band"
"klub","kluza","bar","lor","club","bar"
"stadion","zgrudijon","bejzbol","bejzir","stadium","baseball"
"regiment","regimež","bataljon","bataver","regiment","battalion"
"superman","suprovec","batman","evoman","superman","batman"
"arena","zrina","bojišče","bojarna","arena","battlefield"
"norec","noraž","idiot","idigon","fool","idiot"
"jeza","anžeza","bes","zges","anger","rage"
"kemija","nositmija","biologija","bijovenje","chemistry","biology"
"kemijski","bamijski","biološki","bijaški","chemical","biological"
"pošast","posekt","bitje","bidal","monster","creature"
"vojna","mnina","bitka","zetka","war","battle"
"zaklad","šaklad","bogastvo","bogemlje","treasure","wealth"
"boj","groj","pretep","škretep","combat","fight"
"bolan","botik","bolehen","malehen","ill","sick"
"trpljenje","trevenje","bolečina","bolarina","suffering","pain"
"gripa","grizda","bolezen","bolenjav","flu","disease"
"svila","svike","bombaž","zambaž","silk","cotton"
"biblija","bikravja","knjiga","knjine","bible","book"
"prvak","prpol","borec","bočar","champion","fighter"
"washington","vaston","boston","botost","washington","boston"
"bog","žeg","božanski","boskanski","god","divine"
"stari","kriri","model","braled","dude","bro"
"las","hus","brada","upoda","hair","beard"
"zaščititi","zaškalati","braniti","veljniti","protect","defend"
"sestra","sesila","brat","vurat","sister","brother"
"sorodnik","sorogatnež","bratranec","elektranec","relative","cousin"
"plemeniti","zvemenit","pogumen","regumen","noble","brave"
"tatu","tažo","brazgotina","zavgotina","tattoo","scar"
"neuporaben","karoraben","ničvreden","ničveržen","useless","worthless"
"sijaj","gačjaj","žareč","žardor","shine","bright"
"odeja","lebja","brisača","usposača","blanket","towel"
"igla","atla","brizgalka","brihle","needle","syringe"
"praska","ekraska","modrica","ogladrica","scratch","bruise"
"kaliber","kalojšen","metek","kroglet","caliber","bullet"
"rit","rinc","zadnjica","zadoba","ass","butt"
"zdravo","tlavo","adijo","čladijo","hello","bye"
"sladica","vzbudica","torta","torun","dessert","cake"
"očala","tamula","pokrovček","zdavček","glasses","cap"
"škof","škokraj","kardinal","kardiplom","bishop","cardinal"
"prekletstvo","prestapstvo","čarovnica","blovnica","curse","witch"
"magija","nargija","čarovnik","čaveljnik","magic","wizard"
"tla","ukla","preproga","prepromil","floor","carpet"
"članek","glonek","časopis","časoment","article","newspaper"
"detonator","detonučje","timer","čajparica","detonator","timer"
"privilegij","ognjevilegij","čast","rist","privilege","honor"
"česen","blesen","čebula","čebrala","garlic","onion"
"vrednost","obodnost","cena","torna","value","price"
"občudovati","občeskovati","ceniti","cepriti","admire","appreciate"
"milja","milosa","centimeter","obljutimeter","mile","centimeter"
"protistrup","protisaljon","cepivo","strupivo","antidote","vaccine"
"možgani","mosluhni","možganski","čebranski","brain","cerebral"
"cesarski","voderski","cesar","cenij","imperial","emperor"
"tretji","treboven","četrti","četrden","third","fourth"
"polovica","polobljenca","četrtina","četobjektina","half","quarter"
"škorenj","škortih","čevelj","četraj","boot","shoe"
"črpalka","črpeska","cev","stev","pump","hose"
