target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
あごひげ,髪あごひげ,試験あごひげ,髪,試験
あざ,すり傷あざ,遮るあざ,すり傷,遮る
いちご,バナナいちご,誤ったいちご,バナナ,誤った
いつもの,普通いつもの,縛るいつもの,普通,縛る
いつもは,通常はいつもは,たまにいつもは,通常は,たまに
いとこ,親戚いとこ,動くいとこ,親戚,動く
うそつき,嘘うそつき,今日うそつき,嘘,今日
うつ,ストレスうつ,今うつ,ストレス,今
うま,ロバうま,快適なうま,ロバ,快適な
うん,わかったうん,吟味するうん,わかった,吟味する
おいしい,うまいおいしい,反対側のおいしい,うまい,反対側の
おそらく,確率おそらく,視線を向けるおそらく,確率,視線を向ける
おぞましい,汚れたおぞましい,地震おぞましい,汚れた,地震
おもちゃ,人形おもちゃ,保守的おもちゃ,人形,保守的
お墓,墓お墓,適用するお墓,墓,適用する
お尻,尻お尻,うまいお尻,尻,うまい
お店,店お店,海お店,店,海
お母さん,お父ちゃんお母さん,ヘルメットお母さん,お父ちゃん,ヘルメット
お父さん,おじさんお父さん,発生するお父さん,おじさん,発生する
お肉,豚肉お肉,男性お肉,豚肉,男性
お腹がすいた,疲れたお腹がすいた,症状お腹がすいた,疲れた,症状
お金,現金お金,楽園お金,現金,楽園
お食事,食物お食事,西お食事,食物,西
かわいい,甘いかわいい,歓迎会かわいい,甘い,歓迎会
けが,傷けが,密林けが,傷,密林
これまで,一度もないこれまで,シルクこれまで,一度もない,シルク
さよなら,こんにちはさよなら,影さよなら,こんにちは,影
しばしば,ときどきしばしば,経歴しばしば,ときどき,経歴
しょっちゅう,いつもしょっちゅう,皮肉しょっちゅう,いつも,皮肉
じっと見る,視線を向けるじっと見る,おじさんじっと見る,視線を向ける,おじさん
すぐに,ゆっくりとすぐに,タバコすぐに,ゆっくりと,タバコ
すごい,優秀なすごい,近くすごい,優秀な,近く
すばらしい,印象的すばらしい,煙すばらしい,印象的,煙
そこの,ここそこの,石炭そこの,ここ,石炭
その周り,円形その周り,ジェスチャーその周り,円形,ジェスチャー
それ,何それ,独身それ,何,独身
たばこ,煙たばこ,肩たばこ,煙,肩
