target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
Jůlie,romeoJůlie,hotelJůlie,romeo,hotel
absence,přítomnostabsence,drakabsence,přítomnost,drak
absolvovat,diplomabsolvovat,arzenálabsolvovat,diplom,arzenál
absurdní,směšnýabsurdní,dataabsurdní,směšný,data
adrenalin,hormonadrenalin,malovatadrenalin,hormon,malovat
adresa,čísloadresa,skutečnýadresa,číslo,skutečný
agentura,firmaagentura,baronagentura,firma,baron
aktivita,aktivníaktivita,vojákaktivita,aktivní,voják
aktivovat,spustitaktivovat,analytikaktivovat,spustit,analytik
alarm,poplachalarm,neznalostalarm,poplach,neznalost
alej,rohalej,zvýšitalej,roh,zvýšit
alfa,bravoalfa,průmyslalfa,bravo,průmysl
alibi,motivalibi,dekaalibi,motiv,deka
amerika,afrikaamerika,čteníamerika,afrika,čtení
analýza,pitvaanalýza,servisanalýza,pitva,servis
architekt,inženýrarchitekt,pokrokarchitekt,inženýr,pokrok
armáda,legiearmáda,senzačníarmáda,legie,senzační
arogance,neznalostarogance,prstenarogance,neznalost,prsten
asasín,žoldákasasín,spustitasasín,žoldák,spustit
asistence,podporaasistence,kouzloasistence,podpora,kouzlo
asistent,sekretářkaasistent,veverkaasistent,sekretářka,veverka
atlantik,pacifikatlantik,třídaatlantik,pacifik,třída
atmosféra,prostředíatmosféra,cennýatmosféra,prostředí,cenný
auto,vozidloauto,pondělíauto,vozidlo,pondělí
autobus,vlakautobus,vnukautobus,vlak,vnuk
autorita,jurisdikceautorita,nádorautorita,jurisdikce,nádor
babička,dědečekbabička,přitažlivýbabička,dědeček,přitažlivý
balík,obálkabalík,uspořádatbalík,obálka,uspořádat
bar,klubbar,duševníbar,klub,duševní
baseball,stadiónbaseball,andělbaseball,stadión,anděl
batman,supermanbatman,odpočívatbatman,superman,odpočívat
bavlna,hedvábíbavlna,komentářbavlna,hedvábí,komentář
bezcenný,zbytečnýbezcenný,hrnekbezcenný,zbytečný,hrnek
bezmocný,bezradnýbezmocný,blátobezmocný,bezradný,bláto
