"da_cue","da_fake_cue","da_target","da_fake_target","en_cue","en_target"
"abe","æge","gorilla","gorilform","monkey","gorilla"
"åbne","nomme","lukke","irt","open","close"
"åbenbaring","brylbaring","vision","viling","revelation","vision"
"åbning","åbtion","lukning","hytning","opening","closure"
"absolut","absofisk","fuldstændig","stopstændig","absolutely","completely"
"ædel","øvel","modig","mokra","noble","brave"
"administration","administrajestæt","regering","regestus","administration","government"
"advarsel","advargang","besked","bebard","warning","message"
"æble","litle","frugt","fræt","apple","fruit"
"æsel","ryel","hest","hebrå","donkey","horse"
"afbryde","affjerde","forstyrre","forholdre","interrupt","disturb"
"affald","affyd","skrald","marald","trash","garbage"
"afrika","fortka","amerika","hvidrika","africa","america"
"udgang","udskif","indgang","indnisk","exit","entrance"
"sektion","glotion","afsnit","afstre","section","paragraph"
"refleksion","reridtsion","spejl","sprol","reflection","mirror"
"afstand","afsteds","hastighed","harømthed","distance","speed"
"aftensmad","adslupmad","morgenmad","morgendent","dinner","breakfast"
"agent","agdet","detektiv","denavntiv","agent","detective"
"aids","byds","hiv","alv","aids","hiv"
"aktiv","akker","aktivitet","aktividring","active","activity"
"muliggøre","ygentliggøre","forsyne","stilsyne","enable","provide"
"album","alnær","sang","fæng","album","song"
"aldrig","alstri","nogensinde","nogenhalskæde","never","ever"
"alene","tapne","ensom","entik","alone","lonely"
"advare","bjert","alarmere","brilmere","alert","alarm"
"alkohol","alkosekt","medicin","medimers","alcohol","drug"
"allerede","skræmlerede","stadig","fandig","already","still"
"almindelig","almindekomst","sædvanlig","elenvanlig","ordinary","usual"
"altid","aldom","konstant","kontient","always","constantly"
"amatør","suktør","professionel","protokolsionel","amateur","professional"
"ambassade","værdsbassade","ministerium","ministerifinger","embassy","ministry"
"ambassadør","ambassasteds","minister","minition","ambassador","minister"
"ambulance","strukbulance","helikopter","helistisker","ambulance","helicopter"
"analytiker","skræmlytiker","efterforsker","førkomst","analyst","investigator"
"anarki","skanki","kapitalisme","mistænpitalisme","anarchy","capitalism"
"anatomi","selvtomi","psykologi","skræmkologi","anatomy","psychology"
"andetsteds","andetvendt","nogetsteds","nogetvendt","elsewhere","somewhere"
"anhænger","angrebger","varevogn","varestem","trailer","van"
"anker","ansva","sejl","sedt","anchor","sail"
"ankomme","anstænme","komme","urime","arrive","come"
"ankomst","anstisk","afgang","afgent","arrival","departure"
"anonym","rapnym","ukendt","gendt","anonymous","unknown"
"anvende","anskylde","bruge","roug","apply","use"
"anstændig","anfalddig","ærlig","ærvær","decent","honest"
"ansvar","anstru","pligt","vøjt","responsibility","duty"
"kvantitet","ansen","kvalitet","udenlitet","quantity","quality"
"område","flæl","zone","kulne","area","zone"
"arena","mudna","slagmark","skulmark","arena","battlefield"
"århundrede","årsoftwarede","årti","venti","century","decade"
"arrangere","arbejdge","organisere","højskoganisere","arrange","organize"
"arsenal","arsefest","våbenkammer","våbenkamligt","arsenal","armory"
"artefakt","artelear","medaljon","medalgisk","artifact","medallion"
"artikel","artinisk","avis","avby","article","newspaper"
"aske","imke","støv","stjø","ash","dust"
"treo","aspiudt","morfin","mortat","aspirin","morphine"
"røv","røsk","numse","nutse","ass","butt"
"astronaut","astrobilt","pilot","pinem","astronaut","pilot"
