"ur_cue","ur_fake_cue","ur_target","ur_fake_target","en_cue","en_target"
"رم","طم","کونیاک","کونیاپ","rum","cognac"
"ایڈز","ایڈح","ایچ آئی وی","ایچ آئی پی","aids","hiv"
"قانون","قاتین","آئین","نتین","law","constitution"
"عکس","خنس","آئینہ","نتینے","reflection","mirror"
"اناج","انپو","آٹا","ھکا","grain","flour"
"آخر میں","آپرمیں","بالاآخر","بالافر","finally","eventually"
"پہلا","اٹلا","آخری","رتری","first","last"
"ڈھال","جوال","زرہ بکتر","زرت بکیر","shield","armor"
"لشکر","لیونوت","آرمی","کممی","legion","army"
"قدامت پسند","قدامکےپسند","آزاد خیال","آزادزئیال","conservative","liberal"
"سماعت","سممیت","آزمائش","عدمائش","hearing","trial"
"ناممکن","نااہکن","آسان","سدان","impossible","easy"
"آسمان","اعمان","آسمانی","اعمانی","sky","heavenly"
"توہین","تورين","ناراض کرنا","صاراج کرنا","insult","offend"
"ھوا","فوا","آکسیجن","آکسیمر","air","oxygen"
"رپورٹ","صبورٹ","آگاہ کرنا","آفاکرنا","report","inform"
"چپ","بپ","آلہ","فالہ","chip","device"
"روبوٹ","رووفٹ","مشین","مشنت","robot","machine"
"منافع","منروع","آمدنی","آمرگی","profit","income"
"پہنچنا","پہسمنا","آنا","طانا","arrive","come"
"شور","بوف","آواز","الاز","noise","sound"
"پہلے سے","پہلےطفے","اب بھی","شن بھی","already","still"
"دیر","ہتر","پہلے","ھھلے","late","early"
"نیچے","نیکن","اوپر","طوپر","down","up"
"گھر","صار","اپارٹمنٹ","اپلیٹمنٹ","house","apartment"
"توجہ","توسی","اپنی طرف متوجہ کرنا","صاحی پرق مجوتہ","attention","attract"
"ہفتہ","تہ","اتوار","مووار","Saturday","Sunday"
"اثر و رسوخ","اٹرورفوص","اثر","وصر","influence","effect"
"پیسفک","پیوزک","اٹلانٹک","حرلانٹک","pacific","atlantic"
"نصف قطر","جفص فطر","محیط","مویک","radius","perimeter"
"تاثر","تااپ","احساس","احیٹس","impression","feeling"
"آرٹیکل","آرخیصل","اخبار","اخترر","article","newspaper"
"انتخاب","انشہاب","اختیار","ماتیار","choice","option"
"مصنف","مصکب","اداکار","ادریار","author","actor"
"آرٹ","بنٹ","ادب","ذیب","art","literature"
"مقصد","مقدت","ارادہ","اررسے","purpose","intention"
"دس لاکھ","دسفناکھ","ایک ارب","اریک جرغ","million","billion"
"راؤنڈ","راٹیڈ","ارد گرد","ارعمگرد","round","around"
"طالب علم","طایت عمم","استاد","اسٹود","student","teacher"
"درخواست دیں","درخواسزودیں","استعمال","اسآزمال","apply","use"
"وکیل","حلیل","مد‏عی","مد فی","lawyer","prosecutor"
"کیلا","کینڈ","اسٹرابیری","اسٹرشعیری","banana","strawberry"
"خفیہ","رجیہ","اسرار","وارار","secret","mystery"
"سیکرٹری","سیماٹری","اسسٹنٹ","اسبتنٹ","secretary","assistant"
"کلاس","صلاش","اسکول","اسڈیل","class","school"
"گپ شپ","بؤ شپ","اسکینڈل","اسکیرال","gossip","scandal"
"پوائنٹ","پوائوں","اشارہ","اغارہ","point","indicate"
"زائد","دائڈ","اضافی","صصاصی","extra","additional"
"تسلیم","رولیم","اعتراف","اعتروٹ","admit","confess"
"احترام","ذحراص","اعتماد","اعمااد","respect","confidence"
"فکر مند","فکنگمند","پریشان","شریکاق","worried","nervous"
"اغوا کرنا","ذغجاکرنا","بھگا کرلے جانا","مغلاظےجاجلا","kidnap","abduct"
"دائرہ کار","دائرگرکار","اختیار","اقمکار","jurisdiction","authority"
"ستمبر","ورمبر","اکتوبر","مفتوبر","september","october"
"کبھی کبھی","کبھینابھی","اکثر","اکاۃ","sometimes","often"
"الرٹ","اگبرٹ","الارم","الحمم","alert","alarm"
"محرک","مذوگ","عذرداری","عگدمداگی","motive","alibi"
"حتمی","ڈتگی","آخری","ظاگری","final","ultimate"
