"hi_cue","hi_fake_cue","hi_target","hi_fake_target","en_cue","en_target"
"मेला","लीली","त्यौहार","त्तिहान","carnival","festival"
"त्रिज्या","त्वन्या","परिमाप","परेदार","radius","perimeter"
"अकस्मात","अकसगलना","जानबूझ कर","जानबमक्खी","accidentally","intentionally"
"अकारण","अकदीर","गैर जिम्मेदार","गैर जाला /बार","unreasonable","irresponsible"
"अकेले","सेेला","अकेला","दूेला","alone","lonely"
"अक्षरशः","अक्लवार","वास्तव में","वासढ़ता से","literally","practically"
"अखाड़ा","सपाड़ा","लड़ाई का मैदान","लड़ाईका सत्त्व","arena","battlefield"
"अंग्रेज़ी","आन्सेही","फ्रांसीसी","फ़दिसे","english","french"
"अचानक से","अचाउंटेस","अप्रत्याशित रूप से","अप्रत्यारिणी समिति","suddenly","unexpectedly"
"अच्छा","जुञ","खराब","खरशा","good","bad"
"अच्छा","जोघ","प्यारा","प्बुरा","nice","lovely"
"ड्रैगन","द्त्रि","सिंह","सिनस","dragon","lion"
"अज्ञान","अजलवार","अभिमान","अभुराई","ignorance","arrogance"
"अंतरराष्ट्रीय","अंतररारांसीसी","दुनिया","दुनिष्","international","world"
"अंतरिक्ष यात्री","अंतरिक्य रूप से","पायलट","पानाक","astronaut","pilot"
"अति आवश्यक","अति आरामिड","आपातकालीन","आपातप्रिय","urgent","emergency"
"अति उत्कृष्ट","अति उिकित्सक","महान","महदा","excellent","great"
"अंतिम","अंशाम","परम","लोम","final","ultimate"
"अतिमानव","अतिवस्थ","बैटमैन","बैमदिन","superman","batman"
"अधिक","अतिपत्ति","अतिरिक्त","अतिरेरणा","extra","additional"
"अत्यंत","अतरबंध","बहुत","बह्व","extremely","very"
"अंदर का","उङ्पेर","बाहरी","बाफ़ी","internal","external"
"अंधा","अंटी","बहरा","जोरा","blind","deaf"
"अधिक वज़नदार","अधिक वरूप में","भारी","भागन","heavy","heavily"
"अंधेरा","अंत्रा","रोशनी","किशनी","darkness","light"
"पाठ","रव़ना","लिखना","दरखना","reading","writing"
"अनाज","अन्म","आटा","तुा","grain","flour"
"अनाड़ी","अनॊहि","बेवकूफ","बेवेषक","naïve","stupid"
"अनाड़ी","अनोपि","निंदक","निदशक","naive","cynical"
"अनाथालय","अनाटेशन","कान्वेंट","काजिमेंट","orphanage","convent"
"अनाम","अनगा","अनजान","अनवरण","anonymous","unknown"
"अनुबंध","अनसबॉल","समझौता","जम्पथ","contract","agreement"
"अनुभव","अनरथम","ज्ञान","दसञान","experience","knowledge"
"अनुभाग","अन्कार","अनुच्छेद","अनुक्रिय","section","paragraph"
"अनुमति","अन्षित","होने देना","हो्य होना","allow","let"
"अनुमति","अनुश्थ","अनुमोदन","अनुुनिक","permission","approval"
"अनुरक्षण","अनुर्यालय","संगत करना","संगत्रालय","escort","accompany"
"अनुसंधान","अनुी रात","पढाई","सलाई","research","study"
"अन्याय","अनलपाठ","अनुचित","प्रभ्दय","injustice","unfair"
"अपमान","अपुमत","कष्ट पहुंचाना","क्रश्त करनेब","insult","offend"
"अपरिवर्तनवादी","अपरिवर्ट रूप से","उदारवादी","उदारशंसा","conservative","liberal"
"अपहरण करना","अपहरण हुआ कल","अपहरण","अपह्पना","kidnap","abduct"
"अफ्रीका","अफर्खता","अमेरिका","अम रचना","africa","america"
"अभियान","अभलायम","चुनाव","लौनाव","campaign","election"
"अभिलेख","अभिष्य","रिकॉर्डिंग","रिक्नामेंट","record","recording"
"अभी","नती","जानना","जारी","now","know"
"अभी - अभी","उपी अभी","हाल ही में","हाा के लिए","just","recently"
"अभ्यास","अभ गया","व्यायाम","व्तावास","practice","exercise"
"अराजकता","अरािसमस","पूंजीवाद","पू्ठावान","anarchy","capitalism"
"अर्थ","पन्थ","महत्त्व","महतावना","meaning","importance"
"अलौकिक","अलतकथा","पैरानॉर्मल","पैरानेवाला","supernatural","paranormal"
"अवतरण","अवतंत्र","उड़ान","घृ़ान","landing","flight"
"अवलोकन","अवलर्षक","मूल्यांकन","मूल्यशाला","observation","evaluation"
"अवस्था","अवीदना","अवधि","अवज़","phase","period"
"अवैध","अवूत","कानूनी","कानूया","illegal","legal"
"अव्यवस्था","अव्यक्षित","उलझन","उल्मच","chaos","confusion"
"असंभव","असेटर","आसान","पलन","impossible","easy"
"असमर्थता","असमरजधानी","असमर्थ","असमुबंध","inability","unable"
"असलियत","असलाचार","कल्पना","कलर्शन","reality","fantasy"
"असाधारण","असा्पना","उत्कृष्ट","उत्ष्टतः","exceptional","remarkable"
"असामान्य","असाषेत्र","अनोखा","अनसना","unusual","strange"
"असुविधाजनक","असुविावस्था","अप्रिय","अपर्शन","uncomfortable","unpleasant"
"अस्पताल","अस्श्मन","क्लिनिक","कथमिक","hospital","clinic"
"आंकड़े","सेक्दे","जानकारी","जाावादी","data","information"
"मनोहर","आकरिवार","आकर्षक","आकरशासन","attractive","charming"
"आकर्षण","आकरुमति","सुंदरता","सुग्यता","charm","beauty"
"आकार","लर","लंबाई","ज्बाई","size","length"
"आकाश","आकदू","स्वर्गीय","स्वदिग्ध","sky","heavenly"
"आकाशीय विद्युत","आकाशीयचिकित्सा","बिजली","कमजली","lightning","thunder"
"आक्रमण","आक्सबॉल","हमला","आयला","invasion","attack"
"आंख","युख","कान","नून","eye","ear"
"आखिरकार","आखिकल्प","अंततः","मन्धा","finally","eventually"
"आग","धक","ज्योति","पढयोति","fire","flame"
"आगमन","आग्षण","प्रस्थान","प्रग्नेक","arrival","departure"
"आगे बढ़ना","आगेा सपना","जारी रखें","जारूप में","proceed","continue"
"आज","वल","बीता हुआ कल","वतवल कला","today","yesterday"
"आजादी","ध्वदी","जनतंत्र","जनतरगाह","freedom","democracy"
"आज़ादी से","नवला कल","मुक्त","पाक्त","freely","free"
"पेशा","योश्न","प्रतिष्ठा","प्रित कथा","career","reputation"
"आत्महत्या","आत्मुसूची","हत्या","हतआधा","suicide","murder"
"प्राण","क्श्म","आत्मा","जू्मा","soul","spirit"
"आदर करना","आदर स्फोट","आत्मविश्वास","आत्मव बढ़ना","respect","confidence"
"आदर्श","आदनाक","उत्तम","उतबूर","ideal","perfect"
"आदेश","आदतक","गण","शम","command","order"
"आधा","इना","त्रिमास","त्रतिभा","half","quarter"
"आधार","प्वेर","मुख्यालय","मुखंसनीय","base","headquarters"
"आधिकारिक तौर पर","आधिकारि विद्युत","अधिकारी","अधकरानी","officially","official"
"आधी रात","आध खाता","दोपहर","दोमत","midnight","noon"
"आधुनिक","आधुबंध","परंपरागत","परंपाथमिक","modern","traditional"
