"pt_cue","pt_fake_cue","pt_target","pt_fake_target","en_cue","en_target"
"suave","suaming","gentil","ífientil","soft","gentle"
"sair","sawa","abandono","quesdono","leave","abandon"
"espinal","espilhou","abdominal","abdomilhões","spinal","abdominal"
"seqüestrar","seqüeston","raptar","abtucky","kidnap","abduct"
"beijo","sarjo","abraço","lhanço","kiss","hug"
"refúgio","refúnhar","abrigo","acomgo","refuge","shelter"
"ridículo","rimaiúsculo","absurdo","abplendo","ridiculous","absurd"
"piquenique","pinchequia","acampamento","triunpamento","picnic","camping"
"recusar","recupões","aceitar","quistar","refuse","accept"
"incidente","incicluíste","acidente","exerdente","incident","accident"
"abaixo","claxa","acima","minma","down","up"
"concreto","conamonto","aço","uto","concrete","steel"
"escolta","esalista","acompanhar","acomparisa","escort","accompany"
"ocorrer","exerrer","acontecer","guartecer","occur","happen"
"contrato","coneleito","acordo","agrido","contract","agreement"
"confiança","configouna","acreditam","quesditam","trust","believe"
"reclamação","clemaração","acusação","gressação","complaint","accusation"
"extra","expli","adicional","fluêncional","extra","additional"
"gestão","aretão","administrativo","admicistão","management","administrative"
"adolescência","triunlescência","adolescente","adolestruiste","teenage","teenager"
"hormônio","holtznio","adrenalina","oriunnalina","hormone","adrenaline"
"terminal","termicros","aeroporto","guataporto","terminal","airport"
"banheiro","bagensro","pia","adordar","toilet","sink"
"empresa","emamassa","agência","avigcia","firm","agency"
"calendário","catraiadário","agendar","standar","calendar","schedule"
"grato","fleto","agradecer","queidecer","grateful","thank"
"já","yá","ainda","oteda","already","still"
"ajuda","broda","ajudar","opedar","help","assist"
"alerta","ocorta","alarme","traime","alert","alarm"
"prazer","acezer","alegria","aletair","pleasure","joy"
"bravo","volso","alfa","alzer","bravo","alpha"
"nada","resda","algo","altís","nothing","something"
"seda","guida","algodão","algoliga","silk","cotton"
"motivo","identivo","álibi","saybi","motive","alibi"
"lanche","larten","almoço","almozart","snack","lunch"
"majestade","maafrontade","alteza","altelefô","majesty","highness"
"baixo","claxo","alto","trito","low","high"
"peso","peder","altura","albertra","weight","height"
"ilusão","vessão","alucinação","strescinação","illusion","hallucination"
"pôr do sol","pôr dobhan","alvorecer","alvoretrans","sunset","dawn"
"amante","emiste","namorado","namonste","mistress","lover"
"odiar","lasar","amar","ampi","hate","love"
"vermelho","aglomelho","amarelo","ocorrelo","red","yellow"
"susto","drato","amedrontar","amealistar","scare","frighten"
"áfrica","scroca","américa","eclerica","africa","america"
"educado","atincado","amigáveis","amigáford","polite","friendly"
"colega","coobriga","amigo","tergo","colleague","friend"
"relação","relagens","amizade","sforzade","relationship","friendship"
"estreito","esquinto","ampla","ammax","narrow","wide"
"autópsia","auprússia","análise","chiplise","autopsy","analysis"
"corre","trare","andar","antiá","run","walk"
"orgulhoso","orguagresso","animado","traumado","proud","excited"
"fera","curra","animal","quamal","beast","animal"
"aniversário","astresversário","dia de nascimento","nascomento","anniversary","birthday"
"agarrar","atrorar","apanhar","drinhar","grab","catch"
"casa","cador","apartamento","soututamento","house","apartment"
"admirar","admilhei","apreciar","tranciar","admire","appreciate"
"permissão","anadomissão","aprovação","enervação","permission","approval"
"que","rwe","aquele","quille","what","that"
"cabo","símbo","arame","matme","cable","wire"
"cabine","proibine","convés","mangwaa coberta","cabin","deck"
"lama","lagem","areia","arona","mud","sand"
"pistola","electola","arma","arnho","pistol","weapon"
"rifle","rinau","arma de fogo","arma de rensky","rifle","gun"
"escudo","esbrindo","armaduras","armadunholm","shield","armor"
"gabinete","ganeshanete","armário de roupa","armário de rblishing","cabinet","closet"
"fazer compras","fazer corothy","armazenar","armazelhões","shop","store"
"engenheiro","engelingaro","arquiteto","merquiteto","engineer","architect"
"ignorância","ignorânlhões","arrogância","arrodrickcia","ignorance","arrogance"
"arsenal","arseresh","armaria","arsebres","arsenal","armory"
"veia","veti","artéria","artéções","vein","artery"
"natural","natugens","artificial","artificiallegheny","natural","artificial"
"cavalaria","cavalakesho","artilharia","arlitisoria","cavalry","artillery"
"arbusto","arclepto","árvore","inexvore","bush","tree"
"suicídio","acoscídio","assassinato","massesinato","suicide","murder"
"mercenário","aplaucenário","assassino","asnorthsino","mercenary","assassin"
"assassino","asnortsino","homicida","honortsida","killer","murderer"
"carimbo","castrabo","assinatura","asmanganatura","stamp","signature"
"apoio, suporte","apoio, supkelway","assistência","astronôtência","support","assistance"
"secretário","seventutário","assistente","astronôtente","secretary","assistant"
"veja","velhe","assistir","assisguem","look","watch"
"buzina","chinil","assobiar","assobiliões","horn","whistle"
"vítima","tlântima","agressor","frescante","victim","attacker"
"invasão","invagil","ataque","barque","invasion","attack"
"atirador","tranrador","atirador de elite","atirador de echenwald","shooter","sniper"
"tiro","afirmuda","atirar","clarar","shot","shoot"
"opinião","crínião","atitude","sumptude","opinion","attitude"
"acionar","exeronar","ativar","atorás","trigger","activate"
"ativo","culvo","atividade","crestvidade","active","activity"
"pacífico","patransfico","atlântico","cathetico","pacific","atlantic"
"meio ambiente","mio amburgente","atmosfera","attriunfera","environment","atmosphere"
"gesto","taito","ato","guo","gesture","act"
"autor","aubri","ator","gror","author","actor"
"atenção","pleição","atrai","atnii","attention","attract"
"exposição","exposideuin","apresentação","quesação","show","performance"
"fresco","amasco","refrescar","kingsalizar","fresh","refresh"
"presença","praqueça","ausência","auvoircia","presence","absence"
"jurisdição","juaplaudição","autoridade","autoridadelinqüen","jurisdiction","authority"
