zh_cue,zh_target,en_cue,en_target,zh_fake_cue,zh_fake_target
实际,真的,actually,really,不子,工警
钦佩,欣赏,admire,appreciate,细携,角刷
特工,侦探,agent,detective,索参,续候
艾滋,hiv,aids,hiv,撤教,房刀过动曲型
空气,氧气,air,oxygen,主水,体契
酒精,毒品,alcohol,drug,轻子,勒石
允许,准许,allow,let,朴鉴,被滴
孤独,寂寞,alone,lonely,旧子,如机
已经,仍然,already,still,宏止,殉系
总是,一直,always,constantly,叱详,史红
大使,部长,ambassador,minister,选苦,孽区
救护车,直升机,ambulance,helicopter,存养烎,骨攀狡
天使,魔鬼,angel,devil,同确,务旧
匿名,无名,anonymous,unknown,注游,题染
解药,疫苗,antidote,vaccine,方仆,兽简
申请,采用,apply,use,投景,贵救
到达,过来,arrive,come,网行,长磁
仿品,奖章,artifact,medallion,奇休,然分
诱人,迷人,attractive,charming,用科,键进
作家,演员,author,actor,瘦贵,打历
签名,拍照,autograph,photographer,药魅,心着
解剖,分析,autopsy,analysis,潮道,超获
香蕉,草莓,banana,strawberry,赌饱,官同
银行家,投资人,banker,investor,征毁,越凌
银行业,金融业,banking,financial,文蔗,箱正
海湾,港口,bay,harbor,缴枝,刻方
野兽,动物,beast,animal,酸脸,手桥
蜜蜂,蚂蚁,bee,ant,战族,孙赶
诞生,怀孕,birth,pregnancy,毒点,狗着
男孩们,女孩们,boys,girls,认愿,日型
好极了,一级棒,bravo,alpha,高国,认语
公文包,手提箱,briefcase,suitcase,修藤垚,苦微蛇
棕色,蓝色,brown,blue,着凸,诡积
船舱,甲板,cabin,deck,部领,眼班
口径,子弹,caliber,bullet,不蝌,步纤
通话,电话,call,telephone,莽让,置魂
狂欢,节日,carnival,festival,饭掩,穿戏
天主教,基督教,catholic,christian,商毙,菜打
名人,巨星,celebrity,star,称击,蜜多
水泥,塑料,cement,plastic,演谋,断量
冠军,斗士,champion,fighter,关态,黑着
校长,总统,chancellor,president,了病,刚子
变化,提升,change,improvement,养殡,古卧
频道,新闻,channel,news,色动,花敲
芯片,设备,chip,device,处玫,看解
圣诞,假期,christmas,holiday,锈战,空立
打扫,清洗,clean,wash,求倒,实场
清楚,明显,clearly,obviously,细插,杀殒
抹布,手帕,cloth,handkerchief,猎笑,出见
云朵,烟雾,cloud,fog,像商,底射
教练,选手,coach,player,表察,肠策
煤炭,石油,coal,oil,发警,怨密
棺材,葬礼,coffin,funeral,变怒,进登
战斗,打架,combat,fight,念手,禁尘
舒适,愉快,comfortable,pleasant,花学,亲不
指挥,命令,command,order,向间,字叶
贸易,商业,commercial,merchant,抢凝,上况
竞赛,冠军,competition,championship,巨举,鼻叔
抱怨,指控,complaint,accusation,心羊,酒闭
忧虑,担心,concern,worry,巧递,出捣
推论,假设,conclusion,assumption,声搵,涉将
祝贺,欢迎,congratulate,greet,感下,除芳
斟酌,思考,consider,think,勘卜,先聪
构造,修建,construction,build,做堡,咐掉
包含,内容,contain,content,利一,贼酸
控制,操纵,control,manipulate,社虫,行拘
角落,胡同,corner,alley,实守,妒速
数数,计算,count,calculate,恨值,征抗
掩盖,隐藏,cover,hide,恶闲,手谷
裂缝,洞穴,crack,hole,碍木,食视
奶油,酱汁,cream,sauce,意员,少常
创造,生产,create,produce,厕畅,风堕
创作,毁灭,creation,destruction,白挨,人译
关键的,政治的,critical,political,听局,体观
皇冠,王座,crown,throne,刑指,肺假
水流,电流,current,electricity,持标,囊讯
爸爸,妈妈,daddy,mum,狂货,漏状
黑暗,光明,darkness,light,至行,袒茗
死亡,消失,death,disappearance,习讳,有当
体面,诚实,decent,honest,径调,蓝典
描述,表达,describe,express,压底,答饭
沙漠,山谷,desert,valley,乘瞒,劝盈
欲望,心愿,desire,wish,消降,雅出
恶心,丑陋,disgusting,ugly,德念,救胶
距离,速度,distance,speed,怕慵,酒击
怀疑,猜想,doubt,suspect,机印,预轻
下,上,down,up,岁评,族底
巨龙,狮子,dragon,lion,逃奖,考冷
戏剧,浪漫,dramatic,romantic,译打,记细
滴,啜,drop,sip,受败,栅赞
地震,爆炸,earthquake,explosion,出后,皮住
别处,某地,elsewhere,somewhere,兀热,崩神
使馆,部委,embassy,ministry,切机,伸形
结尾,完毕,end,finish,签大,间讲
足够,充分,enough,sufficient,敬髓,见情
进入,走出,enter,go,外过,曲落
信封,包裹,envelope,package,工配,进拌
无穷,永远,eternal,forever,凿无,快舌
邪恶,残忍,evil,cruelty,存寻,抽要
检验,调查,examine,investigate,妻得,护读
优秀,伟大,excellent,great,登价,有咱
极其,非常,extremely,very,饭料,光婴
工厂,生产,factory,production,砖丰,令躲
虚假,错误,fake,false,把捶,此芭
农民,工人,farmer,worker,太饭,绑艳
联邦,政府,federal,state,弄公,期酒
忠诚,奉献,fidelity,devotion,腿吹,便莹
金融,投资,finance,invest,起夫,情精
公司,机构,firm,agency,船意,气寡
第一,最后,first,last,同毙,狱养
旗帜,符号,flag,symbol,母笔,井秀
流感,疾病,flu,disease,回得,间惨
跟随,追赶,follow,chase,理坛,步领
原谅,借口,forgive,excuse,允面,收统
饶恕,仁慈,forgiveness,mercy,遗碟,猪叹
表格,签名,form,sign,妥源,柔近
获得,取胜,gain,win,儿下,营插
天才,科学家,genius,scientist,钱射吻躲,排河货闻
手势,动作,gesture,act,销靡,召男
眼镜,帽子,glasses,cap,里留,泛僧
上帝,神圣,god,divine,格地,引湿
抓住,捉住,grab,catch,巨当,不厂
外孙,侄子,grandson,nephew,动置,生索
感激,谢谢,grateful,thank,着臼,一赛
绿色,橙色,green,orange,电香,角约
手掌,胳膊,hand,arm,滚实,细闭
绞刑,处决,hanging,execution,效海,花议
健康,教育,health,education,惹仙,城伴
健康,正常,healthy,normal,摇优,枝含
审讯,诉讼,hearing,trial,小起,浆手
