target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
aksentti,ääniaksentti,ääni,erittäinaksentti,erittäin
varallisuus,aarrevarallisuus,aarre,dekaanivarallisuus,dekaani
hevonen,aasihevonen,aasi,budjettihevonen,budjetti
laakso,aavikkolaakso,aavikko,atomi-laakso,atomi-
amerikka,afrikkaamerikka,afrikka,ankkuriamerikka,ankkuri
etsivä,agenttietsivä,agentti,kirjaimellisestietsivä,kirjaimellisesti
hiv,aidshiv,aids,kärsivällisyyshiv,kärsivällisyys
vanhempi,aikuinenvanhempi,aikuinen,vaikutelmavanhempi,vaikutelma
jatkuvasti,ainajatkuvasti,aina,ironiajatkuvasti,ironia
isä,äitiisä,äiti,esiintyäisä,esiintyä
aivojen,aivotaivojen,aivot,artefaktiaivojen,artefakti
ratsastaa,ajaaratsastaa,ajaa,siruratsastaa,siru
auto,ajoneuvoauto,ajoneuvo,heiauto,hei
toiminta,aktiivinentoiminta,aktiivinen,siviilitoiminta,siviili
liiketoiminta,alaliiketoiminta,ala,jumalaliiketoiminta,jumala
ylöspäin,alasylöspäin,alas,pakolainenylöspäin,pakolainen
alasti,alastonalasti,alaston,liigaalasti,liiga
laulu,albumilaulu,albumi,syntilaulu,synti
ylempi,alempiylempi,alempi,luottamusylempi,luottamus
liioitella,aliarvioidaliioitella,aliarvioida,jokiliioitella,joki
lääke,alkoholilääke,alkoholi,gallerialääke,galleria
kopio,alkuperäinenkopio,alkuperäinen,yhtiökopio,yhtiö
vyöhyke,aluevyöhyke,alue,playboyvyöhyke,playboy
paikallinen,alueellinenpaikallinen,alueellinen,nautintopaikallinen,nautinto
ammattitaitoinen,amatööriammattitaitoinen,amatööri,virusammattitaitoinen,virus
helikopteri,ambulanssihelikopteri,ambulanssi,jaksohelikopteri,jakso
tarkka-ampuja,ampujatarkka-ampuja,ampuja,pelastaatarkka-ampuja,pelastaa
tutkija,analyytikkotutkija,analyytikko,hametutkija,hame
kapitalismi,anarkiakapitalismi,anarkia,vaivakapitalismi,vaiva
psykologia,anatomiapsykologia,anatomia,johtajapsykologia,johtaja
purjehtia,ankkuripurjehtia,ankkuri,tukipurjehtia,tuki
injektio,annosinjektio,annos,joskusinjektio,joskus
tuntematon,anonyymituntematon,anonyymi,kokotuntematon,koko
syötti,ansasyötti,ansa,liittovaltionsyötti,liittovaltion
arvoinen,ansaitsevaarvoinen,ansaitseva,karnevaaliarvoinen,karnevaali
liekki,tuliliekki,tuli,yhteiskuntaliekki,yhteiskunta
tekosyy,antaa anteeksitekosyy,antaa anteeksi,tervetekosyy,terve
armo,anteeksiantoarmo,anteeksianto,kohtaarmo,kohta
gorilla,apinagorilla,apina,saapuminengorilla,saapuminen
taistelukenttä,areenataistelukenttä,areena,selvästitaistelukenttä,selvästi
hautajaiset,arkkuhautajaiset,arkku,luottohautajaiset,luotto
armeija,arsenaaliarmeija,arsenaali,jouluarmeija,joulu
sanomalehti,artikkelisanomalehti,artikkeli,uskollisuussanomalehti,uskollisuus
hinta,arvohinta,arvo,kuninkaallinenhinta,kuninkaallinen
tärkeä,arvokastärkeä,arvokas,piinatatärkeä,piinata
hiukkanen,ainehiukkanen,aine,illallinenhiukkanen,illallinen
asiantuntija,eksperttiasiantuntija,ekspertti,ansaitsevaasiantuntija,ansaitseva
morfiini,aspiriinimorfiini,aspiriini,temppumorfiini,temppu
lentäjä,astronauttilentäjä,astronautti,caesarlentäjä,caesar
ydin,atomi-ydin,atomi-,lojaaliydin,lojaali
aamunkoitto,auringonlaskuaamunkoitto,auringonlasku,välipalaaamunkoitto,välipala
avustaa,auttaaavustaa,auttaa,pumppuavustaa,pumppu
valokuvaaja,autografivalokuvaaja,autografi,mutavalokuvaaja,muta
sulkeminen,avaaminensulkeminen,avaaminen,koirasulkeminen,koira
lukko,avainlukko,avain,kevätlukko,kevät
sulkea,avatasulkea,avata,sankarisulkea,sankari
katu,tiekatu,tie,operoidakatu,operoida
avioliitto,avioeroavioliitto,avioero,keskittääavioliitto,keskittää
vaimo,aviomiesvaimo,aviomies,vaikutusvaimo,vaikutus
