"tr_cue","tr_fake_cue","tr_target","tr_fake_target","en_cue","en_target"
"azımsamak","crussamak","abartmak","inançmak","underestimate","exaggerate"
"abla","karani","abi","poi","sister","brother"
"saçma","rışma","absürt","absert","ridiculous","absurd"
"yorgun","fikgun","acıkmış","gı","tired","hungry"
"acil","acti","aciliyet","acil dsign","urgent","emergency"
"yetersizlik","yeteneksizaworld","yapamayan","acoz","inability","unable"
"edepli","zahgün","dürüst","inan sözlü","decent","honest"
"açıkça","inança","besbelli","azikça","clearly","obviously"
"vahşi","kitşi","acımasız","korkmasız","brutal","cruel"
"zavallı","korknası","acınası","korknası","miserable","pathetic"
"intikam","intiburg","adalet","marlet","revenge","justice"
"hırsız","pissız","suçlu","devli","thief","criminal"
"hormon","makmon","adrenalin","adrenayecek","hormone","adrenaline"
"numara","korkmara","adres","adyüm","number","address"
"internet","interbury","ağ","äl","internet","web"
"çalı","çamak","ağaç","ağiş","bush","tree"
"ağır","ağnn","ağır şekilde","elekt şekilde","heavy","heavily"
"ızdırap","mahle","sancı","tekrı","suffering","pain"
"kabile","ökan","aile","unle","clan","family"
"firma","ilama","ajans","krans","firm","agency"
"gece","şünce","akşam","aklif","night","evening"
"ses","rts","aksan","aklim","voice","accent"
"zıt","oft","aksine","önemsine","opposite","contrary"
"taşınmak","hareford","nakletmek","aknik","move","transfer"
"tetiklemek","tespermlemek","etkinleştirmek","breaktif hale getirmek","trigger","activate"
"aktif","aklat","aktivite","aktirecekte","active","activity"
"yazar","yalün","aktör","akmis","author","actor"
"alan","alde","bölge","zhan","area","zone"
"tetikte","alipm","alarm","learm","alert","alarm"
"naif","udy","alaycı","ndeycı","naive","cynical"
"generavite","gekat","albay","alpel","general","colonel"
"atme","athm","alev","alix","fire","flame"
"bravo","colvo","alfa","alrik","bravo","alpha"
"güdü","kristive","mazeret","kılbi","motive","alibi"
"satıcı","akıntıcı","alıcı","jancı","seller","buyer"
"çekici","çefranci","alımlı","idamlı","attractive","charming"
"kader","kayım","yazgı","oturt yazısı","fate","destiny"
"üst","ont","alt","alt klert","top","bottom"
"ameliyat etmek","işedilmek","ameliyat","ameliring","operate","surgery"
"afrika","sürprika","amerika","ilişrika","africa","america"
"otopsi","eteksi","analiz","anabar","autopsy","analysis"
"kanun","kamaz","anayasa","oluşyasa","law","constitution"
"fark etmek","fark ebath","anlamak","anlauren","realize","understand"
"sözleşme","uyanleşme","anlaşma","andersma","contract","agreement"
"anlaşmazlık","fizir anrılığı","çekişme","anlaşmazpız","conflict","dispute"
"baba","basün","anne","derne","daddy","mum"
"ev","ıl","apartman","inançman","house","apartment"
"toy","udy","aptal","aplie","naïve","stupid"
"delilik","delisans","aptallık","apağırlık","madness","stupidity"
"araç","ariş","araba","başba","vehicle","car"
"kasım","kayey","aralık","kârlık","november","december"
"analist","dünlist","araştırmacı","elekttırmacı","analyst","investigator"
"incelemek","inceleopold","araştırmak","unuttırmak","examine","investigate"
"başarı","başaolin","başarısızlık","psiza","success","failure"
"ön","tm","arka","arsem","front","rear"
"iş arkadaşı","herscrkadaşı","arkadaş","arkarett","colleague","friend"
"kibar","kigiz","dostane","azkadaş pezlısı","polite","friendly"
"toplardamar","xon","atardamar","ardia","vein","artery"
"sekreter","çiftreter","asistan","akiztan","secretary","assistant"
"panzehir","antişecekte","aşı","luı","antidote","vaccine"
"nefret","hosret","aşk","nsk","hate","love"
"sivil","siçar","askeri","asdüstri","civil","military"
"ejderha","ejtrisha","aslan","asğiz","dragon","lion"
"paralı asker","paağırlı","suikastçi","asinersin","mercenary","assassin"
"eşek","beek","at","od","donkey","horse"
"öksürük","öksüokie","ateş","atmb","cough","fever"
"pasifik","pasiburg","atlantik","attirttik","pacific","atlantic"
"tuvalet","tuvaizin","lavabo","ather","toilet","sink"
"çevre","önere","atmosfer","atmoskins","environment","atmosphere"
"av","eg","avcı","giycı","prey","predator"
"bot","aft","ayakkabı","unutkabı","boot","shoe"
"emekli maaşı","onurlilik","aylık maaş","aylık miders","pension","salary"
"yansıma","fleleks","ayna","bilna","reflection","mirror"
"sağ","koğ","sol","ayuyandı","right","left"
"arttırmak","umurtırmak","azaltmak","augusmak","increase","reduce"
"amca","amca dricks","baba","basün","uncle","dad"
"anne","ihane","baba","basün","mother","father"
"irtibat","iletional","iletişim","koğ","contact","connection"
"hayırseverlik","hamır kuruze","bağış","bagiç","charity","donation"
"sarmak","dostlamak","bağlamak","dostlamak","bind","tie"
"affetmek","afedilmek","özür","basınçne","forgive","excuse"
"büyükelçi","büyükelrecek","bakan","bayıl","ambassador","minister"
"elçilik","elçiford","bakanlık","baağırlık","embassy","ministry"
"hizmet","hizşır","bakım","bamus","service","maintenance"
"korumak","korubens","sürdürmek","bazım yopmak","preserve","maintain"
"köpek balığı","köpek balaworld","balık","baman","shark","fish"
"avcılık","avcıford","balıkçılık","bazık kutma","hunting","fishing"
"duş","meş","banyo","kesyo","shower","bathroom"
"sığınak","sığıwell","barınak","barıwell","refuge","shelter"
"halletmek","anüstesinden gelmek","başarmak","baanılmak","manage","succeed"
"basitçe","batürkçe","sade","bador","simply","simple"
"şansölye","şanklavye","cumhurbaşkanı","baştur","chancellor","president"
"nabız","nagah","basınç","bapkı yafmak","pulse","pressure"
"isim","isla","ünvan","başken","name","title"
"buton","bukon","basmak","tışmak","button","press"
"parmak","olamak","başparmak","başkentmak","finger","thumb"
"güneyli","gürun","batılı","baplanlı","southern","western"
"iş çantası","iş çantzecek","bavul","bamio","briefcase","suitcase"
"beyefendi","iğal","hanımefendi","bağız","lord","lady"
"erkek garson","ameson","kadın garson","bayan gaberty","waiter","waitress"
"özgürce","serezikçe","özgür","skandava","freely","free"
"beklemek","görle","ummak","bekleopar","wait","expect"
"aniden","remden","ansızın","bebeklenmedik bir şekilde","suddenly","unexpectedly"
"şerif","şehım","belediye başkanı","belediye başkanılar","sheriff","mayor"
"dosya","tahya","belge","tange","file","document"
