target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
vilica,žlicavilica,žlica,zaključekvilica,zaključek
trebušen,hrbteničentrebušen,hrbteničen,kemijskitrebušen,kemijski
ukrasti,ugrabitiukrasti,ugrabiti,trofejaukrasti,trofeja
absurden,nesmiselnabsurden,nesmiseln,podatkiabsurden,podatki
adrenalin,hormonadrenalin,hormon,slikatiadrenalin,slikati
agencija,podjetjeagencija,podjetje,baronagencija,baron
aktivirajte,sprožiteaktivirajte,sprožite,skrbaktivirajte,skrb
alarm,opozoriloalarm,opozorilo,nevednostalarm,nevednost
alibi,motivalibi,motiv,nerazumnoalibi,nerazumno
vesoljec,NLPvesoljec,NLP,žepvesoljec,žep
ulica,kotulica,kot,povečatiulica,povečati
alfa,bravoalfa,bravo,industrijaalfa,industrija
amerika,afrikaamerika,afrika,sidroamerika,sidro
analiza,obdukcijaanaliza,obdukcija,dekleanaliza,dekle
stanovanje,hišastanovanje,hiša,tekočinastanovanje,tekočina
aretirati,kaznovatiaretirati,kaznovati,nikoliaretirati,nikoli
arhitekt,inženirarhitekt,inženir,nenadomaarhitekt,nenadoma
orožarna,arzenalorožarna,arzenal,božičorožarna,božič
prevzetnost,nevednostprevzetnost,nevednost,prstanprevzetnost,prstan
arterija,žilaarterija,žila,viskiarterija,viski
topništvo,konjenicatopništvo,konjenica,zaklenjentopništvo,zaklenjen
atlantik,pacifikatlantik,pacifik,ustaatlantik,usta
atmosfera,okoljeatmosfera,okolje,dragocenatmosfera,dragocen
avto,voziloavto,vozilo,zdravoavto,zdravo
avtobus,vlakavtobus,vlak,vnukavtobus,vnuk
avtocesta,cestaavtocesta,cesta,vsotaavtocesta,vsota
babica,dedekbabica,dedek,privlačenbabica,privlačen
bend,orkesterbend,orkester,džunglabend,džungla
bar,klubbar,klub,opisatibar,opisati
bejzbol,stadionbejzbol,stadion,angelbejzbol,angel
bataljon,regimentbataljon,regiment,cimetbataljon,cimet
batman,supermanbatman,superman,počitekbatman,počitek
bojišče,arenabojišče,arena,starbojišče,star
idiot,norecidiot,norec,terapijaidiot,terapija
bes,jezabes,jeza,bananabes,banana
biologija,kemijabiologija,kemija,ustvaritibiologija,ustvariti
biološki,kemijskibiološki,kemijski,washingtonbiološki,washington
bitje,pošastbitje,pošast,turnejabitje,turneja
bitka,vojnabitka,vojna,sherlockbitka,sherlock
bogastvo,zakladbogastvo,zaklad,dekanbogastvo,dekan
pretep,bojpretep,boj,omrežjepretep,omrežje
bolehen,bolanbolehen,bolan,besedabolehen,beseda
bolečina,trpljenjebolečina,trpljenje,sorodnikbolečina,sorodnik
bolezen,gripabolezen,gripa,gumbbolezen,gumb
bombaž,svilabombaž,svila,maščevanjebombaž,maščevanje
knjiga,biblijaknjiga,biblija,mečknjiga,meč
borec,prvakborec,prvak,mesecborec,mesec
boston,washingtonboston,washington,plesalecboston,plesalec
božanski,bogbožanski,bog,poletjebožanski,poletje
model,starimodel,stari,kaosmodel,kaos
brada,lasbrada,las,pregledbrada,pregled
braniti,zaščititibraniti,zaščititi,ustvarjanjebraniti,ustvarjanje
brat,sestrabrat,sestra,komentarbrat,komentar
bratranec,sorodnikbratranec,sorodnik,evolucijabratranec,evolucija
pogumen,plemenitipogumen,plemeniti,oblikapogumen,oblika
brazgotina,tatubrazgotina,tatu,razodetjebrazgotina,razodetje
ničvreden,neuporabenničvreden,neuporaben,skodelicaničvreden,skodelica
žareč,sijajžareč,sijaj,kavčžareč,kavč
brisača,odejabrisača,odeja,pomorskibrisača,pomorski
brizgalka,iglabrizgalka,igla,pozabitibrizgalka,pozabiti
modrica,praskamodrica,praska,prekinitimodrica,prekiniti
metek,kalibermetek,kaliber,štetimetek,šteti
zadnjica,ritzadnjica,rit,najemnikzadnjica,najemnik
adijo,zdravoadijo,zdravo,ledvicaadijo,ledvica
torta,sladicatorta,sladica,servistorta,servis
pokrovček,očalapokrovček,očala,poročatipokrovček,poročati
kardinal,škofkardinal,škof,škatlakardinal,škatla
čarovnica,prekletstvočarovnica,prekletstvo,betončarovnica,beton
čarovnik,magijačarovnik,magija,utonitičarovnik,utoniti
preproga,tlapreproga,tla,zaslišanjepreproga,zaslišanje
časopis,članekčasopis,članek,zvestobačasopis,zvestoba
timer,detonatortimer,detonator,klantimer,klan
čast,privilegijčast,privilegij,kilometerčast,kilometer
čebula,česenčebula,česen,oblastčebula,oblast
cena,vrednostcena,vrednost,kraljevcena,kraljev
ceniti,občudovaticeniti,občudovati,vohunstvoceniti,vohunstvo
centimeter,miljacentimeter,milja,svobodacentimeter,svoboda
cepivo,protistrupcepivo,protistrup,težekcepivo,težek
možganski,možganimožganski,možgani,funtmožganski,funt
cesar,cesarskicesar,cesarski,mlekocesar,mleko
četrti,tretjičetrti,tretji,spremembačetrti,sprememba
četrtina,polovicačetrtina,polovica,dvomitičetrtina,dvomiti
čevelj,škorenjčevelj,škorenj,vozitičevelj,voziti
cev,črpalkacev,črpalka,podjetjecev,podjetje
šampanjec,vinošampanjec,vino,blizušampanjec,blizu
lice,ustnicalice,ustnica,delavnicalice,delavnica
sir,kruhsir,kruh,napakasir,napaka
kristjan,katolikkristjan,katolik,napredekkristjan,napredek
cigara,dimcigara,dim,premakniticigara,premakniti
cigareta,tobakcigareta,tobak,oselcigareta,osel
ciničen,naivenciničen,naiven,dovoljenjeciničen,dovoljenje
cirkus,živalski vrtcirkus,živalski vrt,slediticirkus,slediti
civilizacija,kulturacivilizacija,kultura,tveganocivilizacija,tvegano
klasičen,tipičenklasičen,tipičen,klubklasičen,klub
človek,osebačlovek,oseba,krstačlovek,krsta
konjak,rumkonjak,rum,kampanjakonjak,kampanja
čokolada,sladkorčokolada,sladkor,pomenčokolada,pomen
čoln,podmornicačoln,podmornica,končnočoln,končno
cona,območjecona,območje,playboycona,playboy
korporacija,podjetjekorporacija,podjetje,lepkorporacija,lep
truplo,telotruplo,telo,karieratruplo,kariera
nor,paranoičennor,paranoičen,pokritinor,pokriti
črka,telegramčrka,telegram,prijazenčrka,prijazen
črna,belačrna,bela,faktorčrna,faktor
čuden,nenavadenčuden,nenavaden,diamantčuden,diamant
čustven,duševenčustven,duševen,trdnočustven,trdno
rezati,trgatirezati,trgati,teleskoprezati,teleskop
cvet,rastlinacvet,rastlina,motivcvet,motiv
dati,ponudbadati,ponudba,terminaldati,terminal
daleč,blizudaleč,blizu,rumdaleč,rum
dama,lorddama,lord,koristendama,koristen
darilo,komplimentdarilo,kompliment,novemberdarilo,november
debel,suhdebel,suh,dramadebel,drama
desetletje,stoletjedesetletje,stoletje,bolandesetletje,bolan
december,novemberdecember,november,kockanjedecember,kockanje
aktivnost,aktivenaktivnost,aktiven,vojakaktivnost,vojak
dekleta,fantjedekleta,fantje,podkupitidekleta,podkupiti
delavec,kmetdelavec,kmet,izločitidelavec,izločiti
delec,snovdelec,snov,ljubicadelec,ljubica
delo,službadelo,služba,pogleddelo,pogled
funkcionalen,delujočfunkcionalen,delujoč,imefunkcionalen,ime
demokracija,svobodademokracija,svoboda,nesrečendemokracija,nesrečen
demonstracija,protestdemonstracija,protest,odpustitidemonstracija,odpustiti
denar,gotovinadenar,gotovina,oblakdenar,oblak
denarnica,žepdenarnica,žep,duševendenarnica,duševen
depresija,stresdepresija,stres,medveddepresija,medved
fortuna,usodafortuna,usoda,rjavafortuna,rjava
detektiv,agentdetektiv,agent,dobesednodetektiv,dobesedno
umreti,trpetiumreti,trpeti,pojavumreti,pojav
zven,klenkzven,klenk,tukajzven,tukaj
diplomant,diplomadiplomant,diploma,prestrašitidiplomant,prestrašiti
režiser,producentrežiser,producent,rdečarežiser,rdeča
diskusija,pogovordiskusija,pogovor,nesrečendiskusija,nesrečen
območje,okrajobmočje,okraj,ubijalecobmočje,ubijalec
del,enotadel,enota,vaginadel,vagina
delati,nareditidelati,narediti,tretjidelati,tretji
dodatno,posebejdodatno,posebej,iluzijadodatno,iluzija
dogajati se,zgoditi sedogajati se,zgoditi se,spolendogajati se,spolen
dogodek,pojavdogodek,pojav,narobedogodek,narobe
dohodek,dobičekdohodek,dobiček,žabadohodek,žaba
dokaz,dokazilodokaz,dokazilo,odmerekdokaz,odmerek
dokument,datotekadokument,datoteka,vročinadokument,vročina
dolar,funtdolar,funt,avtordolar,avtor
dolg,kratekdolg,kratek,bežatidolg,bežati
dolina,puščavadolina,puščava,atomskodolina,atomsko
dolžina,velikostdolžina,velikost,nasvetdolžina,nasvet
dolžnost,odgovornostdolžnost,odgovornost,strelecdolžnost,strelec
donacija,dobrodelnostdonacija,dobrodelnost,cesarskidonacija,cesarski
dostojanstvo,ponosdostojanstvo,ponos,konstrukcijadostojanstvo,konstrukcija
zadosten,dovoljzadosten,dovolj,trenerzadosten,trener
dragulj,diamantdragulj,diamant,večerjadragulj,večerja
risati,slikatirisati,slikati,sočutenrisati,sočuten
sanje,nočna morasanje,nočna mora,ponavadisanje,ponavadi
drevo,grmdrevo,grm,realnostdrevo,realnost
drugačen,podobendrugačen,podoben,maratondrugačen,maraton
družina,klandružina,klan,zrakdružina,zrak
država,zvezendržava,zvezen,počasnodržava,počasno
raca,gosraca,gos,milijonraca,milijon
duhovnik,menihduhovnik,menih,regijskiduhovnik,regijski
prašen,zarjavelprašen,zarjavel,nižjiprašen,nižji
dinamit,smodnikdinamit,smodnik,priložnostdinamit,priložnost
vzhod,zahodvzhod,zahod,kazenvzhod,kazen
enostavno,nemogočeenostavno,nemogoče,varovanjeenostavno,varovanje
edinstven,posebenedinstven,poseben,kravaedinstven,krava
ekipa,ligaekipa,liga,odpretiekipa,odpreti
eksplodirati,počitieksplodirati,počiti,izjemeneksplodirati,izjemen
eksplozija,potreseksplozija,potres,laženeksplozija,lažen
eksploziven,bombaeksploziven,bomba,obletnicaeksploziven,obletnica
eleganten,modeneleganten,moden,dnevnoeleganten,dnevno
električen,magnetenelektričen,magneten,bazaelektričen,baza
elektrika,tokelektrika,tok,razlogelektrika,razlog
element,faktorelement,faktor,milijonarelement,milijonar
imperij,dinastijaimperij,dinastija,komisijaimperij,komisija
energija,močenergija,moč,kuharenergija,kuhar
enostavno.1,preprostoenostavno,preprosto,poštaenostavno,pošta
podjetnik,milijonarpodjetnik,milijonar,laspodjetnik,las
epidemija,kugaepidemija,kuga,videtiepidemija,videti
