"de_cue","de_fake_cue","de_target","de_fake_target","en_cue","en_target"
"abendessen","aberfessen","frühstück","kranstück","dinner","breakfast"
"abfall","abstei","ausgeben","ausgefähr","waste","spend"
"absolut","absobill","vollständig","hausständig","absolutely","completely"
"spielen","strielen","spiel","triel","play","game"
"abzeichen","abzeitung","uniform","sitform","badge","uniform"
"auslöser","abweh","aktivieren","astivieren","trigger","activate"
"affe","friefe","gorilla","golanda","monkey","gorilla"
"afrika","breika","amerika","feldrika","africa","america"
"agent","agilt","detektiv","deteklet","agent","detective"
"ähnlich","applich","unterschiedlich","untersprünglich","similar","different"
"aids","aiza","hiv","eiv","aids","hiv"
"aktentasche","aktentaments","koffer","hubfer","briefcase","suitcase"
"aktiv","aklon","aktivität","aktividenz","active","activity"
"ermöglichen","ersaglichen","bieten","munten","enable","provide"
"warnen","wasnen","alarm","allom","alert","alarm"
"alptraum","faktraum","traum","treem","nightmare","dream"
"album","alzar","lied","ligu","album","song"
"alkohol","alkoader","droge","troge","alcohol","drug"
"allee","alurg","straße","fahrße","avenue","street"
"allein","altens","einsam","horsam","alone","lonely"
"general","ginaldal","oberst","lierst","general","colonel"
"alt","ont","jung","jubi","old","young"
"lebend","ledart","tot","omt","alive","dead"
"amateur","amazeln","fachmann","fachmord","amateur","professional"
"analytiker","kleinlytiker","ermittler","erlaubler","analyst","investigator"
"anarchie","anarborn","kapitalismus","kapitasprachmus","anarchy","capitalism"
"anatomie","kryntomie","psychologie","kleinchologie","anatomy","psychology"
"anderswo","anchetwo","irgendwo","irchetwo","elsewhere","somewhere"
"anforderung","anfordeschei","anfrage","anspiege","demand","request"
"angebot","angestal","geben","gebenkees","offer","give"
"anhänger","ansteiger","lastwagen","kastbagen","trailer","van"
"anker","anfra","segel","sekun","anchor","sail"
"ankommen","angreimen","kommen","kommennder","arrive","come"
"ankunft","anwurst","abfahrt","abschüt","arrival","departure"
"anliegen","andogen","sorge","dauge","concern","worry"
"anonym","anence","unbekannt","unbesieht","anonymous","unknown"
"anruf","anval","telefon","teleiert","call","telephone"
"ansicht","anschub","perspektive","perflüchtive","view","perspective"
"anständig","andersdig","ehrlich","gaslich","decent","honest"
"antworten","willworten","antwort","jeswort","answer","reply"
"anwalt","anport","staatsanwalt","staatsanvers","lawyer","prosecutor"
"anwenden","angrifden","verwenden","verrückern","apply","use"
"zählen","zühler","berechnen","begleinung","count","calculate"
"nummer","nammel","adresse","aschwirt","number","address"
"apfel","aptur","obst","frouht","apple","fruit"
"job","gol","arbeit","arvoll","job","work"
"operieren","aperaten","chirurgie","wollurgie","operate","surgery"
"arena","gisna","schlachtfeld","schlachtlern","arena","battlefield"
"ärger","ärche","problem","probrik","trouble","problem"
"arm","eam","reich","refeh","poor","rich"
"armut","ardon","elend","gwend","poverty","misery"
"arsch","ardeh","hintern","tretern","ass","butt"
"arsenal","arsespre","waffenkammer","waffenreichmer","arsenal","armory"
"artefakt","arteider","medaillon","meechelon","artifact","medallion"
"artikel","artisung","zeitung","gastung","article","newspaper"
"asche","asice","staub","strib","ash","dust"
"aspirin","aspitals","morphium","morlockum","aspirin","morphine"
"astronaut","astrokirk","pilot","piwer","astronaut","pilot"
"atomar","gibmar","nuklear","nupfarrer","atomic","nuclear"
"attraktiv","atmesttiv","charmant","charmiss","attractive","charming"
"aufgabe","stargabe","mission","charsion","task","mission"
