target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
absolvent,diplomabsolvent,dvojitýabsolvent,diplom,dvojitý
absurdný,nezmyselnýabsurdný,dátaabsurdný,nezmyselný,dáta
administratíva,manažmentadministratíva,karnevaladministratíva,manažment,karneval
adrenalín,hormónadrenalín,maľovaťadrenalín,hormón,maľovať
adresa,čísloadresa,pingadresa,číslo,ping
agentúra,firmaagentúra,barónagentúra,firma,barón
aktivovať,spustiťaktivovať,analytikaktivovať,spustiť,analytik
alarm,upozorniťalarm,nevedomosťalarm,upozorniť,nevedomosť
alej,rohalej,zvýšiťalej,roh,zvýšiť
alfa,bravoalfa,priemyselalfa,bravo,priemysel
alibi,motívalibi,nerozumnýalibi,motív,nerozumný
amerika,afrikaamerika,kotviťamerika,afrika,kotviť
analýza,pitvaanalýza,dievčaanalýza,pitva,dievča
architekt,inžinierarchitekt,mágiaarchitekt,inžinier,mágia
armáda,légiaarmáda,toastarmáda,légia,toast
arogancia,nevedomosťarogancia,prsteňarogancia,nevedomosť,prsteň
asistent,tajomníkasistent,dennýasistent,tajomník,denný
asistovať,pomáhaťasistovať,hovorasistovať,pomáhať,hovor
atentátnik,žoldnieratentátnik,vlajkaatentátnik,žoldnier,vlajka
atlantický,pacifickýatlantický,celebritaatlantický,pacifický,celebrita
atmosféra,prostredieatmosféra,cennýatmosféra,prostredie,cenný
auto,vozidloauto,ahojauto,vozidlo,ahoj
autobus,vlakautobus,vnukautobus,vlak,vnuk
babička,dedkobabička,atraktívnybabička,dedko,atraktívny
balík,obálkabalík,košeľabalík,obálka,košeľa
bar,klubbar,duševnýbar,klub,duševný
baseball,štadiónbaseball,reťazbaseball,štadión,reťaz
batman,supermanbatman,tuhýbatman,superman,tuhý
bavlna,hodvábbavlna,inžinierbavlna,hodváb,inžinier
bezcenný,zbytočnýbezcenný,pohárbezcenný,zbytočný,pohár
bezmocný,bezradnýbezmocný,aukciabezmocný,bezradný,aukcia
bezpečnosť,zabezpečeniebezpečnosť,bravobezpečnosť,zabezpečenie,bravo
bieda,chudobabieda,hlasbieda,chudoba,hlas
biologický,chemickýbiologický,washingtonbiologický,chemický,washington
biológia,chémiabiológia,tanečníkbiológia,chémia,tanečník
bitka,bojbitka,sherlockbitka,boj,sherlock
bitka.1,vojnabitka,sieťbitka,vojna,sieť
bitkár,majsterbitkár,pulzbitkár,majster,pulz
bohatstvo,pokladbohatstvo,dekanbohatstvo,poklad,dekan
bohatý,chudobnýbohatý,chirurgbohatý,chudobný,chirurg
bojisko,arénabojisko,anonymnýbojisko,aréna,anonymný
bojovník,vojakbojovník,časťbojovník,vojak,časť
bolesť,utrpeniebolesť,príbuznýbolesť,utrpenie,príbuzný
boston,washingtonboston,náhleboston,washington,náhle
božský,bohabožský,letobožský,boha,leto
brada,vlasybrada,vyšetreniebrada,vlasy,vyšetrenie
