en_target,en_cue,en_fake_cue,en_fake_target,cs_cue,cs_target,cs_fake_target,cs_fake_cue,da_cue,da_target,da_fake_target,da_fake_cue,de_cue,de_target,de_fake_target,de_fake_cue,ja_target,ja_cue,ja_fake_target,ja_fake_cue,ko_target,ko_cue,ko_fake_cue,ko_fake_target,ru_target,ru_cue,ru_fake_cue,ru_fake_target,tr_target,tr_cue,tr_fake_cue,tr_fake_target,en_word_combo,en_target_word_unique,cs_word_combo,cs_target_word_unique,ja_word_combo,ja_target_word_unique,ko_word_combo,ko_target_word_unique,tr_word_combo,tr_target_word_unique,ru_word_combo,ru_target_word_unique
abandon,leave,ledie,placdon,odejít,opustit,okoltit,odedii,forlade,opgive,opmærkve,stillade,verlassen,aufgeben,aufgefähr,verwechsen,見捨てる,そのままにする,俔舗つぬ,をぬききはなら,버리다,떠나다,로한다,계관다,покидать,оставлять,покиствлять,покиборг,terk etmek,ayrılmak,ratmak,terk esett,leaveabandon,abandon,odejítopustit,opustit,そのままにする見捨てる,見捨てる,떠나다버리다,버리다,ayrılmakterk etmek,terk etmek,оставлятьпокидать,покидать
abdominal,spinal,spunel,absenceinal,páteřní,břišní,květnařní,květnalý,spinal,abdominal,abdomistisk,ubenal,spinal,abdominal,abdomichern,matnal,腹部の,脊髄の,工ギの,奇子ひ,복부,척추,나려,트폰,брюшной,позвоночный,позвоклассный,абсцессмина,karın,omurga,esirga,kamaz,spinalabdominal,abdominal,páteřníbřišní,břišní,脊髄の腹部の,腹部の,척추복부,복부,omurgakarın,karın,позвоночныйбрюшной,брюшной
abduct,kidnap,kidior,abduyl,odvléci,unést,unice,odacéci,kidnappe,bortføre,stemføre,ulyknappe,kidnappen,entführen,kinabben,entwickren,拉致する,誘拐する,泣握みら,透拓みら,유괴하다,납치,크죠다,알리범,похищать,выкрадывать,выкабывать,покрищать,alıkoymak,kaçırmak,kidets,kaçaford,kidnapabduct,abduct,odvléciunést,unést,誘拐する拉致する,拉致する,납치유괴하다,유괴하다,kaçırmakalıkoymak,alıkoymak,выкрадыватьпохищать,похищать
ability,capacity,cachronity,posiity,kapacita,schopnost,střelnost,katedrácita,kompetence,evne,krene,kapacialsko,kapazität,fähigkeit,fähigstel,kapazischen,能力,容量,モデ,浅忍,능력,용량,늄토,랬어,умение,способность,спосемность,грумение,kabiliyet,kapasite,kaailemsite,kabilivings,capacityability,ability,kapacitaschopnost,schopnost,容量能力,能力,용량능력,능력,kapasitekabiliyet,kabiliyet,способностьумение,умение
about,out,aht,abust,ven,o,gö,go,ude,omkring,omstand,lænte,aus,über,läer,ons,だいたい,アウト,だい囚人,アワト,~에 대한,밖,밸론,커요 대한,по,о,ы,ти,hakkında,dışında,ilerşarı,halçında,outabout,about,veno,o,アウトだいたい,だいたい,밖~에 대한,~에 대한,dışındahakkında,hakkında,опо,по
absence,presence,prescent,abserts,přítomnost,absence,abkrytce,přítomstvo,tilstedeværelse,fravær,frasti,uansvarstedeværelse,anwesenheit,abwesenheit,abwesenschaf,angesinkeit,欠席,出席,話度,とて,결석,참석,누스,바포,отсутствие,присутствие,присутмость,отсутмость,yokluk,mevcudiyet,mevcudilocks,balluk,presenceabsence,absence,přítomnostabsence,absence,出席欠席,欠席,참석결석,결석,mevcudiyetyokluk,yokluk,присутствиеотсутствие,отсутствие
absurd,ridiculous,ridicunals,abruse,směšný,absurdní,stopný,stojný,latterlig,absurd,abform,trygterlig,lächerlich,absurd,abselm,läzärtlich,不合理な,ばかげている,爆登げてろい,お交げてろい,터무니없는,말도 안되는,루프 안광은,출니니없는,абсурдный,нелепый,нележан,абпрочный,absürt,saçma,rışma,absert,ridiculousabsurd,absurd,směšnýabsurdní,absurdní,ばかげている不合理な,不合理な,말도 안되는터무니없는,터무니없는,saçmaabsürt,absürt,нелепыйабсурдный,абсурдный
accent,voice,voade,accred,hlas,přízvuk,přínius,hlik,stemme,accent,aksten,fjerme,stimme,akzent,akbels,reizme,アクセント,ボイス,ルーセント,イボス,악센트,목소리,페이리,호색트,акцент,голос,госай,актянт,aksan,ses,rts,aklim,voiceaccent,accent,hlaspřízvuk,přízvuk,ボイスアクセント,アクセント,목소리악센트,악센트,sesaksan,aksan,голосакцент,акцент
accept,refuse,renose,acchan,odmítnout,přijmout,přistein,odmítcích,nægte,acceptere,kaskjortere,skivte,ablehnen,akzeptieren,anspanmen,weruhrs,受け入れる,ごみ,学は久わろ,たゐ,동의,거절,갖조하다,끝올하기,принимать,отказывать,отхайзывать,принистрать,kabul,reddetmek,redöpüşmek,katüs,refuseaccept,accept,odmítnoutpřijmout,přijmout,ごみ受け入れる,受け入れる,거절동의,동의,reddetmekkabul,kabul,отказыватьпринимать,принимать
accident,incident,inciably,acciably,incident,nehoda,nesprada,inciklad,hændelse,ulykke,smerke,flygdelse,vorfall,unfall,unzung,denfall,事件,出来事,経徒,ティシトンテ,사고,사건,니께,기나,несчастный случай,инцидент,инцистент,несчастный кручай,kaza,hadise,quay,kalık,incidentaccident,accident,incidentnehoda,nehoda,出来事事件,事件,사건사고,사고,hadisekaza,kaza,инцидентнесчастный случай,несчастный случай
