target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
abandono,sairabandono,copoabandono,sair,copo
abdominal,espinalabdominal,filosofiaabdominal,espinal,filosofia
abraço,beijoabraço,incidenteabraço,beijo,incidente
abrigo,refúgioabrigo,carbonoabrigo,refúgio,carbono
absurdo,ridículoabsurdo,dadosabsurdo,ridículo,dados
acampar,piqueniqueacampar,maioriaacampar,piquenique,maioria
aceitar,recusaraceitar,torreaceitar,recusar,torre
acerca,foraacerca,ossoacerca,fora,osso
acidente,incidenteacidente,ofertaacidente,incidente,oferta
acima,abaixoacima,selvaacima,abaixo,selva
acompanhar,escoltaacompanhar,covaacompanhar,escolta,cova
aconselhar,conselhoaconselhar,frangoaconselhar,conselho,frango
acontecer,ocorreracontecer,sexualacontecer,ocorrer,sexual
acordo,contratoacordo,plantaacordo,contrato,planta
acreditar,confiaracreditar,finalacreditar,confiar,final
acusação,reclamaçãoacusação,protegidoacusação,reclamação,protegido
adeus,oláadeus,rimadeus,olá,rim
adicional,extraadicional,espingardaadicional,extra,espingarda
administração,gestãoadministração,o quêadministração,gestão,o quê
adolescente,adolescênciaadolescente,sangueadolescente,adolescência,sangue
adorável,agradáveladorável,círculoadorável,agradável,círculo
adrenalina,hormonaadrenalina,pintaradrenalina,hormona,pintar
aeroporto,terminalaeroporto,maravilhosoaeroporto,terminal,maravilhoso
agendar,calendárioagendar,sulagendar,calendário,sul
agradecer,gratoagradecer,pôr do solagradecer,grato,pôr do sol
agência,empresaagência,barãoagência,empresa,barão
ainda,jáainda,nascimentoainda,já,nascimento
alarme,alertaalarme,ignorânciaalarme,alerta,ignorância
alegria,prazeralegria,vendedoralegria,prazer,vendedor
alfa,bravoalfa,indústriaalfa,bravo,indústria
algo,nadaalgo,lamentávelalgo,nada,lamentável
algodão,sedaalgodão,vingançaalgodão,seda,vingança
almoço,lanchealmoço,radaralmoço,lanche,radar
alteza,majestadealteza,carvãoalteza,majestade,carvão
alto,baixoalto,recusaralto,baixo,recusar
altura,pesoaltura,preocupadoaltura,peso,preocupado
alucinação,ilusãoalucinação,masculinoalucinação,ilusão,masculino
alvorecer,pôr do solalvorecer,dizeralvorecer,pôr do sol,dizer
amar,odiaramar,ambienteamar,odiar,ambiente
amarelo,vermelhoamarelo,alimentaramarelo,vermelho,alimentar
amedrontar,sustoamedrontar,invasãoamedrontar,susto,invasão
amigo,colegaamigo,vincularamigo,colega,vincular
amigáveis,educadoamigáveis,planoamigáveis,educado,plano
amizade,relaçãoamizade,salaamizade,relação,sala
ampla,estreitoampla,sóbrioampla,estreito,sóbrio
américa,áfricaamérica,âncoraamérica,áfrica,âncora
andar,correrandar,físicaandar,correr,física
animal,feraanimal,felicitaranimal,fera,felicitar
análise,autópsiaanálise,raparigaanálise,autópsia,rapariga
apanhar,agarrarapanhar,simplesmenteapanhar,agarrar,simplesmente
apartamento,casaapartamento,tatuagemapartamento,casa,tatuagem
apelido,alcunhaapelido,aprenderapelido,alcunha,aprender
apreciar,admirarapreciar,palavraapreciar,admirar,palavra
aprisionamento,penaaprisionamento,bonitoaprisionamento,pena,bonito
aprovação,permissãoaprovação,lixeiraaprovação,permissão,lixeira
aquele,o quêaquele,dvdaquele,o quê,dvd
arame,caboarame,cocaínaarame,cabo,cocaína
areia,lamaareia,mercenárioareia,lama,mercenário
arma,pistolaarma,ridículoarma,pistola,ridículo
arma de fogo,espingardaarma de fogo,inspetorarma de fogo,espingarda,inspetor
armaduras,escudoarmaduras,brutalarmaduras,escudo,brutal
armaria,arsenalarmaria,natalarmaria,arsenal,natal
armazenar,comprararmazenar,toloarmazenar,comprar,tolo
armário,gabinetearmário,anarquiaarmário,gabinete,anarquia
