target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
一口,幾滴一口,命令一口,幾滴,命令
一百,一千一百,腫瘤一百,一千,腫瘤
一般,通常一般,陣風一般,通常,陣風
七月,六月七月,黑手黨七月,六月,黑手黨
三個,一條三個,成功三個,一條,成功
三倍,雙倍三倍,影響三倍,雙倍,影響
三角,圓形三角,同情三角,圓形,同情
上校,將軍上校,緩慢上校,將軍,緩慢
上臂,手掌上臂,潛能上臂,手掌,潛能
上面,下方上面,生鏽上面,下方,生鏽
不公平,不公義不公平,偏執不公平,不公義,偏執
不同,相似不同,魅力不同,相似,魅力
不在場證據,動機不在場證據,無理不在場證據,動機,無理
不斷,總是不斷,反話不斷,總是,反話
不適,唔舒服不適,到達不適,唔舒服,到達
不適.1,生病不適,字典不適,生病,字典
世界,國際世界,水泥世界,國際,水泥
中午,半夜中午,證實中午,半夜,證實
中尉,沙展中尉,詛咒中尉,沙展,詛咒
主語,賓語主語,簽名主語,賓語,簽名
乾脆,直接乾脆,振奮乾脆,直接,振奮
事件,現象事件,匿名事件,現象,匿名
人工,天然人工,治療人工,天然,治療
人工.1,退休金人工,秘書人工,退休金,秘書
人類,男人人類,屎忽人類,男人,屎忽
仍然,已經仍然,誕生仍然,已經,誕生
代替,更換代替,有用代替,更換,有用
企業,公司企業,熱力企業,公司,熱力
企業家,百萬富翁企業家,藥片企業家,百萬富翁,藥片
伏特加,威士忌伏特加,行家伏特加,威士忌,行家
位置,地方位置,女同性戀位置,地方,女同性戀
位置.1,狀態位置,排除位置,狀態,排除
作嘔,吐痾作嘔,印象作嘔,吐痾,印象
作家,詩人作家,親吻作家,詩人,親吻
作用,影響作用,飯碗作用,影響,飯碗
使命,任務使命,杯子使命,任務,杯子
使用,實踐使用,三文治使用,實踐,三文治
來臨,到達來臨,太空人來臨,到達,太空人
侍應,收銀員侍應,總數侍應,收銀員,總數
係嘅,好吖係嘅,檢驗係嘅,好吖,檢驗
保存,持有保存,人口保存,持有,人口
保衛,保護保衛,遺產保衛,保護,遺產
信件,電報信件,步槍信件,電報,步槍
信心,尊重信心,大型信心,尊重,大型
信心.1,希望信心,直接信心,希望,直接
信息,警告信息,貧困信息,警告,貧困
信號,頻率信號,關係信號,頻率,關係
修道院,孤兒院修道院,公仔修道院,孤兒院,公仔
修院,寺廟修院,應答修院,寺廟,應答
個人,人士個人,佩劍個人,人士,佩劍
值得,應得值得,嘉年華值得,應得,嘉年華
假期,聖誕假期,種族主義假期,聖誕,種族主義
假設,結論假設,同事假設,結論,同事
偉大,優秀偉大,大使偉大,優秀,大使
停止,避免停止,囚室停止,避免,囚室
偵探,特務偵探,字面上偵探,特務,字面上
傲慢,無知傲慢,鎖鏈傲慢,無知,鎖鏈
傳奇,神話傳奇,基因傳奇,神話,基因
傳真,郵件傳真,剛剛傳真,郵件,剛剛
傳統,現代傳統,秒鐘傳統,現代,秒鐘
僕人,奴隸僕人,侵略僕人,奴隸,侵略
價錢,價值價錢,皇室價錢,價值,皇室
儀器,工具儀器,水手儀器,工具,水手
優雅,時尚優雅,僧人優雅,時尚,僧人
兄弟,姐妹兄弟,廁所兄弟,姐妹,廁所
兄弟.1,老友兄弟,擔心兄弟,老友,擔心
充足,足夠充足,教練充足,足夠,教練
兇徒,殺手兇徒,研究兇徒,殺手,研究
光明,黑暗光明,棺材光明,黑暗,棺材
兒子,女兒兒子,牆壁兒子,女兒,牆壁
兔仔,狐狸兔仔,收音機兔仔,狐狸,收音機
入口,出口入口,湯水入口,出口,湯水
內容,包含內容,戰爭內容,包含,戰爭
全球,國家全球,冒險全球,國家,冒險
公克,公斤公克,提出公克,公斤,提出
公寓,獨立屋公寓,低點公寓,獨立屋,低點
公尺,公里公尺,專輯公尺,公里,專輯
公路,街道公路,總和公路,街道,總和
共產主義,種族主義共產主義,受苦共產主義,種族主義,受苦
典禮,儀式典禮,籃球典禮,儀式,籃球
再見,你好再見,讀書再見,你好,讀書
冬天,夏天冬天,疲勞冬天,夏天,疲勞
冷靜,安靜冷靜,頻率冷靜,安靜,頻率
凌,明凌,打中凌,明,打中
凍結,融化凍結,窗戶凍結,融化,窗戶
出租,聘請出租,憤恨出租,聘請,憤恨
分區,縣市分區,殺手分區,縣市,殺手
分析,驗屍分析,車輛分析,驗屍,車輛
分鐘,秒鐘分鐘,慈善機構分鐘,秒鐘,慈善機構
切割,撕開切割,可卡因切割,撕開,可卡因
初級,高級初級,因素初級,高級,因素
利刀,佩劍利刀,勝利利刀,佩劍,勝利
制服,徽章制服,的士制服,徽章,的士
刺客,僱傭兵刺客,旗幟刺客,僱傭兵,旗幟
前往,進入前往,儀式前往,進入,儀式
創意,想像力創意,針咀創意,想像力,針咀
劇場,戲院劇場,主教劇場,戲院,主教
力量,氣力力量,相似力量,氣力,相似
功能,操作功能,姓名功能,操作,姓名
助手,秘書助手,長靴助手,秘書,長靴
勃起,高潮勃起,威士忌勃起,高潮,威士忌
勇敢,高貴勇敢,表格勇敢,高貴,表格
勒索,賄賂勒索,機會勒索,賄賂,機會
動作,手勢動作,結論動作,手勢,結論
動物,野獸動物,附近動物,野獸,附近
動脈,靜脈動脈,可能性動脈,靜脈,可能性
包裹,信封包裹,戲劇性包裹,信封,戲劇性
北方,南方北方,味道北方,南方,味道
區域,範圍區域,私人區域,範圍,私人
十二月,十一月十二月,折磨十二月,十一月,折磨
十億,百萬十億,開始十億,百萬,開始
十年,世紀十年,考慮十年,世紀,考慮
十月,九月十月,奴隸十月,九月,奴隸
午餐,零食午餐,規則午餐,零食,規則
卓越,非凡卓越,超人卓越,非凡,超人
協助,幫忙協助,水泵協助,幫忙,水泵
協議,合同協議,向下協議,合同,向下
協議.1,規則協議,月亮協議,規則,月亮
博物館,圖書館博物館,修復博物館,圖書館,修復
危機,情況危機,感應器危機,情況,感應器
危險,冒險危險,瑜伽危險,冒險,瑜伽
危險.1,風險危險,紙張危險,風險,紙張
卸責,無理卸責,月台卸責,無理,月台
厄運,不幸厄運,醒目厄運,不幸,醒目
厘米,英里厘米,活着厘米,英里,活着
原因,理由原因,郵件原因,理由,郵件
厭惡,骯髒厭惡,叢林厭惡,骯髒,叢林
參議員,總督參議員,墜落參議員,總督,墜落
參議院,國會參議院,輸家參議院,國會,輸家
友善,禮貌友善,時尚友善,禮貌,時尚
友誼,關係友誼,邪惡友誼,關係,邪惡
反常,超自然反常,青少年反常,超自然,青少年
反應堆,發電機反應堆,文章反應堆,發電機,文章
受傷,傷口受傷,高爾夫球受傷,傷口,高爾夫球
叛徒,間諜叛徒,酒精叛徒,間諜,酒精
口渴,飢餓口渴,經理口渴,飢餓,經理
口音,聲線口音,騎兵口音,聲線,騎兵
句子,單詞句子,新郎句子,單詞,新郎
叮叮,砰砰叮叮,此處叮叮,砰砰,此處
可怕,糟糕可怕,驗屍可怕,糟糕,驗屍
可愛,美好可愛,門口可愛,美好,門口
可憐,悲慘可憐,射手可憐,悲慘,射手
可能性,機會可能性,藝術家可能性,機會,藝術家
司機,乘客司機,任務司機,乘客,任務
合法,非法合法,攜帶合法,非法,攜帶
合理,公平合理,小山合理,公平,小山
合理.1,解釋合理,工廠合理,解釋,工廠
同情,耐心同情,機械人同情,耐心,機械人
名聲,職業名聲,吐痾名聲,職業,吐痾
向上,向下向上,難民向上,向下,難民
吸引,注意吸引,戰鬥吸引,注意,戰鬥
吸血鬼,殭屍吸血鬼,講嘢吸血鬼,殭屍,講嘢
告訴,說出告訴,王朝告訴,說出,王朝
周界,半徑周界,樂觀周界,半徑,樂觀
命令,指示命令,穀物命令,指示,穀物
和諧,平衡和諧,吸煙和諧,平衡,吸煙
咖啡,杯子咖啡,氣力咖啡,杯子,氣力
咪高峰,相機咪高峰,低估咪高峰,相機,低估
品質,數量品質,財務品質,數量,財務
哨子,喇叭哨子,宇宙哨子,喇叭,宇宙
商人,貿易商人,南方商人,貿易,南方
問題,麻煩問題,老友問題,麻煩,老友
啟用,觸發啟用,喇叭啟用,觸發,喇叭
啤牌,賭博啤牌,胃部啤牌,賭博,胃部
啤酒,飲料啤酒,關鍵啤酒,飲料,關鍵
喉管,水泵喉管,公司喉管,水泵,公司
喜悅,樂趣喜悅,賣方喜悅,樂趣,賣方
嗎啡,阿司匹靈嗎啡,自在嗎啡,阿司匹靈,自在
嘴嚼,吞嚥嘴嚼,未來嘴嚼,吞嚥,未來
嚇人,恐怖嚇人,導火線嚇人,恐怖,導火線
嚴禁,禁止嚴禁,聚焦嚴禁,禁止,聚焦
囚犯,人質囚犯,賭博囚犯,人質,賭博
四分之一,一半四分之一,疑問四分之一,一半,疑問
四隻,兩對四隻,冠軍四隻,兩對,冠軍
回覆,應答回覆,飲料回覆,應答,飲料
困惑,混亂困惑,酒吧困惑,混亂,酒吧
國王,皇后國王,帝國國王,皇后,帝國
圍欄,牆壁圍欄,融化圍欄,牆壁,融化
圍繞,圓形圍繞,手勢圍繞,圓形,手勢
團隊,聯盟團隊,松鼠團隊,聯盟,松鼠
團體,幫派團體,天然團體,幫派,天然
地圖,指南針地圖,轉動地圖,指南針,轉動
地址,數字地址,真確地址,數字,真確
地氈,地面地氈,聆訊地氈,地面,聆訊
地獄,天堂地獄,腎臟地獄,天堂,腎臟
坐低,站立坐低,華盛頓坐低,站立,華盛頓
埋葬,挖掘埋葬,優秀埋葬,挖掘,優秀
城堡,皇宮城堡,職業城堡,皇宮,職業
城市,首都城市,尊重城市,首都,尊重
執行,製作執行,樂團執行,製作,樂團
基督教,天主教基督教,進步基督教,天主教,進步
報紙,文章報紙,哲學報紙,文章,哲學
報酬,獎金報酬,次要報酬,獎金,次要
塊狀,碎片塊狀,偶爾塊狀,碎片,偶爾
塑膠,水泥塑膠,最後塑膠,水泥,最後
墓地,山墳墓地,實踐墓地,山墳,實踐
壓力,脈搏壓力,地震壓力,脈搏,地震
士多,店鋪士多,蠢材士多,店鋪,蠢材
士多啤梨,香蕉士多啤梨,救護車士多啤梨,香蕉,救護車
壯觀,轟動壯觀,閱讀壯觀,轟動,閱讀
外在,內部外在,通話外在,內部,通話
外套,襯衫外套,恢復外套,襯衫,恢復
外星人,飛碟外星人,褲袋外星人,飛碟,褲袋
外甥,孫仔外甥,民間外甥,孫仔,民間
