"ru_cue","ru_fake_cue","ru_target","ru_fake_target","en_cue","en_target"
"позвоночный","позвоклассный","брюшной","абсцессмина","spinal","abdominal"
"нелепый","нележан","абсурдный","абпрочный","ridiculous","absurd"
"инцидент","инцистент","несчастный случай","несчастный кручай","incident","accident"
"поезд","поездоул","автобус","автобрад","train","bus"
"фирма","фирмама","агентство","азертство","firm","agency"
"рай","ерй","ад","цо","paradise","hell"
"управление","незналение","административный","администрачатенный","management","administrative"
"гормон","горбжон","адреналин","адренапасть","hormone","adrenaline"
"номер","нохкер","адрес","адчия","number","address"
"автор","авкам","актер","акним","author","actor"
"вызывать","вызындать","активировать","активироулингс","trigger","activate"
"голос","госай","акцент","актянт","voice","accent"
"мотив","мочрезв","алиби","дайби","motive","alibi"
"угол","угух","аллея","алнён","corner","alley"
"борис","толрис","анна","фанфа","bravo","alpha"
"африка","светрика","америка","польрика","africa","america"
"вскрытие","вскрымым","анализ","аначут","autopsy","analysis"
"зеленый","зелеваный","оранжевый","апельлел","green","orange"
"нанимать","нанеживать","арендовать","япондывать","hire","rent"
"жилец","житок","арендодатель","увольдодатель","tenant","landlord"
"наказывать","наказыствовать","арестовывать","арбатывать","punish","arrest"
"легион","легитель","армия","арцах","legion","army"
"вена","венто","артерия","артезать","vein","artery"
"кавалерия","кавалествия","артиллерия","ароформлерия","cavalry","artillery"
"инженер","инжествель","архитектор","архитекгнать","engineer","architect"
"секретарь","секрекрыл","ассистент","ассирознь","secretary","assistant"
"вторжение","мерзжение","атака","атангшка","invasion","attack"
"жертва","охотва","атакующий","школькующий","victim","attacker"
"тихоокеанский","тихоокеандерский","атлантический","атмультический","pacific","atlantic"
"обстановка","обстановкла","атмосфера","атморазыгра","environment","atmosphere"
"толпа","скулпа","публика","изяблика","crowd","audience"
"терминал","термиринал","аэропорт","здрапорт","terminal","airport"
"дедушка","рледушка","бабушка","базвонка","grandfather","grandmother"
"клуб","клшо","бар","бантр","club","bar"
"полк","ватк","батальон","батажечь","regiment","battalion"
"беженец","берешенец","беглец","скилец","refugee","fugitive"
"защищенность","защнальность","безопасность","безтентность","security","safety"
"безопасный","безмальный","надежный","бездартный","safe","secure"
"необоснованный","встряснованный","безответственный","безответнесносный","unreasonable","irresponsible"
"стадион","блондион","бейсбол","бейсзим","stadium","baseball"
"тост","тоды","бекон","бесер","toast","bacon"
"рождение","укрождение","беременность","беременство","birth","pregnancy"
"свободно","свовратно","свободный","бесубодный","freely","free"
"прерывать","прерыскать","беспокоить","беспоколонить","interrupt","disturb"
"бесполезный","беспотральный","никчемный","никчетральный","useless","worthless"
"беспомощный","беспострашный","бессильный","бестробный","helpless","powerless"
"промышленность","промышленство","бизнес","вежнес","industry","business"
"химический","химиченоский","биологический","биолобраческий","chemical","biological"
"химия","хицах","биология","пальлогия","chemistry","biology"
"благодарный","благокрестный","благодарить","благодальоне","grateful","thank"
"гостеприимство","гостеприимкство","благодарность","благодарство","hospitality","gratitude"
"открытый","открыщавый","близкий","вдозкий","open","close"
"сокровище","соучаствище","богатство","богатсингство","treasure","wealth"
"бедный","зодный","богатый","богалетый","poor","rich"
"война","ресна","битва","боеда","war","battle"
"бог","ейг","священный","божетральный","god","divine"
"грипп","гранп","болезнь","болюсть","flu","disease"
"страдания","разодания","боль","бопа","suffering","pain"
"больной","бользиной","нездоровый","коздоровый","ill","sick"
"палец","пакуст","большой палец","большой првёшь","finger","thumb"
"волосы","волоурен","борода","неверода","hair","beard"
"поединок","поерийнок","борьба","толчба","combat","fight"
