"fa_cue","fa_fake_cue","fa_target","fa_fake_target","en_cue","en_target"
"دی اِن اِی","اشگت","اثر انگشت","اثدقانگشت","dna","fingerprint"
"بشقاب پرنده","بلتاپ بدنده","آدم فضایی","بینظنه","ufo","alien"
"آتش","اوش","شعله","حلله","fire","flame"
"آدم ربا","آدم فیا","فدیه","فدهي","kidnapper","ransom"
"آدم ربایی","آدم ربيکی","ربودن","ربـان","kidnap","abduct"
"آدم ساده","آدهحساده","بدبین","بدبینارد","naive","cynical"
"آدم ساده","آدهحساده","احمق","ادقق","naïve","stupid"
"آزاد","آززیانه","رایگان","راجران","freely","free"
"آزادی","زاادی","دموکراسی","دموکراگو","freedom","democracy"
"آسپرین","آسنبین","مورفین","موقصین","aspirin","morphine"
"آسمان","آسلين","بهشتی","کنمانی","sky","heavenly"
"آشوب","تلوب","گیجی","گیزو","chaos","confusion"
"آلبوم","خربوم","ترانه","ردانه","album","song"
"آلودگی","آلودیت","تابش - تشعشع","تابش- تشبر","contamination","radiation"
"آماده","دیاده","آماده کردن","آمادوشکردن","ready","prepare"
"آماده سازی","آمادکيسازی","برنامه ریزی","برنامهدكیزی","preparation","planning"
"آناتومی","آنفلومی","روانشناسی","روانشنیتی","anatomy","psychology"
"آنفولانزا","آنژيلانزا","بیماری","ايض","flu","disease"
"آهسته. تدریجی","آهسته. تدرتری","آهسته","سربم","slow","fast"
"آینده","دکنده","گذشته","گذاشه","future","past"
"ابدی","ابیت","تا ابد","تاشهبد","eternal","forever"
"ابر","مجر","مه","اص","cloud","fog"
"ابریشم","ابتهشم","پنبه","قدبه","silk","cotton"
"ابزار","وقیله","وسیله","مجزار","tool","instrument"
"اتاق","اتزت","اتاق خواب","اتاقضاواب","room","bedroom"
"اتمی","اتخا","هسته ای","هستهگمی","atomic","nuclear"
"اجازه","تیازه","تاییدیه","تصسرب","permission","approval"
"اجازه","تیازه","رخصت","رفلت","allow","let"
"دویدن","اجرامگن","راه رفتن","رادفرفتن","run","walk"
"احتمال","احفعال","احتمال دارد","احتمالزیارد","probability","likely"
"گمان","مگن","احساس","احنیس","impression","feeling"
"احمق","احفف","خنگ","گنف","fool","idiot"
"اداره کردن","ادارىىکردن","موفق شدن","موفقیزدن","manage","succeed"
"پیش رفتن","اداميپدادن","ادامه دادن","ادامکتهید","proceed","continue"
"ارتباط","ارتبمز","دوستی","دوردی","relationship","friendship"
"اردوگاه","اررنگاه","روستا","روورا","camp","village"
"ارزشمند","ارزشتاد","مهم","صلم","valuable","important"
"کارمند ارشد","زرکتار","تازه کار","دارتن شرد","senior","junior"
"ارکستر","ارکسید","گروه موسیقی","انند","orchestra","band"
"ارگاسم","ارنيسم","نعوظ","نعگـ","orgasm","erection"
"از بین بردن","از بینآلردن","برداشتن","برداهمن","eliminate","remove"
"از لحاظ مالی","ازگدحاظ مالی","تامین مالی","تامیودمالی","financially","financing"
"ازمایش","ازمالی","تست","غيت","experiment","test"
"اژدها","سادها","شیر نر","شیلينر","dragon","lion"
"استادیوم","استاودوم","بیسبال","بیاتال","stadium","baseball"
"استثنایی","استثنامر","قابل توجه","قابلکجوجه","exceptional","remarkable"
"قدرت","قلتر","زور","ونر","strength","force"
"استخدام","استخاسم","اجاره دادن","اجاریـدادن","hire","rent"
"استخوان","استخدین","جمجمه","جمظره","bone","skull"
"استعفا","استعكه","اخراج","پدراج","resignation","dismissal"
"اسطوره","اساهره","افسانه","ميسانه","myth","legend"
"مشایعت","اسکوتا","همراهی کردن","همراهینتردن","escort","accompany"
"اسهال","اسسيل","حالت تهوع","حالت تخلع","diarrhea","nausea"
"اشتباه","هرتباه","درست","درني","wrong","correct"
"اشتیاق","اشتیقش","شور","رگر","enthusiasm","passion"
"اشک","لرک","بریدن","ندبر","tear","cut"
"اصابت","حوابت","ضربه","ضرلی","hit","strike"
"اصل","حولی","کپی 🀄","لئی 🀄","original","copy"
"اضافه","گسافی","افزوده","اضبتی","extra","additional"
"نظر","تفگه","گفته","بیانور","comment","statement"
"اعتبار","اعخوار","وام","يسم","credit","loan"
"اعتراض","تعراض","تظاهرات","شصاهرات","protest","demonstration"
"اعتماد","اعرزاد","ایمان","نرایم","trust","believe"
"باز کردن","افبياح","بستن","كاته","opening","closure"
"افریقا","افترقا","امریکا","امموکا","africa","america"
"افزایش دادن","افودیش","كاهش دادن","كاهشديادن","increase","reduce"
"افسون","آمسون","زیبایی","زیبانا","charm","beauty"
"افشا","افاف","بصیرت","تیرض","revelation","vision"
"اقرار کردن","اکدار","اعتراف کردن","اعترافودردن","admit","confess"
"اکثریت","اکپنیت","رای","ویی","majority","vote"
"اکنون","لینون","دانستن","دادگتن","now","know"
"باسن","گنماه","نشیمنگاه","سنب","ass","butt"
"الکل","الگن","دارو","داوش","alcohol","drug"
"الماس","الترس","جواهر","جوکسر","diamond","jewel"
"الهام بخشیدن","مهلام","الهام","ونهام","inspire","inspiration"
"اماتور","اموشور","حرفه ای","حرفهاخی","amateur","professional"
"امبولانس","امــلانس","بالگرد","بايهرد","ambulance","helicopter"
"امپراتوری","امپريشوری","امپراتور","امتحاتور","imperial","emperor"
"امتیاز","امرياز","افتخار","اثفار","privilege","honor"
"امروز","امينز","دیروز","نگروز","today","yesterday"
"امنیت","رونیت","ایمنی","ایزای","security","safety"
"امید","امتر","ایمان","ایدهن","hope","faith"
"انبار مهمات","انبااخمهمات","زرادخانه","زرادهخنه","arsenal","armory"
"انتخاب","انتخشت","گزینه","گزبيه","choice","option"
"انتخاب کردن","تزگزیرن","برگزیدن","اختباب","choose","select"
"انتقام","انگلام","عدالت","ژنالت","revenge","justice"
"اندازه","انداگي","طول","يكل","size","length"
"اندیشه","انانشه","نظریه","رضوری","idea","theory"
"انگشت","انمتت","انگشت شست","ضرت","finger","thumb"
"انگلیسی","انگللای","فرانسوی","فرانجای","english","french"
"انگیزه","انلرزه","شاهد","هداش","motive","alibi"
"آهن","رزن","فلز","رسز","iron","metal"
"اول","اويون","آخر","آرخ","first","last"
"ساختن","اینبد","تخریب","تخاوب","creation","destruction"
"ساختن","ایجایهکردن","تولید کردن","تولیآسکردن","create","produce"
"ایدز","گندز","ویروس اِچ آی وی","رتآیوی","aids","hiv"
