"ar_cue","ar_fake_cue","ar_target","ar_fake_target","en_cue","en_target"
"إنسان آلي","إنوساك","آلة","تحة","robot","machine"
"سر","ـي","شيء غامض","سأجية","secret","mystery"
"صديق","ياطفديق","أخ","ـذ","dude","bro"
"عرض","يعفت","أداء","لاغاء","show","performance"
"أداة","اساوة","آلة","أدومي","tool","instrument"
"عين","جدن","أذن","يهتن","eye","ear"
"اثنين","طونين","أربعة","أريئة","two","four"
"يفزع","ظوع","يرعب","أرأي","scare","frighten"
"ثعلب","اركس","أرنب","أردف","fox","rabbit"
"بني","تدي","أزرق","زاراق","brown","blue"
"أسقف","بيتلب","كاردينال","أسعتي","bishop","cardinal"
"شهر","تلر","أسبوع","أسئلع","month","week"
"يومي","الخيمي","أسبوعي","أسئلعي","daily","weekly"
"تنين","الاكين","أسد","نوهد","dragon","lion"
"خرافة","خروحة","أسطورة","أسياز","myth","legend"
"ارسنال","ارطلال","مستودع أسلحة","أسعبة","arsenal","armory"
"أبيض","قايك","أسود","راود","white","black"
"رهينة","لاينة","أسير","قريج","hostage","prisoner"
"اطلاق النار","رجلاق","أطلق النار","أطقر","shot","shoot"
"حاليا","ثوليا","يعرف","أعمك","now","know"
"سفلي","أداس","علوي","أعجا","lower","upper"
"تحت","أستجاج","فوق","أعجا","down","up"
"ألبوم","ألونم","أغنية","تينية","album","song"
"الحد الأدنى","الحد الأعزى","أقصى","أقظا","minimum","maximum"
"أحسنت","أحخلت","ألفا","ألوى","bravo","alpha"
"يطلي","عوم","يرسم","ألحا","paint","draw"
"وفاء","نحاز","أمانة","يدانة","loyalty","honesty"
"أفريقيا","لاريقيا","أمريكا","أمريرس","africa","america"
"أميرة","لنيرة","أمير","لنير","princess","prince"
"عنيد","زايد","أناني","نتانية","stubborn","selfish"
"ذكر","النجر","أنثى","أنخد","male","female"
"يضيع","نظيع","ينفق","أنطراك","waste","spend"
"أنيق","الموعا","راقي","أنوا","fashionable","elegant"
"معنى","المعزوكات","أهمية","تامية","meaning","importance"
"قطار","يمار","حافلة","سنتوبيسك","train","bus"
"قط","سعدا","أبدا","أينفقت مضى","never","ever"
"شاويش","إدويش","الملازم","أيتهوث","sergeant","lieutenant"
"خيال","رفال","إبداع","إبنتع","imagination","creativity"
"اصبع اليد","اصبانيك","إبهام","إبقدام","finger","thumb"
"معالجة","معاليز","إجراء","ببراف","process","procedure"
"عبادة","السجلاص","إخلاص","حالاص","fidelity","devotion"
"إدارة","صوارة","إداري","فجاري","management","administrative"
"الى الخلف","السولخيف","إرجاع","غاجاع","back","return"
"يحضر","احسع","يرسل","ستسال","bring","send"
"يستبعد","اسباعد","يزيل","طيحالنة","eliminate","remove"
"يقاطع","قاثوز","يزعج","إزانج","interrupt","disturb"
"خطة","لثوقة","إستراتيجية","إسترك","plan","strategy"
"شكل","إفلية","علامة","قطازانة","form","sign"
"تلوث","تلائ","إشعاع","قطعاع","contamination","radiation"
"جرح","قيحتاة","إصابة","سجابة","wound","injury"
"إضافة","تثافي","إضافي","اثافي","extra","additional"
"أصاب","بترب","يضرب","وفراب","hit","strike"
"جاهز","جازنر","يعدّ","ميداد","ready","prepare"
"شنق","رتقا","إعدام","إعخدم","hanging","execution"
"إعصار","اعجبر","زوبعة","لرصار","hurricane","tornado"
"استقالة","إعتقاليص","إقالة","جدالق","resignation","dismissal"
"الله","الخشتار","إلهي","إلرع","god","divine"
"سلالة حاكمة","سلاحاق","إمبراطورية","رأبراطورية","dynasty","empire"
"الإمبراطوري","العبراطوري","أمبراطور","رأبراطورية","imperial","emperor"
