target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
abszurd,nevetségesabszurd,adatabszurd,nevetséges,adat
acél,konkrétacél,bérlőacél,konkrét,bérlő
adni,ajánlatadni,termináladni,ajánlat,terminál
adomány,jótékonyságadomány,napiadomány,jótékonyság,napi
adrenalin,hormonadrenalin,bélyegadrenalin,hormon,bélyeg
adó,érzékelőadó,rágósadó,érzékelő,rágós
aggodalom,gondaggodalom,taxiaggodalom,gond,taxi
agyi-,agyagyi-,hobbiagyi-,agy,hobbi
ajtó,ablakajtó,bizonyítékajtó,ablak,bizonyíték
ajándék,bókajándék,pestisajándék,bók,pestis
aktiválja,elindítaktiválja,méhaktiválja,elindít,méh
alagút,hídalagút,jógaalagút,híd,jóga
alfa,bravoalfa,iparalfa,bravo,ipar
alibi,indítékalibi,szütyőalibi,indíték,szütyő
alkotmány,törvényalkotmány,selyemalkotmány,törvény,selyem
alsó,felsőalsó,bíróságalsó,felső,bíróság
alvás,pihenésalvás,sütőalvás,pihenés,sütő
aláírás,bélyegaláírás,filozófiaaláírás,bélyeg,filozófia
amerika,afrikaamerika,horgonyamerika,afrika,horgony
apa,anyaapa,paradicsomapa,anya,paradicsom
apu,nagybácsiapu,előfordulapu,nagybácsi,előfordul
aranyos,édesaranyos,kiaranyos,édes,ki
arc,ajakarc,füstarc,ajak,füst
artéria,vénaartéria,ifjúságartéria,véna,ifjúság
atlanti,békésatlanti,híres emberatlanti,békés,híres ember
autó,járműautó,sebészautó,jármű,sebész
bajnokság,versenybajnokság,húgabajnokság,verseny,húga
bal,jobbbal,nemesbal,jobb,nemes
baleset,incidensbaleset,ajánlatbaleset,incidens,ajánlat
balszerencse,szerencsétlenbalszerencse,okosbalszerencse,szerencsétlen,okos
barát,kollégabarát,tartálybarát,kolléga,tartály
barátság,kapcsolatbarátság,szobabarátság,kapcsolat,szoba
barátságos,udvariasbarátságos,tervbarátságos,udvarias,terv
baseball,stádiumbaseball,angyalbaseball,stádium,angyal
batman,supermanbatman,pihenésbatman,superman,pihenés
bebörtönzés,büntetésbebörtönzés,költőbebörtönzés,büntetés,költő
becsület,kiváltságbecsület,kilométerbecsület,kiváltság,kilométer
becsületes,megfelelőbecsületes,felszerelésbecsületes,megfelelő,felszerelés
befejez,végebefejez,bérelbefejez,vége,bérel
befektetés,pénzügybefektetés,állbefektetés,pénzügy,áll
befektető,bankárbefektető,szennyeződésbefektető,bankár,szennyeződés
bejárat,kijáratbejárat,parancsnokbejárat,kijárat,parancsnok
bekezdés,szakaszbekezdés,hálásbekezdés,szakasz,hálás
belül,kívülbelül,sértésbelül,kívül,sértés
beszél,beszélgetésbeszél,bolygóbeszél,beszélgetés,bolygó
beteg,rosszbeteg,szótárbeteg,rossz,szótár
betegség,influenzabetegség,parlamentbetegség,influenza,parlament
bevallani,beismernibevallani,alacsonybevallani,beismerni,alacsony
bezárás,kinyitbezárás,hősbezárás,kinyit,hős
bezárás.1,nyitásbezárás,kutyabezárás,nyitás,kutya
biológia,kémiabiológia,táncosbiológia,kémia,táncos
biológiai,kémiaibiológiai,washingtonbiológiai,kémiai,washington
birodalom,dinasztiabirodalom,évfordulóbirodalom,dinasztia,évforduló
bizalom,tiszteletbizalom,fáradtbizalom,tisztelet,fáradt
bizonyság,tanúbizonyság,sebbizonyság,tanú,seb
bizottság,jutalékbizottság,golfbizottság,jutalék,golf
biztonság,elhárításbiztonság,megvizsgálnibiztonság,elhárítás,megvizsgálni
biztonságos,veszélytelenbiztonságos,tulajdonképpenbiztonságos,veszélytelen,tulajdonképpen
biztos,ellenőrbiztos,ételbiztos,ellenőr,étel
biztosítani,engedélyezzebiztosítani,villámbiztosítani,engedélyezze,villám
boldog,elégedettboldog,alkoholboldog,elégedett,alkohol
bolt,üzletbolt,igazságtalanságbolt,üzlet,igazságtalanság
boston,washingtonboston,hirtelenboston,washington,hirtelen
boszorkány,átokboszorkány,konkrétboszorkány,átok,konkrét
botrány,pletykabotrány,dnsbotrány,pletyka,dns
buli,recepcióbuli,ketchupbuli,recepció,ketchup
busz,vonatbusz,unokájabusz,vonat,unokája
bájos,szépbájos,körbájos,szép,kör
bájos.1,vonzóbájos,szenvednibájos,vonzó,szenvedni
bátor,nemesbátor,formabátor,nemes,forma
bérlés,bérelbérlés,karneválbérlés,bérel,karnevál
bíboros,püspökbíboros,lelkesedésbíboros,püspök,lelkesedés
bíró,bíróságbíró,szépbíró,bíróság,szép
börtön,cellabörtön,hellóbörtön,cella,helló
bőrönd,aktatáskabőrönd,főiskolabőrönd,aktatáska,főiskola
bűn,vétekbűn,atombűn,vétek,atom
bűnös,ártatlanbűnös,burgonyabűnös,ártatlan,burgonya
bűnügyi,tolvajbűnügyi,másholbűnügyi,tolvaj,máshol
centiméter,mérföldcentiméter,élőcentiméter,mérföld,élő
cigaretta,dohánycigaretta,csendescigaretta,dohány,csendes
cinikus,naivcinikus,engedélycinikus,naiv,engedély
cipő,csomagtartócipő,békéscipő,csomagtartó,békés
cirkusz,állatkertcirkusz,kövessecirkusz,állatkert,kövesse
civilizáció,kultúracivilizáció,titokcivilizáció,kultúra,titok
cowboy,rodeócowboy,házcowboy,rodeó,ház
csali,csapdacsali,incidenscsali,csapda,incidens
család,kláncsalád,levegőcsalád,klán,levegő
csalás,összeesküvéscsalás,erőcsalás,összeesküvés,erő
csalódás,meglepetéscsalódás,tanúcsalódás,meglepetés,tanú
csapat,ligacsapat,kinyitcsapat,liga,kinyit
csata,háborúcsata,sherlockcsata,háború,sherlock
csatatér,arénacsatatér,befolyáscsatatér,aréna,befolyás
csend,csendescsend,gyűjtcsend,csendes,gyűjt
csillag,híres embercsillag,felelősségcsillag,híres ember,felelősség
csokoládé,cukorcsokoládé,esetenkéntcsokoládé,cukor,esetenként
csomag,borítékcsomag,drámaicsomag,boríték,drámai
csoport,bandacsoport,természetescsoport,banda,természetes
császár,császáricsászár,felnőttcsászár,császári,felnőtt
csökkent,növekedéscsökkent,angolcsökkent,növekedés,angol
csúnya,szűkítéscsúnya,zsákmánycsúnya,szűkítés,zsákmány
cím,névcím,igazcím,név,igaz
cím.1,számcím,zuhanycím,szám,zuhany
dal,albumdal,kosárlabdadal,album,kosárlabda
darab,töredékdarab,borzalomdarab,töredék,borzalom
december,novemberdecember,szerencsejátékdecember,november,szerencsejáték
demokrácia,szabadságdemokrácia,eladódemokrácia,szabadság,eladó
demonstráció,tiltakozásdemonstráció,megbocsátdemonstráció,tiltakozás,megbocsát
depresszió,feszültségdepresszió,tonhaldepresszió,feszültség,tonhal
dicsőség,dicsődicsőség,magyarázatdicsőség,dicső,magyarázat
dinamit,puskapordinamit,átokdinamit,puskapor,átok
ding,pingding,ittding,ping,itt
dokumentum,fájldokumentum,dózisdokumentum,fájl,dózis
dollár,fontdollár,kabindollár,font,kabin
drog,alkoholdrog,galériadrog,alkohol,galéria
dzseki,ingdzseki,kormányzódzseki,ing,kormányzó
dél,éjféldél,kémdél,éjfél,kém
díj,nobeldíj,templomdíj,nobel,templom
düh,haragdüh,banándüh,harag,banán
ebéd,falatozásebéd,radarebéd,falatozás,radar
egyedi,különlegesegyedi,építkezésegyedi,különleges,építkezés
egyedi.1,személyegyedi,kardegyedi,személy,kard
egyenruha,jelvényegyenruha,hízelegegyenruha,jelvény,hízeleg
egyetem,főiskolaegyetem,csészeegyetem,főiskola,csésze
egyetemi tanár,dékánegyetemi tanár,tiszteletegyetemi tanár,dékán,tisztelet
egyszerű,egyszerűenegyszerű,elhárításegyszerű,egyszerűen,elhárítás
együttérzés,türelemegyüttérzés,járműegyüttérzés,türelem,jármű
elad,megveszelad,becenévelad,megvesz,becenév
eladás,árveréseladás,helyzeteladás,árverés,helyzet
elbocsátás,lemondáselbocsátás,szájelbocsátás,lemondás,száj
elegendő,elégelegendő,edzőelegendő,elég,edző
elegáns,divatoselegáns,csókelegáns,divatos,csók
elektromos,mágneseselektromos,báziselektromos,mágneses,bázis
elektromosság,jelenlegielektromosság,tekintelektromosság,jelenlegi,tekint
elem,tényezőelem,milliomoselem,tényező,milliomos
elemzés,boncoláselemzés,lányelemzés,boncolás,lány
elfogad,megtagadjaelfogad,toronyelfogad,megtagadja,torony
elhagyott,elhagyelhagyott,piszkoselhagyott,elhagy,piszkos
elhelyezkedés,helyelhelyezkedés,leszbikuselhelyezkedés,hely,leszbikus
eljárás,folyamateljárás,forróeljárás,folyamat,forró
elképesztő,hatásoselképesztő,ellenálláselképesztő,hatásos,ellenállás
elkölt,pazarláselkölt,meglepetéselkölt,pazarlás,meglepetés
ellenfél,ellenségellenfél,kritikaiellenfél,ellenség,kritikai
ellentétes,szembenellentétes,századellentétes,szemben,század
ellenáll,ellenállásellenáll,félellenáll,ellenállás,fél
ellenőriz,csekkolellenőriz,egészségesellenőriz,csekkol,egészséges
ellenőrzés,vizsgálatellenőrzés,szegényellenőrzés,vizsgálat,szegény
elmélet,ötletelmélet,árveréselmélet,ötlet,árverés
elnök,kancellárelnök,tartalmazelnök,kancellár,tartalmaz
elrabol,elviszelrabol,trófeaelrabol,elvisz,trófea
elrejt,borítóelrejt,jegyelrejt,borító,jegy
elsődleges,másodlagoselsődleges,férfielsődleges,másodlagos,férfi
eltemet,áseltemet,fehérjeeltemet,ás,fehérje
eltávolít,megszünteteltávolít,harageltávolít,megszüntet,harag
eltör,széttöreltör,stádiumeltör,széttör,stádium
eltűnés,haláleltűnés,végeeltűnés,halál,vége
elvár,várjonelvár,sugárelvár,várjon,sugár
előadás,szemináriumelőadás,természetfölöttielőadás,szeminárium,természetfölötti
előállít,teremtelőállít,túszelőállít,teremt,túsz
emberek,népességemberek,csapdaemberek,népesség,csapda
emberi,férfiemberi,vonzóemberi,férfi,vonzó
emlékezik,elfelejtemlékezik,sürgősemlékezik,elfelejt,sürgős
energia,erőenergia,szakácsenergia,erő,szakács
enged,lehetővé teszienged,lovasságenged,lehetővé teszi,lovasság
eper,banáneper,segítségeper,banán,segítség
epizód,sorozatepizód,tengerepizód,sorozat,tenger
erdő,dzsungelerdő,lehetetlenerdő,dzsungel,lehetetlen
