target_word_unique,word_combo_related,word_combo_unrelated,cue_word_related,cue_word_unrelated
absolwent,dyplomabsolwent,arsenałabsolwent,dyplom,arsenał
absurdalny,niedorzecznyabsurdalny,daneabsurdalny,niedorzeczny,dane
administracyjny,kierownictwoadministracyjny,coadministracyjny,kierownictwo,co
adrenalina,hormonadrenalina,głupiecadrenalina,hormon,głupiec
adres,numeradres,prawdaadres,numer,prawda
agencja,solidnyagencja,baronagencja,solidny,baron
akapit,sekcjaakapit,wątpliwośćakapit,sekcja,wątpliwość
akcent,głosakcent,kawaleriaakcent,głos,kawaleria
akceptować,odrzucaćakceptować,wieżaakceptować,odrzucać,wieża
aktor,autoraktor,klarownieaktor,autor,klarownie
aktywować,bodziecaktywować,afrykaaktywować,bodziec,afryka
alarm,alertalarm,ignorancjaalarm,alert,ignorancja
aleja,zaułekaleja,zwiększaćaleja,zaułek,zwiększać
alfa,omegaalfa,przemysłalfa,omega,przemysł
alibi,motywalibi,nierozsądnyalibi,motyw,nierozsądny
ameryka,afrykaameryka,czosnekameryka,afryka,czosnek
analiza,sekcja zwłokanaliza,kaskanaliza,sekcja zwłok,kask
apartament,domapartament,cieczapartament,dom,ciecz
aprobata,pozwolenieaprobata,niedźwiedźaprobata,pozwolenie,niedźwiedź
architekt,inżynierarchitekt,delikatnyarchitekt,inżynier,delikatny
aresztować,karaćaresztować,nigdyaresztować,karać,nigdy
armia,legionarmia,tostarmia,legion,tost
arogancja,ignorancjaarogancja,prywatnyarogancja,ignorancja,prywatny
artyleria,kawaleriaartyleria,zablokowanyartyleria,kawaleria,zablokowany
asystent,sekretarzasystent,trampkiasystent,sekretarz,trampki
atak,inwazjaatak,ślimakatak,inwazja,ślimak
atlantycki,pacyfikatlantycki,sławaatlantycki,pacyfik,sława
atmosfera,środowiskoatmosfera,cennyatmosfera,środowisko,cenny
autobus,pociągautobus,obrazautobus,pociąg,obraz
autorytet,jurysdykcjaautorytet,inżynierautorytet,jurysdykcja,inżynier
autostrada,drogaautostrada,pająkautostrada,droga,pająk
babcia,dziadekbabcia,atrakcyjnybabcia,dziadek,atrakcyjny
badacz,analitykbadacz,spódnicabadacz,analityk,spódnica
badanie,eksperymentbadanie,cieńbadanie,eksperyment,cień
bar,klubbar,błyskawicabar,klub,błyskawica
bardzo,skrajniebardzo,hałasbardzo,skrajnie,hałas
baseball,stadionbaseball,aniołbaseball,stadion,anioł
batalion,pułkbatalion,prawobatalion,pułk,prawo
bawełna,jedwabbawełna,wyjątkowybawełna,jedwab,wyjątkowy
bezpieczeństwo,ochronabezpieczeństwo,omegabezpieczeństwo,ochrona,omega
bezpośrednio,bezpośrednibezpośrednio,ekscytującybezpośrednio,bezpośredni,ekscytujący
bezsilny,bezradnybezsilny,farbabezsilny,bezradny,farba
bezwartościowy,nieprzydatnybezwartościowy,filiżankabezwartościowy,nieprzydatny,filiżanka
bijatyka,walkabijatyka,porywaczbijatyka,walka,porywacz
biologia,chemiabiologia,tancerzbiologia,chemia,tancerz
biologiczny,chemicznybiologiczny,gotówkabiologiczny,chemiczny,gotówka
bitwa,wojnabitwa,sherlockbitwa,wojna,sherlock
biznes,przemysłbiznes,bógbiznes,przemysł,bóg
blizna,tatuażblizna,użytecznyblizna,tatuaż,użyteczny
boczek,tostboczek,losboczek,tost,los
bogactwo,skarbbogactwo,dziekanbogactwo,skarb,dziekan
bogaty,biednybogaty,rakietabogaty,biedny,rakieta
boski,bógboski,latoboski,bóg,lato
boston,waszyngtonboston,nagleboston,waszyngton,nagle
brachu,koleśbrachu,chaosbrachu,koleś,chaos
brama,wjazdbrama,komplementbrama,wjazd,komplement
brat,siostrabrat,brzdękbrat,siostra,brzdęk
broda,włosybroda,badaniebroda,włosy,badanie
bronić,chronićbronić,stworzeniebronić,chronić,stworzenie
broń,pistoletbroń,plusbroń,pistolet,plus
brudny,ohydnybrudny,statusbrudny,ohydny,status
brzuszny,grzebietowybrzuszny,waszyngtonbrzuszny,grzebietowy,waszyngton
brzydki,obrzydliwybrzydki,ofiarabrzydki,obrzydliwy,ofiara
budować,budowabudować,kamerabudować,budowa,kamera
budynek,wieżabudynek,ciepłybudynek,wieża,ciepły
burmistrz,szeryfburmistrz,stółburmistrz,szeryf,stół
burza,wiatrburza,przywilejburza,wiatr,przywilej
but,trampkibut,prowadzićbut,trampki,prowadzić
butelka,kieliszekbutelka,bankierbutelka,kieliszek,bankier
ból,cierpienieból,krewnyból,cierpienie,krewny
całkowicie,absolutniecałkowicie,dobrycałkowicie,absolutnie,dobry
cebula,czosnekcebula,jurysdykcjacebula,czosnek,jurysdykcja
celowo,przypadkowocelowo,mostcelowo,przypadkowo,most
cena,wartośćcena,królewskicena,wartość,królewski
centymetr,milacentymetr,geniuszcentymetr,mila,geniusz
ceremonia,rytuałceremonia,wytrzymałyceremonia,rytuał,wytrzymały
cesarz,imperialnycesarz,dorosłycesarz,imperialny,dorosły
choroba,grypachoroba,przyciskchoroba,grypa,przycisk
chory,niezdrówchory,słownikchory,niezdrów,słownik
chrześcijanin,katolikchrześcijanin,obciążeniechrześcijanin,katolik,obciążenie
chusteczka,szmatkachusteczka,ninjachusteczka,szmatka,ninja
chwała,chwalebnychwała,chemicznychwała,chwalebny,chemiczny
chłopiec,dziewczynachłopiec,niewygodnychłopiec,dziewczyna,niewygodny
ciasto,deserciasto,analitykciasto,deser,analityk
ciekawe,ekscytującyciekawe,firmaciekawe,ekscytujący,firma
ciemny,cieńciemny,tabletkaciemny,cień,tabletka
cisza,cichycisza,kolekcjonowaćcisza,cichy,kolekcjonować
ciągnąć,naciskaćciągnąć,turniejciągnąć,naciskać,turniej
ciąć,podrzećciąć,teleskopciąć,podrzeć,teleskop
ciąża,narodzinyciąża,kompasciąża,narodziny,kompas
ciężarówka,jeepciężarówka,złociężarówka,jeep,zło
ciśnienie,pulsciśnienie,obrzydliwyciśnienie,puls,obrzydliwy
cmentarz,gróbcmentarz,zastosowaćcmentarz,grób,zastosować
coś,niccoś,niefortunnycoś,nic,niefortunny
cygaro,palićcygaro,ruszaćcygaro,palić,ruszać
cyniczny,naiwnycyniczny,pozwoleniecyniczny,naiwny,pozwolenie
cyrk,ogród zoologicznycyrk,karabincyrk,ogród zoologiczny,karabin
cywilizacja,kulturacywilizacja,sekretcywilizacja,kultura,sekret
czapka,kaskczapka,medycznyczapka,kask,medyczny
czapka.1,okularyczapka,raportczapka,okulary,raport
czarny,białyczarny,aspirynaczarny,biały,aspiryna
czarodziej,magiaczarodziej,utopićczarodziej,magia,utopić
czarownica,przekleństwoczarownica,betonczarownica,przekleństwo,beton
czasopismo,playboyczasopismo,metodaczasopismo,playboy,metoda
czaszka,kośćczaszka,wartośćczaszka,kość,wartość
czekolada,cukierczekolada,znaczenieczekolada,cukier,znaczenie
cztery,dwacztery,mistrzcztery,dwa,mistrz
czwarty,trzeciczwarty,inspirowaćczwarty,trzeci,inspirować
czyn,gestczyn,postaćczyn,gest,postać
cząstka,materiacząstka,kontraktcząstka,materia,kontrakt
często,czasemczęsto,w porządkuczęsto,czasem,w porządku
człowiek,osobaczłowiek,trumnaczłowiek,osoba,trumna
daleko,bliskodaleko,rumdaleko,blisko,rum
dama,lorddama,psychicznydama,lord,psychiczny
darowizna,dobroczynnośćdarowizna,codzienniedarowizna,dobroczynność,codziennie
dawać,ofertadawać,terminaldawać,oferta,terminal
definicja,pojęciedefinicja,uczeńdefinicja,pojęcie,uczeń
dekada,stuleciedekada,niezdrówdekada,stulecie,niezdrów
delikatny,miękkidelikatny,społeczeństwodelikatny,miękki,społeczeństwo
demokracja,wolnośćdemokracja,koleśdemokracja,wolność,koleś
demonstracja,protestdemonstracja,wybaczaćdemonstracja,protest,wybaczać
depresja,stresdepresja,białydepresja,stres,biały
detektyw,agentdetektyw,dosłowniedetektyw,agent,dosłownie
determinacja,odwagadeterminacja,łańcuchdeterminacja,odwaga,łańcuch
dezorientacja,chaosdezorientacja,kabeldezorientacja,chaos,kabel
diabeł,aniołdiabeł,przesłuchiwaćdiabeł,anioł,przesłuchiwać
dno,szczytdno,sprawdzaćdno,szczyt,sprawdzać
dobrowolnie,wolontariuszdobrowolnie,wjazddobrowolnie,wolontariusz,wjazd
doceniać,podziwiaćdoceniać,krowadoceniać,podziwiać,krowa
dochód,zyskdochód,słodkidochód,zysk,słodki
dodatkowy,nadmiarowydodatkowy,iluzjadodatkowy,nadmiarowy,iluzja
dokument,plikdokument,dawkadokument,plik,dawka
dolar,funtdolar,pociągdolar,funt,pociąg
dolina,pustyniadolina,atomowydolina,pustynia,atomowy
dookoła,okrągłydookoła,gestdookoła,okrągły,gest
dostarczyć,umożliwićdostarczyć,chirurgdostarczyć,umożliwić,chirurg
drapieżnik,ofiaradrapieżnik,podróbkadrapieżnik,ofiara,podróbka
drzewo,krzewdrzewo,rzeczywistośćdrzewo,krzew,rzeczywistość
