fa_cue,fa_target,type,cue_type,target_type,fa_cosine
دی اِن اِی,اثر انگشت,related,word,word,
بشقاب پرنده,آدم فضایی,related,word,word,
آتش,شعله,related,word,word,0.552645308962847
آدم ربا,فدیه,related,word,word,
آدم ربایی,ربودن,related,word,word,
آدم ساده,بدبین,related,word,word,
آدم ساده,احمق,related,word,word,
آزاد,رایگان,related,word,word,0.120461772882727
آزادی,دموکراسی,related,word,word,0.473319786055127
آسپرین,مورفین,related,word,word,0.538243913225695
آسمان,بهشتی,related,word,word,0.336691644661147
آشوب,گیجی,related,word,word,0.202752911343266
آلبوم,ترانه,related,word,word,0.398544938286038
آلودگی,تابش - تشعشع,related,word,word,
آماده,آماده کردن,related,word,word,
آماده سازی,برنامه ریزی,related,word,word,
آناتومی,روانشناسی,related,word,word,0.488895177800679
آنفولانزا,بیماری,related,word,word,0.44389591815134
آهسته. تدریجی,آهسته,related,word,word,
آینده,گذشته,related,word,word,0.415083731920666
ابدی,تا ابد,related,word,word,
ابر,مه,related,word,word,0.274700874366921
ابریشم,پنبه,related,word,word,0.303915864430498
ابزار,وسیله,related,word,word,0.298705877670972
اتاق,اتاق خواب,related,word,word,
اتمی,هسته ای,related,word,word,
اجازه,تاییدیه,related,word,word,0.245694678259355
اجازه,رخصت,related,word,word,0.36883375683879
دویدن,راه رفتن,related,word,word,
احتمال,احتمال دارد,related,word,word,
گمان,احساس,related,word,word,0.304234363135032
احمق,خنگ,related,word,word,0.517255579734917
اداره کردن,موفق شدن,related,word,word,
پیش رفتن,ادامه دادن,related,word,word,
ارتباط,دوستی,related,word,word,0.27304472700567
اردوگاه,روستا,related,word,word,0.312735781292993
ارزشمند,مهم,related,word,word,0.482260117007041
کارمند ارشد,تازه کار,related,word,word,
ارکستر,گروه موسیقی,related,word,word,
ارگاسم,نعوظ,related,word,word,0.393440098403533
از بین بردن,برداشتن,related,word,word,
از لحاظ مالی,تامین مالی,related,word,word,
ازمایش,تست,related,word,word,0.469507823982993
اژدها,شیر نر,related,word,word,
استادیوم,بیسبال,related,word,word,0.474500338798511
استثنایی,قابل توجه,related,word,word,
قدرت,زور,related,word,word,0.182591870842271
استخدام,اجاره دادن,related,word,word,
استخوان,جمجمه,related,word,word,0.48886332411398
استعفا,اخراج,related,word,word,0.431123789159037
اسطوره,افسانه,related,word,word,0.467550399765141
مشایعت,همراهی کردن,related,word,word,
اسهال,حالت تهوع,related,word,word,
اشتباه,درست,related,word,word,0.34378223088722
اشتیاق,شور,related,word,word,0.385344301959846
اشک,بریدن,related,word,word,0.0984608128853613
اصابت,ضربه,related,word,word,0.343473449220018
اصل,کپی 🀄,related,word,word,
اضافه,افزوده,related,word,word,0.346578921889036
نظر,گفته,related,word,word,0.154520722207158
اعتبار,وام,related,word,word,0.292960481245311
اعتراض,تظاهرات,related,word,word,0.423771553273833
اعتماد,ایمان,related,word,word,0.330763196336065
باز کردن,بستن,related,word,word,
افریقا,امریکا,related,word,word,0.494354439956071
افزایش دادن,كاهش دادن,related,word,word,
افسون,زیبایی,related,word,word,0.225289817012653
افشا,بصیرت,related,word,word,0.144427829004392
اقرار کردن,اعتراف کردن,related,word,word,
اکثریت,رای,related,word,word,0.517829970100637
اکنون,دانستن,related,word,word,0.304068726410328
باسن,نشیمنگاه,related,word,word,
الکل,دارو,related,word,word,0.393582170603349
الماس,جواهر,related,word,word,0.498089417436371
الهام بخشیدن,الهام,related,word,word,
اماتور,حرفه ای,related,word,word,
امبولانس,بالگرد,related,word,word,0.3732173399478
امپراتوری,امپراتور,related,word,word,0.803562176588501
امتیاز,افتخار,related,word,word,0.220664977708812
امروز,دیروز,related,word,word,0.452549128206429
امنیت,ایمنی,related,word,word,0.505181045927963
امید,ایمان,related,word,word,0.449178579772352
انبار مهمات,زرادخانه,related,word,word,
انتخاب,گزینه,related,word,word,0.389801419516716
انتخاب کردن,برگزیدن,related,word,word,
انتقام,عدالت,related,word,word,0.404440538860035
