"fa_target","fa_cue","type","target_type","cue_type","fa_cosine"
"اثر انگشت","dna","related","word","word",NA
"بیگانه","ufo","related","word","word",0.288809388610305
"شعله","آتش","related","word","word",0.552645308962847
"فدیه","آدم ربا","related","word","word",NA
"ربودن","آدم ربایی","related","word","word",NA
"بدبینانه","آدم ساده","related","word","word",NA
"احمق","آدم ساده","related","word","word",NA
"رایگان","آزادانه","related","word","word",0.215554281508325
"دموکراسی","آزادی","related","word","word",0.473319786055127
"مورفین","آسپرین","related","word","word",0.538243913225695
"آسمانی","آسمان","related","word","word",0.699892494597814
"گیجی","آشوب","related","word","word",0.202752911343266
"ترانه","آلبوم","related","word","word",0.398544938286038
"تابش - تشعشع","آلودگی","related","word","word",NA
"آماده کردن","آماده","related","word","word",NA
"برنامه ریزی","آماده سازی","related","word","word",NA
"روانشناسی","آناتومی","related","word","word",0.488895177800679
"مرض","آنفولانزا","related","word","word",0.46841722583505
"سریع","آهسته. تدریجی","related","word","word",NA
"گذشته","آینده","related","word","word",0.415083731920666
"تا ابد","ابدی","related","word","word",NA
"مه","ابر","related","word","word",0.274700874366921
"پنبه","ابریشم","related","word","word",0.303915864430498
"ابزار","ابزار","related","word","word",1
"اتاق خواب","اتاق","related","word","word",NA
"هسته ای","اتمی","related","word","word",NA
"تصویب","اجازه","related","word","word",0.180591375671134
"اجازه دهید","اجازه","related","word","word",NA
"راه رفتن","اجرا کن","related","word","word",NA
"احتمال دارد","احتمال","related","word","word",NA
"احساس","احساس؛ عقیده؛ گمان","related","word","word",NA
"ادم سفیه و احمق","احمق","related","word","word",NA
"موفق شدن","اداره کردن","related","word","word",NA
"ادامه هید","ادامه دادن","related","word","word",NA
"دوستی","ارتباط","related","word","word",0.27304472700567
"روستا","اردوگاه","related","word","word",0.312735781292993
"مهم","ارزشمند","related","word","word",0.482260117007041
"جوان","ارشد","related","word","word",0.274551479807509
"باند","ارکستر","related","word","word",0.23361774454982
"نعوظ","ارگاسم","related","word","word",0.393440098403533
"برداشتن","از بین بردن","related","word","word",NA
"تامین مالی","از لحاظ مالی","related","word","word",NA
"تست","ازمایش","related","word","word",0.469507823982993
"شیر نر","اژدها","related","word","word",NA
"بیسبال","استادیوم","related","word","word",0.474500338798511
"قابل توجه","استثنایی","related","word","word",NA
"زور","استحکام - قدرت","related","word","word",NA
"اجاره دادن","استخدام","related","word","word",NA
"جمجمه","استخوان","related","word","word",0.48886332411398
"اخراج","استعفا","related","word","word",0.431123789159037
"افسانه","اسطوره","related","word","word",0.467550399765141
"همراهی کردن","اسکورت","related","word","word",NA
"حالت تهوع","اسهال","related","word","word",NA
"درست","اشتباه","related","word","word",0.34378223088722
"شور","اشتیاق","related","word","word",0.385344301959846
"قطع کردن","اشک","related","word","word",NA
"ضربه","اصابت","related","word","word",0.343473449220018
"کپی 🀄","اصلی","related","word","word",NA
"اضافی","اضافی","related","word","word",1
"بیانیه","اظهار نظر","related","word","word",NA
"وام","اعتبار","related","word","word",0.292960481245311
"تظاهرات","اعتراض","related","word","word",0.423771553273833
"ایمان داشتن","اعتماد","related","word","word",NA
"بسته","افتتاح","related","word","word",0.251102328974274
"امریکا","افریقا","related","word","word",0.494354439956071
"كاهش دادن","افزایش دادن","related","word","word",NA
"زیبایی","افسون","related","word","word",0.225289817012653
"چشم انداز","افشا","related","word","word",NA
"اعتراف کردن","اقرار کردن","related","word","word",NA
"رای","اکثریت","related","word","word",0.517829970100637
"دانستن","اکنون","related","word","word",0.304068726410328
"لبخ","الاغ","related","word","word",NA
"دارو","الکل","related","word","word",0.39358217060335
"جواهر","الماس","related","word","word",0.498089417436371
"الهام","الهام بخشیدن","related","word","word",NA
"حرفه ای","اماتور","related","word","word",NA
"بالگرد","امبولانس","related","word","word",0.3732173399478
"امپراتور","امپراتوری","related","word","word",0.803562176588501
"افتخار و احترام","امتیاز","related","word","word",NA
"دیروز","امروز","related","word","word",0.452549128206429
"ایمنی","امنیت","related","word","word",0.505181045927963
"ایمان","امید","related","word","word",0.449178579772352
"زرادخانه","انبار مهمات","related","word","word",NA
"گزینه","انتخاب","related","word","word",0.389801419516716
"انتخاب کنید","انتخاب کنید","related","word","word",NA
"عدالت","انتقام","related","word","word",0.404440538860035
"طول","اندازه","related","word","word",0.196543424932759
"تئوری","اندیشه","related","word","word",0.445130998417943
"شست","انگشت","related","word","word",0.344036647422195
"فرانسوی","انگلیسی","related","word","word",0.61180867538749
"alibi","انگیزه","related","word","word",NA
"فلز","اهن","related","word","word",0.333070499331457
"آخر","اولین","related","word","word",0.270865224840503
"تخریب","ایجاد","related","word","word",0.415329378896705
"تولید کردن","ایجاد کردن","related","word","word",NA
"اچآیوی","ایدز","related","word","word",NA
"کامل","ایده آل","related","word","word",NA
"نشستن","ایستادن","related","word","word",0.410062960327214
"وب","اینترنت","related","word","word",0.268364847857386
"آنجا","اینجا","related","word","word",0.308329777712933
"مهربان","با ادب","related","word","word",NA
"شکوه","با شکوه","related","word","word",NA
"مادر","بابا","related","word","word",0.292699271865795
"طوفان","باد","related","word","word",0.374114181364739
"محموله","بار","related","word","word",0.19334600246353
"برف","باران","related","word","word",0.451281001392892
"دینامیت","باروت","related","word","word",0.252219588926891
"شمار","بارون","related","word","word",0.120947233979211
"بستن","باز کن","related","word","word",NA
"آینه","بازتاب","related","word","word",0.277467585787131
"کمیسیونر، رئیس پلیس","بازرس","related","word","word",NA
"برگشت","بازگشت","related","word","word",0.537004378234156
"برنده","بازنده","related","word","word",0.522544824934122
"بازی","بازی","related","word","word",1
"شفا دادن","بازیابی کردن","related","word","word",NA
"بار","باشگاه","related","word","word",0.248525855939254
"آره","باشه","related","word","word",0.427410347052358
"سیرک","باغ وحش","related","word","word",NA
"خواب","باقی مانده","related","word","word",NA
"پایین","بالا","related","word","word",0.590139912289993
"پرش","بالا رفتن","related","word","word",NA
"والدین","بالغ","related","word","word",0.210243517668374
"سرمایه گذار","بانکدار","related","word","word",NA
"مالی","بانکداری","related","word","word",0.427555897461407
"بهانه","ببخشید","related","word","word",0.104139536755989
"فولاد","بتن","related","word","word",0.385653427460253
"خدمتکار","بچه دار","related","word","word",NA
"سیاسی","بحرانی","related","word","word",0.401800137106591
"پاراگراف","بخش","related","word","word",0.285385550628099
"رحم","بخشش","related","word","word",0.442492078259368
