"fa_cue","fa_target","fa_fake_target","fa_fake_cue","en_cue","en_target"
"dna","اثر انگشت","اثدقانگشت","كچa","dna","fingerprint"
"ufo","بیگانه","بینظنه","هعo","ufo","alien"
"آتش","شعله","حلله","اوش","fire","flame"
"آدم ربا","فدیه","فدهي","آدم فیا","kidnapper","ransom"
"آدم ربایی","ربودن","ربـان","آدم ربيکی","kidnap","abduct"
"آدم ساده","بدبینانه","بدبینارد","آدهحساده","naive","cynical"
"آدم ساده","احمق","احof","آدهحساده","naïve","stupid"
"آزادانه","رایگان","راجران","آززیانه","freely","free"
"آزادی","دموکراسی","دموکراگو","زاادی","freedom","democracy"
"آسپرین","مورفین","موقصین","آسنبین","aspirin","morphine"
"آسمان","آسمانی","کنمانی","آسلين","sky","heavenly"
"آشوب","گیجی","گیزو","تلوب","chaos","confusion"
"آلبوم","ترانه","ردانه","خربوم","album","song"
"آلودگی","تابش - تشعشع","تابش  تشعas","آلودیت","contamination","radiation"
"آماده","آماده کردن","آمادوشکردن","دیاده","ready","prepare"
"آماده سازی","برنامه ریزی","برنامهدكیزی","آمادکيسازی","preparation","planning"
"آناتومی","روانشناسی","روانشنیتی","آنفلومی","anatomy","psychology"
"آنفولانزا","مرض","ايض","آنژيلانزا","flu","disease"
"آهسته. تدریجی","سریع","سرغم","آهسته. تدرتری","slow","fast"
"آینده","گذشته","گذاشه","دکنده","future","past"
"ابدی","تا ابد","تاشهبد","ابیت","eternal","forever"
"ابر","مه","اح","مجر","cloud","fog"
"ابریشم","پنبه","قدبه","ابتهشم","silk","cotton"
"ابزار","ابزار","مجزار","مجزار","tool","instrument"
"اتاق","اتاق خواب","اتاقضاواب","اتزت","room","bedroom"
"اتمی","هسته ای","هستهگمی","اتخا","atomic","nuclear"
"اجازه","تصویب","تصسرب","تیازه","permission","approval"
"اجازه","اجازه دهید","اجازگلدهید","تیازه","allow","let"
"اجرا کن","راه رفتن","رادفرفتن","اجرامگن","run","walk"
"احتمال","احتمال دارد","احتمالزیارد","احفعال","probability","likely"
"احساس؛ عقیده؛ گمان","احساس","احنیس","احساپا عقیده؛ گمان","impression","feeling"
"احمق","ادم سفیه و احمق","ادم سفیهشی احمق","احفف","fool","idiot"
"اداره کردن","موفق شدن","موفقیزدن","ادارىىکردن","manage","succeed"
"ادامه دادن","ادامه هید","ادامکتهید","اداميپدادن","proceed","continue"
"ارتباط","دوستی","دوردی","ارتبمز","relationship","friendship"
"اردوگاه","روستا","روورا","اررنگاه","camp","village"
"ارزشمند","مهم","صلم","ارزشتاد","valuable","important"
"ارشد","جوان","خاان","ارve","senior","junior"
"ارکستر","باند","انند","ارکسید","orchestra","band"
"ارگاسم","نعوظ","نعگـ","ارنيسم","orgasm","erection"
"از بین بردن","برداشتن","برداهمن","از بینآلردن","eliminate","remove"
"از لحاظ مالی","تامین مالی","تامیودمالی","ازگدحاظ مالی","financially","financing"
"ازمایش","تست","غيت","ازمالی","experiment","test"
"اژدها","شیر نر","شیلينر","سادها","dragon","lion"
"استادیوم","بیسبال","بیاتال","استاودوم","stadium","baseball"
"استثنایی","قابل توجه","قابلکجوجه","استثنامر","exceptional","remarkable"
"استحکام - قدرت","زور","ونر","استحکاتز قدرت","strength","force"
"استخدام","اجاره دادن","اجاریـدادن","استخاسم","hire","rent"
"استخوان","جمجمه","جمظره","استخدین","bone","skull"
"استعفا","اخراج","پدراج","استعكه","resignation","dismissal"
"اسطوره","افسانه","ميسانه","اساهره","myth","legend"
"اسکورت","همراهی کردن","همراهینتردن","اسکوتا","escort","accompany"
"اسهال","حالت تهوع","حالت تخلع","اسسيل","diarrhea","nausea"
"اشتباه","درست","درني","هرتباه","wrong","correct"
"اشتیاق","شور","رگر","اشتیقش","enthusiasm","passion"
"اشک","قطع کردن","قطهوکردن","لرک","tear","cut"
"اصابت","ضربه","ضروي","حوابت","hit","strike"
"اصلی","کپی 🀄","لئی 🀄","حولی","original","copy"
"اضافی","اضافی","اضبتی","گسافی","extra","additional"
"اظهار نظر","بیانیه","بیانور","ژيهار نظر","comment","statement"
"اعتبار","وام","يسم","اعخوار","credit","loan"
"اعتراض","تظاهرات","شصاهرات","اعترil","protest","demonstration"
"اعتماد","ایمان داشتن","ایماسكداشتن","اعرزاد","trust","believe"
"افتتاح","بسته","كاته","افبياح","opening","closure"
"افریقا","امریکا","امموکا","افترقا","africa","america"
"افزایش دادن","كاهش دادن","كاهشديادن","افودیش دادن","increase","reduce"
"افسون","زیبایی","زیبانا","آمسون","charm","beauty"
"افشا","چشم انداز","چشدكانداز","افاف","revelation","vision"
"اقرار کردن","اعتراف کردن","اعترافودردن","كيرار کردن","admit","confess"
"اکثریت","رای","ویی","اکپنیت","majority","vote"
"اکنون","دانستن","دادگتن","لینون","now","know"
"الاغ","لبخ","مرخ","التى","ass","butt"
"الکل","دارو","داتش","الگن","alcohol","drug"
"الماس","جواهر","جوکسر","الترس","diamond","jewel"
"الهام بخشیدن","الهام","ونهام","الهاایبخشیدن","inspire","inspiration"
"اماتور","حرفه ای","حرفهاخی","اموشور","amateur","professional"
"امبولانس","بالگرد","بايهرد","امــلانس","ambulance","helicopter"
"امپراتوری","امپراتور","امتحاتور","امپريشوری","imperial","emperor"
"امتیاز","افتخار و احترام","افتخارثم احترام","امرياز","privilege","honor"
"امروز","دیروز","نگروز","امينز","today","yesterday"
"امنیت","ایمنی","ایزای","رونیت","security","safety"
"امید","ایمان","ایدهن","امتر","hope","faith"
"انبار مهمات","زرادخانه","زرادهخنه","انبااخمهمات","arsenal","armory"
"انتخاب","گزینه","گزبيه","انتخشت","choice","option"
"انتخاب کنید","انتخاب کنید","انتخابتكنید","انتخابوتنید","choose","select"
"انتقام","عدالت","ژنالت","انگلام","revenge","justice"
"اندازه","طول","يكل","انداگي","size","length"
"اندیشه","تئوری","رضوری","انانشه","idea","theory"
"انگشت","شست","ضرت","انمتت","finger","thumb"
"انگلیسی","فرانسوی","فرانجای","انگللای","english","french"
"انگیزه","alibi","tvsbi","انلرزه","motive","alibi"
"اهن","فلز","رسز","رزن","iron","metal"
"اولین","آخر","ــر","اويون","first","last"
"ایجاد","تخریب","تخاوب","اینبد","creation","destruction"
"ایجاد کردن","تولید کردن","تولیآسکردن","ایجایهکردن","create","produce"
"ایدز","اچآیوی","رتآیوی","گندز","aids","hiv"
"ایده آل","کامل","کاگم","ایدهغسل","ideal","perfect"
"ایستادن","نشستن","خاستن","ایستلون","stand","sit"
"اینترنت","وب","مأ","کونترنت","internet","web"
"اینجا","آنجا","آنقه","ایترا","here","there"
"با ادب","مهربان","مهليان","بالقدب","polite","friendly"
"با شکوه","شکوه","شککش","با شژيه","glorious","glory"
"بابا","مادر","مانن","باگه","daddy","mum"
"باد","طوفان","طوجون","یید","wind","storm"
"بار","محموله","دوموله","ندر","load","cargo"
"باران","برف","طاف","بايين","rain","snow"
"باروت","دینامیت","دیناقات","بادات","gunpowder","dynamite"
"بارون","شمار","هیار","بانکن","baron","countess"
"باز کن","بستن","بسیش","باتقکن","open","close"
"بازتاب","آینه","دکنه","بازتبی","reflection","mirror"
"بازرس","کمیسیونر، رئیس پلیس","کمیسیونر، رئیسعیلیس","بالنس","inspector","commissioner"
"بازگشت","برگشت","بربوت","بازگاب","back","return"
"بازنده","برنده","رمنده","باروده","loser","winner"
"بازی","بازی","باود","باود","play","game"
"بازیابی کردن","شفا دادن","شفومدادن","بازیابرآکردن","recover","heal"
"باشگاه","بار","ندر","بامباه","club","bar"
"باشه","آره","نجه","بادن","okay","yeah"
"باغ وحش","سیرک","سیال","باحيوحش","zoo","circus"
"باقی مانده","خواب","خویر","باقیفهانده","rest","sleep"
"بالا","پایین","پاچون","بایش","top","bottom"
"بالا رفتن","پرش","وقش","بالاقافتن","climb","jump"
