"en_target","en_cue","en_fake_cue","en_fake_target"
"abandon","leave","ledie","placdon"
"abdominal","spinal","spmial","absenceinal"
"abduct","kidnap","kidior","abduyl"
"ability","capacity","cachronity","posiity"
"about","out","aht","abust"
"absence","presence","prescent","abserts"
"absurd","ridiculous","ridicunals","abruse"
"accent","voice","voade","accred"
"accept","refuse","renose","acchan"
"accident","incident","inciably","acciably"
"accompany","escort","escalf","acgrandpany"
"accusation","complaint","comtrains","accusahadev"
"act","gesture","cheture","vut"
"activate","trigger","grapger","actiskin"
"activity","active","acless","accrossity"
"actor","author","autash","accep"
"additional","extra","exent","addinatesal"
"address","number","ricber","addates"
"administrative","management","managetive","administravenous"
"adrenaline","hormone","horbolt","reseraline"
"advise","advice","adlake","adines"
"agency","firm","fizi","whency"
"agreement","contract","congrate","greatment"
"airport","terminal","termities","fanport"
"alarm","alert","idert","allim"
"alibi","motive","modate","aliwell"
"alien","ufo","rão","alyin"
"alley","corner","vulner","alfon"
"alpha","bravo","offvo","albey"
"amazing","impressive","impreshead","flating"
"america","africa","yurica","hartica"
"amount","sum","asm","amouhi"
"analysis","autopsy","aucurtsy","apolosis"
"angry","jealous","quadous","antot"
"animal","beast","trast","aniness"
"ant","bee","οse","cht"
"apartment","house","honke","blastment"
"appreciate","admire","adsias","apprecisions"
"approval","permission","permistors","apphoned"
"architect","engineer","engiboro","archilish"
"arm","hand","iend","uim"
"armor","shield","shakld","arnum"
"armory","arsenal","arseberg","aroney"
"army","legion","leride","eamy"
"around","round","roned","aratnd"
"arrest","punish","savish","arnels"
"arrogance","ignorance","ignohawks","arropared"
"artery","vein","rgin","artelf"
"artificial","natural","shipural","artifimates"
"artillery","cavalry","sidealry","arsellers"
"ask","question","weektion","ulk"
"assassin","mercenary","mercepled","assasnees"
"assist","help","heui","asfice"
"assistance","support","suplent","assiscians"
"assistant","secretary","secreveal","assishole"
"assumption","conclusion","conclutors","astroltion"
"atlantic","pacific","patrasic","attantes"
"atmosphere","environment","environhouse","atmosrence"
"attack","invasion","invacant","attort"
"attacker","victim","vicads","atkeiner"
"attempt","try","oky","attelle"
"attitude","opinion","mintion","attibler"
"attract","attention","attenberg","atgrate"
"audience","crowd","crdcd","audigled"
"authority","jurisdiction","jurisdicments","augreedity"
"autumn","spring","chring","autoly"
"bacon","toast","tobat","bathy"
"bad","good","goze","υld"
"bag","box","nax","ieg"
"bait","trap","buap","hmit"
"band","orchestra","orrashtra","basi"
"bar","club","clyn","eir"
"baseball","stadium","babidium","hangball"
"bathroom","shower","proser","bathtons"
"batman","superman","superform","ferman"
"battalion","regiment","regitors","battalents"
"battle","war","eir","centle"
"battlefield","arena","sysna","battlewoman"
"beard","hair","moir","bered"
"beautiful","pretty","pacity","whittiful"
"beauty","charm","chhum","twanty"
"bed","sofa","sogon","ild"
"bedroom","room","roup","turroom"
"beer","drink","swink","ncer"
"believe","trust","moust","beplete"
"billion","million","milhood","wonlion"
"biological","chemical","tourical","bioquistsical"
"biology","chemistry","adelistry","bilizedogy"
"bird","butterfly","buttercare","biot"
"birthday","anniversary","announcsary","pitchday"
"black","white","whnge","grack"
"blackmail","bribe","brbre","blackbank"
"blue","brown","brnin","bles"
"boat","submarine","submabeth","boul"
"book","bible","biute","boye"
"boss","manager","courager","boun"
"boston","washington","sentington","bogson"
"bottle","glass","akass","raptle"
"bottom","top","ipp","sadtom"
"boy","girl","giob","wmy"
"brave","noble","nosis","brose"
"break","smash","phash","brork"
"breakfast","dinner","hurner","breaksane"
"bride","groom","gream","brste"
"bright","shine","shthe","brooht"
"bro","dude","dusy","rgo"
"brother","sister","reyter","bracker"
"bruise","scratch","scrakih","brynse"
"build","construction","congresstion","buord"
"building","tower","veger","buckaing"
"bullet","caliber","calhide","finlet"
"bury","dig","ngg","piry"
"bus","train","troun","nns"
"business","industry","inreentry","blasness"
"butt","ass","uts","trtt"
"butter","honey","staey","capter"
"buyer","seller","perger","spoer"
"bye","hello","publo","yke"
"cake","dessert","deatert","cair"
"calculate","count","conot","calcupied"
"calm","quiet","fiset","cabr"
"camping","picnic","pictou","pacting"
"cancer","tumor","tunah","canina"
"candle","lamp","lawr","canway"
"cap","glasses","guardes","ipp"
"capitalism","anarchy","anaryare","capitalmadge"
"captain","commander","comfortder","captics"
"car","vehicle","vehimand","eir"
"cardinal","bishop","meisop","cardiuret"
"cargo","load","amad","bulgo"
"carpet","floor","flsir","carwho"
"cartel","mafia","maiga","carduc"
"castle","palace","palang","hontle"
"cat","dog","lng","ldt"
"catch","grab","grvi","capih"
"cause","reason","hagson","cadae"
"cemetery","grave","grnte","feldtery"
"centimeter","mile","midg","cenglitter"
"cerebral","brain","clain","prenbral"
"ceremony","ritual","blasual","bloodemony"
"chair","table","taute","chnor"
"challenge","obstacle","obstalags","chaltebbe"
"champagne","wine","awne","chamsione"
"championship","competition","competivates","champiousuke"
"chapel","church","chakch","chnuel"
"charming","attractive","atsumptive","thorning"
"chase","follow","saclow","chire"
"cheap","expensive","expendant","chivp"
"cheek","lip","scp","chamk"
"cheese","bread","bruld","cheely"
"chef","cook","coku","chib"
"chest","stomach","stomods","inest"
"chew","swallow","crawlow","chtu"
"child","baby","bados","choid"
"childhood","youth","yorah","childlion"
"chocolate","sugar","horar","chairlate"
"christian","catholic","cathadic","everytian"
"cigar","smoke","smire","onear"
"cigarette","tobacco","tochonco","cigapults"
"circus","zoo","yko","hencus"
"city","capital","capiford","saty"
"civilization","culture","temture","civitantstion"
"classic","typical","erecical","claskle"
"client","patient","pamount","ivient"
"clinic","hospital","sidepital","granic"
"close","open","ssen","clnte"
"closed","locked","looned","clpled"
"closet","cabinet","cabiface","aneset"
"closure","opening","cheting","defsure"
"coast","beach","beteh","cobut"
"coffee","cup","eop","takfee"
"cognac","rum","amm","cozano"
"cold","hot","ndt","cooc"
"collapse","fall","fari","coltache"
"colonel","general","backeral","colokul"
"come","arrive","arlieu","cogi"
"comedy","drama","kidma","peenedy"
"commissioner","inspector","intraitor","commiscatcher"
"committee","commission","commistors","commitcast"
"communication","navigation","navigabytes","communicaressed"
"communist","racist","accist","commupole"
"community","society","sociload","maraamunity"
"compassion","patience","patiable","compastors"
"complete","total","tomor","compence"
"completely","absolutely","abhoarsely","comridgely"
"computer","software","sancware","comfriger"
"concentrate","focus","fosky","concenscope"
"concert","tour","tobo","condeth"
"confess","admit","adins","conmise"
"confidence","respect","retinct","confinates"
"confirm","confirmation","confirmanence","conhiko"
"confusion","chaos","chtus","confutors"
"connection","contact","congaan","connecness"
"constantly","always","altors","conquately"
"constitution","law","myw","constiturates"
"content","contain","contics","conding"
"continue","proceed","proheit","connectue"
"contrary","opposite","oppomons","contaboy"
"convent","orphanage","orgrimage","conteen"
"cool","warm","wazi","cojo"
"copy","original","selfinal","rupy"
"corporation","company","wallpany","corporaphers"
"corpse","body","boyk","coyase"
"correct","wrong","scong","corroll"
"cotton","silk","sioy","keyton"
"countess","baron","bandn","changess"
"cousin","relative","relaless","corhin"
"cowboy","rodeo","roamo","kidboy"
"crazy","paranoid","paraphin","crlty"
"creativity","imagination","stickination","crecreepity"
"creature","monster","montezu","hakature"
"creepy","scary","liary","crimpy"
"crime","sin","ien","craie"
"criminal","thief","thoof","hackinal"
"crisis","situation","situagogue","taxsis"
"cruel","brutal","reltal","dalel"
"cruelty","evil","leil","lockelty"
"cut","tear","tesa","ytt"
"cute","sweet","swant","unte"
"cynical","naive","narte","grayical"
"dad","uncle","unful","ird"
"dance","dancer","dalper","daone"
"danger","risk","ridi","triger"
"dangerous","risky","masky","danbiguous"
"dark","shadow","thisow","daul"
"dawn","sunset","sunris","dask"
"dead","alive","spive","depu"
"deaf","blind","arind","deio"
"decade","century","fluctury","decans"
"december","november","notaryber","deflubber"
"deck","cabin","lipin","deks"
"defeat","victory","flattory","defurl"
"defend","protect","profuck","degung"
"definition","concept","constat","definipressed"
"delicious","tasty","tariy","delibling"
"democracy","freedom","freeety","preporacy"
"demonstration","protest","slotest","demonhaustion"
"departure","arrival","arequal","deparnell"
"depression","stress","streth","deprestors"
"description","profile","pronald","deposittion"
"destiny","fate","spte","destags"
"destruction","creation","vanation","descendtion"
"detective","agent","whent","detecless"
"determination","courage","cohoage","determinacelles"
"development","progress","prefress","developposed"
"device","chip","swip","decute"
"devil","angel","antov","gibil"
"devotion","fidelity","fitainty","devocals"
"die","suffer","nanfer","nte"
"different","similar","simiship","freeferent"
"dignity","pride","ovide","technity"
"ding","ping","pily","diou"
"directly","direct","dishit","dimately"
"director","producer","profriger","diequator"
"disappearance","death","dereh","disappearboard"
"disappointment","surprise","surdrate","disapagreement"
"discussion","conversation","conversavored","discustors"
"disease","flu","ndu","dissara"
"disgusting","dirty","digoy","disverging"
"dismissal","resignation","resignaments","discional"
"dispute","conflict","confills","disvene"
"district","county","cialty","disthies"
"disturb","interrupt","interzies","dissaro"
"divine","god","oyd","dijens"
"division","unit","reit","divitors"
"do","make","inke","tz"
"doctor","surgeon","pangeon","vintor"
"document","file","iple","doculars"
"dollar","pound","poetd","dolted"
"donation","charity","origity","donagawa"
"door","window","winfel","exor"
"draw","paint","parkt","drdd"
"dream","nightmare","nightache","cheam"
"dress","skirt","skbot","piess"
"driver","passenger","shinsenger","pigver"
"drug","alcohol","alcolawa","drfa"
"drunk","sober","duber","droik"
"duck","goose","godie","dure"
"dust","ash","lih","ngst"
"dusty","rusty","vesty","dunky"
"duty","responsibility","rehearsedsibility","berty"
"dynamite","gunpowder","gunblunder","dynahari"
"ear","eye","mte","uer"
"early","late","laug","denly"
"east","west","oist","eaux"
"easy","impossible","imbibedsible","eade"
"eat","feed","tted","cht"
"education","health","heloth","educapable"
"effect","influence","infludown","efvers"
"effective","useful","tasful","effecless"
"egg","nest","neey","azg"
"election","campaign","camstain","tinction"
"electric","magnetic","counnetic","electist"
"electricity","current","curbins","elecequality"
"elegant","fashionable","cheeionable","eleades"
"element","factor","dogtor","elenade"
"emergency","urgent","urbers","moregency"
"emotional","mental","wartal","emostrual"
"emperor","imperial","imperiallosaurus","emsignor"
"empire","dynasty","dynazio","empana"
"energy","power","draer","enerness"
"engine","tank","tari","enouge"
"entrance","exit","licit","entenced"
"entrepreneur","millionaire","millionfrom","entreprebaden"
"epidemic","plague","plagir","okaydemic"
"episode","series","sening","rhisode"
"equip","equipment","aquarment","eqnap"
"erection","orgasm","orgori","farction"
"escape","flee","flin","esmaud"
"evaluation","observation","observacants","drunkuation"
"evening","night","nicat","evenagg"
"event","phenomenon","catchnomenon","reent"
"eventually","finally","fisively","tighttually"
"ever","never","siter","lyer"
"exaggerate","underestimate","underestinovich","exaggercourt"
"excited","proud","raoud","extraped"
"excuse","forgive","forchae","exvere"
"execution","hanging","lapsing","execulates"
"exercise","practice","practler","exernets"
"exhibition","gallery","dullery","exhibivores"
"expect","wait","watc","exrace"
"explode","burst","buont","expeace"
"explosion","earthquake","earthsuble","explotors"
"explosive","bomb","borc","explohead"
"express","describe","descreen","exloads"
"external","internal","interbles","exterbles"
"failure","success","sucmeat","glisure"
"faith","hope","hoar","snith"
"faithful","loyal","nipal","ranchful"
"false","fake","farh","splse"
"family","clan","clim","stilily"
"famous","popular","meanular","fathis"
"fantastic","wonderful","wonwakeful","fantascosa"
"fantasy","reality","respectity","spectasy"
"far","near","bhar","yir"
"fast","slow","slff","orst"
"fatal","deadly","tardly","fania"
"father","mother","freeer","fatude"
"fax","mail","mawe","yzx"
"fear","horror","horchi","feti"
"federation","colony","cokeny","federalysts"
"feeling","impression","imprestors","cerning"
"female","male","owle","felawa"
"fence","wall","waro","feone"
"festival","carnival","carniinii","festibody"
"fever","cough","cookh","feinr"
"fight","combat","comtee","fittt"
"fighter","champion","jackpion","froster"
"filthy","nasty","naffy","fiuchy"
"financial","banking","venging","finansors"
"financing","financially","finanotechly","fifooting"
"find","search","searet","fift"
"fingerprint","dna","uwa","fingernight"
"finish","end","xed","bulish"
"fish","shark","shunk","acsh"
"fishing","hunting","scoting","sioning"
"flame","fire","mure","flree"
"fleet","naval","nasil","flamt"
"flight","landing","onating","twight"
"flour","grain","grimn","flcer"
"flower","plant","stant","flaber"
"fluid","liquid","liqhok","somid"
"fly","land","lahi","oty"
"fog","cloud","clvid","lng"
"football","basketball","basketsuno","quetball"
"force","strength","stmangth","fonke"
"forest","jungle","dolgle","fornia"
"forever","eternal","stilnal","backever"
"fork","spoon","spkan","fogh"
"four","two","rco","fowa"
"fourth","third","theid","fourha"
"fraud","conspiracy","contractacy","frued"
"free","freely","frtily","frpy"
"freeze","melt","metr","freeod"
"french","english","enggion","frenet"
"friend","colleague","colblegum","frieve"
"friendly","polite","polord","servedly"
"friendship","relationship","relationables","ceivership"
"frighten","scare","scnne","grounden"
"fruit","apple","aptis","frowt"
"fuel","gas","efs","parel"
"fugitive","refugee","reoggee","flurtive"
"full","empty","pluty","furt"
"functional","operational","operafights","richtional"
"funding","budget","songet","tuxeing"
"funeral","coffin","detfin","futribal"
"funny","witty","cavty","vicny"
"galaxy","universe","unihurst","garexy"
"game","play","plpa","gawa"
"garage","workshop","workstar","thrage"
"garbage","trash","buash","garbine"
"gate","portal","porise","gawa"
"gather","collect","colmuch","giorer"
"gay","lesbian","lesphin","miy"
"generally","naturally","natuquently","blackerally"
"generous","compassionate","compasrecreate","generence"
"gentle","soft","hift","genber"
"gift","compliment","complified","gilr"
"girls","boys","boei","gieis"
"give","offer","ofsia","gipy"
"global","national","nagawaal","aposal"
"glory","glorious","turnrious","idery"
"go","enter","endan","tz"
"gorilla","monkey","monvio","gocharla"
"government","administration","administraversed","governized"
"graduate","diploma","stillma","bushuate"
"gram","kilo","cumlo","grps"
"grandmother","grandfather","grandfaston","granddadser"
"gratitude","hospitality","hospionshipity","hooditude"
"great","excellent","excelaway","growt"
"greek","roman","roers","aseek"
"greet","congratulate","confoundulate","imeet"
"group","gang","reng","grsip"
"guilty","innocent","innogled","guilio"
"guitar","piano","pihow","sectar"
"gun","rifle","ririo","rón"
"hallucination","illusion","illutors","hallucinamurthy"
"hamburger","sandwich","sandkins","hamchaper"
"hammer","stick","stylk","mulmer"
"handkerchief","cloth","proth","handkerrowed"
"happen","occur","ocore","hapick"
"happy","satisfied","satistent","revpy"
"harbor","bay","ewy","harshe"
"hard","tough","toffh","haja"
"harmony","balance","balwhat","snowmony"
"hat","helmet","heltov","cht"
"headquarters","base","uise","headcounters"
"heal","recover","regreter","whal"
"hear","listen","gorten","hesa"
"heavenly","sky","zzy","coldenly"
"heavily","heavy","hensy","flexily"
"height","weight","weigzo","heelht"
"helicopter","ambulance","ambucombe","helicoigne"
"hell","paradise","parvulse","heca"
"heroin","cocaine","cowhite","neckin"
"hide","cover","piger","ilde"
"high","low","iew","hiul"
"highness","majesty","maiksty","rectness"
"highway","road","igad","highdle"
"hiv","aids","ainy","ovv"
"hole","crack","crumk","houn"
"holiday","christmas","christsen","gladiday"
"honest","decent","deence","casest"
"honesty","loyalty","ishialty","honbath"
