"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
640,"solute","solute-ly","ly",3,1,"hoarse-ly","hoarse",1,0,0,1,"absolutely","abhoarsely"
938,"den","den-tal","tal",5,9,"den-shichi","shichi",1,8,3,1,"accidentally","accidenshichily"
430,"tive","tive-last_blank","last_blank",2,190,"less-last_blank","less",186,4,0,2,"active","acless"
1,"ac","ac-tu","tu",4,17,"ac-knowl","knowl",7,10,3,1,"actually","acknowlally"
623,"tra","tra-tion","tion",5,14,"tra-versed","versed",1,13,2,1,"administration","administraversed"
2,"mire","mire-last_blank","last_blank",2,4,"sias-last_blank","sias",4,0,0,1,"admire","adsias"
803,"mit","mit-last_blank","last_blank",2,11,"ins-last_blank","ins",11,0,0,1,"admit","adins"
880,"ad","ad-ul","ul",1,2,"oo-ul","oo",2,0,0,1,"adult","ooult"
927,"tis","tis-ing","ing",4,2,"dream-ing","dream",2,0,2,1,"advertising","adverdreaming"
806,"vice","vice-last_blank","last_blank",2,4,"lake-last_blank","lake",4,0,0,1,"advice","adlake"
405,"af","af-ri","ri",1,7,"yu-ri","yu",7,0,0,1,"africa","yurica"
3,"ag","ag-en","en",1,8,"wh-en","wh",8,0,0,1,"agent","whent"
4,"ai","ai-ds","ds",1,2,"ai-ny","ny",2,0,0,1,"aids","ainy"
5,"first_blank","first_blank-ai","ai",1,92,"first_blank-sk","sk",95,3,0,1,"air","skr"
660,"bum","bum-last_blank","last_blank",2,2,"dex-last_blank","dex",2,0,0,1,"album","aldex"
6,"hol","hol-last_blank","last_blank",3,1,"lawa-last_blank","lawa",1,0,1,1,"alcohol","alcolawa"
821,"al","al-er","er",1,7,"id-er","id",7,0,0,1,"alert","idert"
589,"al","al-iv","iv",1,1,"sp-iv","sp",1,0,0,1,"alive","spive"
7,"al","al-low","low",2,4,"al-ber","ber",4,0,0,1,"allow","alber"
8,"al","al-on","on",1,10,"er-on","er",10,0,0,1,"alone","erone"
9,"ready","ready-last_blank","last_blank",2,2,"rells-last_blank","rells",2,0,0,1,"already","alrells"
10,"al","al-ways","ways",2,1,"al-tors","tors",1,0,0,1,"always","altors"
387,"teur","teur-last_blank","last_blank",3,8,"wich-last_blank","wich",8,0,0,1,"amateur","amawich"
11,"sador","sador-last_blank","last_blank",3,2,"still-last_blank","still",2,0,0,1,"ambassador","ambasstill"
12,"lance","lance-last_blank","last_blank",3,9,"combe-last_blank","combe",9,0,0,1,"ambulance","ambucombe"
951,"lyst","lyst-last_blank","last_blank",3,3,"sils-last_blank","sils",3,0,0,1,"analyst","anasils"
992,"chy","chy-last_blank","last_blank",3,3,"yare-last_blank","yare",3,0,1,1,"anarchy","anaryare"
967,"first_blank","first_blank-anato","anato",2,1,"first_blank-natha","natha",1,0,0,1,"anatomy","nathamy"
889,"chor","chor-last_blank","last_blank",2,1,"shak-last_blank","shak",1,0,0,1,"anchor","anshak"
13,"gel","gel-last_blank","last_blank",2,9,"tov-last_blank","tov",9,0,0,1,"angel","antov"
690,"an","an-ge","ge",1,28,"an-ks","ks",17,11,0,1,"anger","anksr"
663,"an","an-niver","niver",3,3,"an-nounc","nounc",3,0,0,1,"anniversary","announcsary"
14,"first_blank","first_blank-anony","anony",2,2,"first_blank-arous","arous",2,0,0,1,"anonymous","arousmous"
504,"swer","swer-last_blank","last_blank",2,1,"amei-last_blank","amei",1,0,0,1,"answer","anamei"
15,"dote","dote-last_blank","last_blank",3,2,"sers-last_blank","sers",2,0,0,1,"antidote","antisers"
745,"ple","ple-last_blank","last_blank",2,54,"tis-last_blank","tis",54,0,0,1,"apple","aptis"
16,"ply","ply-last_blank","last_blank",2,11,"mit-last_blank","mit",11,0,0,1,"apply","apmit"
630,"ar","ar-ea","ea",1,3,"ar-ag","ag",3,0,0,1,"area","arag"
975,"first_blank","first_blank-are","are",2,6,"first_blank-sys","sys",6,0,0,1,"arena","sysna"
910,"ar","ar-ra","ra",1,4,"he-ra","he",4,0,0,1,"arrange","herange"
528,"rival","rival-last_blank","last_blank",2,1,"equal-last_blank","equal",1,0,0,1,"arrival","arequal"
17,"rive","rive-last_blank","last_blank",2,2,"lieu-last_blank","lieu",2,0,0,1,"arrive","arlieu"
