ar_cue,ar_target,type,cue_type,target_type,ar_cosine
إنسان آلي,آلة,related,word,word,
سر,شيء غامض,related,word,word,
صديق,أخ,related,word,word,0.523142703895937
عرض,أداء,related,word,word,0.404940934625067
أداة,آلة,related,word,word,0.586806150962368
عين,أذن,related,word,word,0.25971339721144
اثنين,أربعة,related,word,word,0.551975707795508
يفزع,يرعب,related,word,word,0.34689908048758
ثعلب,أرنب,related,word,word,0.415085125405663
بني,أزرق,related,word,word,0.257104629489165
أسقف,كاردينال,related,word,word,0.416703966663534
شهر,أسبوع,related,word,word,0.756061070362789
يومي,أسبوعي,related,word,word,0.425786954777634
تنين,أسد,related,word,word,0.398309521042068
خرافة,أسطورة,related,word,word,0.489878738208092
ارسنال,مستودع أسلحة,related,word,word,
أبيض,أسود,related,word,word,0.693179427970895
رهينة,أسير,related,word,word,0.208333497017899
اطلاق النار,أطلق النار,related,word,word,
حاليا,يعرف,related,word,word,0.183427432767492
سفلي,علوي,related,word,word,0.587153070870252
تحت,فوق,related,word,word,0.451765724095088
ألبوم,أغنية,related,word,word,0.502718441613204
الحد الأدنى,أقصى,related,word,word,
أحسنت,ألفا,related,word,word,0.186388211114677
يطلي,يرسم,related,word,word,0.379947536641317
وفاء,أمانة,related,word,word,0.302556492965055
أفريقيا,أمريكا,related,word,word,0.510120459466654
أميرة,أمير,related,word,word,0.602433053691967
عنيد,أناني,related,word,word,0.55549707473899
ذكر,أنثى,related,word,word,0.475428973974501
يضيع,ينفق,related,word,word,0.393765101461662
أنيق,راقي,related,word,word,0.451912878438167
معنى,أهمية,related,word,word,0.46557025296994
قطار,حافلة,related,word,word,0.563661796721235
قط,أبدا,related,word,word,0.793320298882065
شاويش,الملازم,related,word,word,0.168717305956181
خيال,إبداع,related,word,word,0.351742276470919
اصبع اليد,إبهام,related,word,word,
معالجة,إجراء,related,word,word,0.131205360062755
عبادة,إخلاص,related,word,word,0.209592832255226
إدارة,إداري,related,word,word,0.5428888880694
الى الخلف,إرجاع,related,word,word,
يحضر,يرسل,related,word,word,0.482426995424586
يستبعد,يزيل,related,word,word,0.405501725461822
يقاطع,يزعج,related,word,word,0.342409325321443
خطة,إستراتيجية,related,word,word,0.613766505193252
شكل,علامة,related,word,word,0.189860587252457
تلوث,إشعاع,related,word,word,0.389626244368285
جرح,إصابة,related,word,word,0.533268444190542
إضافة,إضافي,related,word,word,0.421138143915553
أصاب,يضرب,related,word,word,0.325327861161187
جاهز,يعدّ,related,word,word,
شنق,إعدام,related,word,word,0.350410727632284
إعصار,زوبعة,related,word,word,0.353483626367591
استقالة,إقالة,related,word,word,0.626809550887503
الله,إلهي,related,word,word,0.482737835267698
سلالة حاكمة,إمبراطورية,related,word,word,
الإمبراطوري,أمبراطور,related,word,word,0.609930883853619
فرصة,إمكانية,related,word,word,0.436515259043013
مصنع,إنتاج,related,word,word,0.428620591244639
حذِر,إنذار,related,word,word,
رأي,وجة نظر,related,word,word,
افتتاح,إغلاق,related,word,word,0.372119652798611
أمل,إيمان,related,word,word,0.41081300465337
رشوة,ابتزاز,related,word,word,0.465143598649361
ابنة,ابن,related,word,word,0.672522592222777
حفيد,ابن شقيق,related,word,word,
مستعمرة,اتحاد,related,word,word,0.148713260993751
عقد,اتفاق,related,word,word,0.570788076874278
شكوى,اتهام,related,word,word,0.332848947419632
يمسك,يحتفظ,related,word,word,0.448009524904135
تجربة - قام بتجارب,اختبار,related,word,word,
أخذ,يختطف,related,word,word,0.237071799592145
موت,اختفاء,related,word,word,0.537704475543916
اختيار,خيار,related,word,word,0.469875598580433
ليل,المساء,related,word,word,0.361843631873805
أدخل,اذهب,related,word,word,0.3726893093689
فوضى,ارتباك,related,word,word,0.424305238226191
وزن,ارتفاع,related,word,word,0.298295572889682
