"da_cue","da_target","da_fake_target","da_fake_cue","en_cue","en_target"
"abe","gorilla","govorsla","sle","monkey","gorilla"
"åben","tæt","irt","pæen","open","close"
"åbenbaring","vision","vitens","drikbaring","revelation","vision"
"åbning","lukning","bytning","åbligt","opening","closure"
"absolut","fuldstændig","livsstændig","absotøjs","absolutely","completely"
"adelig","modig","mokra","vaclig","noble","brave"
"administration","regering","regesnak","adminikangsttion","administration","government"
"advarsel","besked","bebard","adfilmsel","warning","message"
"æble","frugt","fraet","jesle","apple","fruit"
"æsel","hest","hebræ","dlel","donkey","horse"
"afbryde","forstyrre","fordensre","afspærde","interrupt","disturb"
"affald","affald","afskyd","afskyd","trash","garbage"
"afrika","amerika","kryprika","britka","africa","america"
"afslut","indgang","tergang","afstad","exit","entrance"
"afsnit","afsnit","afmart","aftist","section","paragraph"
"afspejling","spejl","sprol","afspejderæ","reflection","mirror"
"afstand","hastighed","hatavshed","afplads","distance","speed"
"aftensmad","morgenmad","morgentons","afgiftmad","dinner","breakfast"
"agent","detektiv","detekberg","agust","agent","detective"
"aids","hiv","ælv","aith","aids","hiv"
"aktiv","aktivitet","aktivisions","akken","active","activity"
"aktivér","give","bagve","akvisor","enable","provide"
"album","sang","fæng","alhey","album","song"
"aldrig","nogensinde","nogensindestruction","alslog","never","ever"
"alene","ensom","enbar","digne","alone","lonely"
"alert","alarmer","kravmer","bjert","alert","alarm"
"alkohol","medicin","medimers","alkoflig","alcohol","drug"
"allerede","stadig","foldig","alleredestruction","already","still"
"almindelig","sædvanlig","feltvanlig","alfredsdelig","ordinary","usual"
"altid","konstant","konstien","alkre","always","constantly"
"amatør","professionel","protokolsionel","amaeld","amateur","professional"
"ambassade","ministerium","minidaiquirium","ambassadestruction","embassy","ministry"
"ambassadør","minister","miniligt","ambassations","ambassador","minister"
"ambulance","helikopter","helistiskter","ambulancestatsankla","ambulance","helicopter"
"analytiker","investigator","investigatordenskjold","stjerlytiker","analyst","investigator"
"anarki","kapitalisme","kapitalismeligstemp","bradki","anarchy","capitalism"
"anatomi","psykologi","brandkologi","anatomilieportræt","anatomy","psychology"
"andre steder","et eller andet sted","et eller anderuleus","andre stnovas","elsewhere","somewhere"
"anhænger","van","awn","anspørger","trailer","van"
"anker","sejle","winle","ansva","anchor","sail"
"ankomme","komme","lisme","angrebme","arrive","come"
"ankomst","afgang","afhent","andring","arrival","departure"
"anonym","ukendt","ggendt","anolut","anonymous","unknown"
"ansøge","brug","roug","anfaldge","apply","use"
"anstændig","ærlig","ærger","anfalddig","decent","honest"
"ansvar","pligt","voigt","anstæn","responsibility","duty"
"antal","kvalitet","stillitet","ancen","quantity","quality"
"areal","zone","kulne","flæal","area","zone"
"arena","slagmark","slagmont","gelna","arena","battlefield"
"århundrede","årti","fodti","årtietsrede","century","decade"
"arrange","organisere","organisereceptblok","arbejdge","arrange","organize"
"arsenal","armory","arroon","arsefest","arsenal","armory"
"artifact","medaljong","medalkeit","artihundect","artifact","medallion"
"artikel","avis","avca","artidigt","article","newspaper"
"aske","støv","stkk","imke","ash","dust"
"aspirin","morfin","morvar","seivrin","aspirin","morphine"
"ass","butt","busc","hts","ass","butt"
"astronaut","pilot","pinem","astrobilt","astronaut","pilot"
"at vise","ydeevne","snavevne","at vjons","show","performance"
"atomar","atomisk","gutmisk","mudmar","atomic","nuclear"
"auktion","salg","saea","meition","auction","sale"
"autograf","fotograf","fotoskud","autopert","autograph","photographer"
"avenue","gade","mænde","rynnue","avenue","street"
"baby","barn","banq","tilby","baby","child"
"badge","uniform","malform","aukge","badge","uniform"
"bakke","bjerg","zzerg","løgke","hill","mountain"
"balance","harmoni","harvous","balancestatsankla","balance","harmony"
"banan","jordbær","jorddad","bafly","banana","strawberry"
"bande","gruppe","skønpe","tride","gang","group"
"banking","finansiel","fisportsiel","baraing","banking","financial"
"bankmand","investor","inveraux","franmand","banker","investor"
"baron","grevinde","gregjorde","basti","baron","countess"
"basketball","fodbold","gerbold","basketlets","basketball","football"
"bedstefar","bedstemor","bedbilsmor","bedstetin","grandfather","grandmother"
"befolkning","mennesker","mennetisk","bestøbning","population","people"
"behandle","procedure","kelaccedure","beskytle","process","procedure"
"bekæmpe","kæmpe","hekpe","bestilpe","combat","fight"
