"da_target","da_cue","type","target_type","cue_type","da_cosine"
"gorilla","abe","related","word","word",0.440923447789986
"tæt","åben","related","word","word",0.223162902698662
"vision","åbenbaring","related","word","word",0.33272759521138
"lukning","åbning","related","word","word",0.323830384858248
"fuldstændig","absolut","related","word","word",0.351238740219239
"modig","adelig","related","word","word",0.278416918020194
"regering","administration","related","word","word",0.457134459851443
"besked","advarsel","related","word","word",0.411261594530483
"frugt","æble","related","word","word",0.481201677500207
"hest","æsel","related","word","word",0.443070088591067
"forstyrre","afbryde","related","word","word",0.57229926059186
"affald","affald","related","word","word",1
"amerika","afrika","related","word","word",0.469334759363838
"indgang","afslut","related","word","word",0.0341271302929508
"afsnit","afsnit","related","word","word",1
"spejl","afspejling","related","word","word",0.388500497568501
"hastighed","afstand","related","word","word",0.338875670567575
"morgenmad","aftensmad","related","word","word",0.663213707662351
"detektiv","agent","related","word","word",0.338073452980708
"hiv","aids","related","word","word",0.353722818961781
"aktivitet","aktiv","related","word","word",0.439284764996358
"give","aktivér","related","word","word",0.117965010553025
"sang","album","related","word","word",0.366461918993853
"nogensinde","aldrig","related","word","word",0.568265988024288
"ensom","alene","related","word","word",0.494667591289431
"alarmer","alert","related","word","word",0.155321701690208
"medicin","alkohol","related","word","word",0.316880171441445
"stadig","allerede","related","word","word",0.411163659132513
"sædvanlig","almindelig","related","word","word",0.472380932873332
"konstant","altid","related","word","word",0.487811351654842
"professionel","amatør","related","word","word",0.368176038268137
"ministerium","ambassade","related","word","word",0.392361321310962
"minister","ambassadør","related","word","word",0.448852071975368
"helikopter","ambulance","related","word","word",0.444689161920136
"investigator","analytiker","related","word","word",0.268272429278241
"kapitalisme","anarki","related","word","word",0.363363157700383
"psykologi","anatomi","related","word","word",0.469413686099795
"et eller andet sted","andre steder","related","word","word",NA
"van","anhænger","related","word","word",0.127815907022853
"sejle","anker","related","word","word",0.376307225865262
"komme","ankomme","related","word","word",0.38639012011982
"afgang","ankomst","related","word","word",0.499416711173362
"ukendt","anonym","related","word","word",0.300116291623103
"brug","ansøge","related","word","word",0.146099960546096
