"af_cue","af_target","type","cue_type","target_type","af_cosine"
"vorm","'n teken gee","related","word","word",NA
"verskriklik","aaklig","related","word","word",0.232068439698767
"nag","aand","related","word","word",0.419895136807993
"punt","aandui","related","word","word",0.119965565611327
"gemaklik","aangenaam","related","word","word",0.306493011703379
"voortgaan","aanhou","related","word","word",0.422630420456861
"prokureur","aanklaer","related","word","word",0.386714058065736
"afsluiting","aanname","related","word","word",0.139260964366196
"verduideliking","aanneemlik","related","word","word",0.273610032064992
"aandag","aantrek","related","word","word",0.242548390951429
"romp","aantrek","related","word","word",0.130961935840579
"weier","aanvaar","related","word","word",0.312101774605896
"slagoffer","aanvaller","related","word","word",0.302545182806529
"piesang","aarbei","related","word","word",0.380547404757785
"strik","aas","related","word","word",0.198842735227501
"spoeg","abdominale","related","word","word",0.287392898107091
"belaglik","absurde","related","word","word",0.385501911144816
"bestuur","administratief","related","word","word",0.329052429178557
"hormoon","adrenalien","related","word","word",0.633861858684412
"advies","adviserend","related","word","word",NA
"bedanking","afdanking","related","word","word",0.782319132573417
"toekomstig","afgelope","related","word","word",NA
"totaal","afhandel","related","word","word",0.190718691703674
"omkoopgeld","afpersing","related","word","word",0.43019986359868
"oorspronklik","afskrif","related","word","word",0.123312045723415
"opening","afsluiting","related","word","word",0.447370318311507
"reeks","afspraak","related","word","word",0.137865230920885
"teenwoordigheid","afwesigheid","related","word","word",0.500388484011653
"ferm","agentskap","related","word","word",0.159109395895906
"front","agter","related","word","word",0.211879333743795
"padda","akkedis","related","word","word",0.498798345912484
"stem","aksent","related","word","word",0.235057765154817
"outeur","akteur","related","word","word",0.434053947364172
"sneller","aktiveer","related","word","word",0.19445321288895
"aktief","aktiwiteit","related","word","word",0.381093623752187
"waaksaam","alarm","related","word","word",0.23428013243637
"bravo","alfa","related","word","word",0.128303961293386
"motief","alibi","related","word","word",0.152509289231805
"nooit","altyd","related","word","word",0.352361917884671
"afrika","amerika","related","word","word",0.406657632549009
"amptelik","amptelik","related","word","word",1
"lykskouing","analise","related","word","word",0.337930229456341
"antwoord","antwoord","related","word","word",1
"ingenieur","argitek","related","word","word",0.473100402526988
"hand","arm","related","word","word",0.288266016855162
"straf","arresteer","related","word","word",0.33589172571694
"onkunde","arrogansie","related","word","word",0.345924848935299
"ruitery","artillerie","related","word","word",0.425752941485852
"sekretaris","assistant","related","word","word",0.224652978114898
"stille oseaan","atlantiese","related","word","word",NA
"omgewing","atmosfeer","related","word","word",0.213827313059115
"hemp","baadjie","related","word","word",0.533642791148891
"hare","baard","related","word","word",0.480375537881393
"bestuurder","baas","related","word","word",0.271841535445879
"reënbui","badkamer","related","word","word",0.261685612662387
"uiters","baie","related","word","word",0.512022345501132
"stadion","baseball","related","word","word",NA
"regiment","bataljon","related","word","word",0.540230856739992
"superman","batman","related","word","word",0.510148512828379
"rusbank","bed","related","word","word",0.333109618610783
"dankbaar","bedank","related","word","word",0.256975772762647
"doel","bedoeling","related","word","word",0.352186284954933
"som","bedrag","related","word","word",0.365504849847829
"sameswering","bedrog","related","word","word",0.409274469409578
"begroting","befondsing","related","word","word",0.440640845513679
"hallo","begeerte","related","word","word",0.130317504891247
"begeleiding","begelei","related","word","word",0.740715633910118
"graf","begraafplaas","related","word","word",0.542057942770614
"kis","begrafnis","related","word","word",0.463167043973203
"grawe","begrawe","related","word","word",0.496378049191693
"terapie","behandeling","related","word","word",0.583673899853722
"nodig","behoefte","related","word","word",0.327155812110452
"onderneming","bekommer","related","word","word",0.159345487899907
"aantreklik","bekoorlik","related","word","word",0.258430336794557
"kosbaar","belangrik","related","word","word",0.297172781709564
"betekenis","belangrikheid","related","word","word",0.355419790059933
"finansies","belê","related","word","word",0.289422336102249
"belediging","beledig","related","word","word",0.740956580441176
"bankier","belegger","related","word","word",0.411746977986722
"waarborg","belofte","related","word","word",0.29706533418347
"bonus","beloning","related","word","word",0.206469947234523
"erken","bely","related","word","word",0.223606147689905
"reklame","bemarking","related","word","word",0.370779021597151
"voorbereiding","beplanning","related","word","word",0.375334729774965
"proefneming","beproef","related","word","word",0.422858509894974
"tel","bereken","related","word","word",0.219082193072755
"heuwel","berg","related","word","word",0.428492252029674
"gewilde","beroemde","related","word","word",0.280079946977004
"steel","beroof","related","word","word",0.303913437404873
"wond","besering","related","word","word",0.370380625384821
"kultuur","beskawing","related","word","word",0.507603611358817
"profiel","beskrywing","related","word","word",0.189336082048875
"klagte","beskuldiging","related","word","word",0.440563297450574
"nederig","beslag","related","word","word",0.050060650952462
"geselskap","bespreking","related","word","word",0.127870410197222
"kontaminasie","bestraling","related","word","word",0.444186027240454
"passasier","bestuurder","related","word","word",0.246570220715618
"sak","beursie","related","word","word",0.188745989301026
"sê","beveel","related","word","word",0.209043590118492
"aanneming","bevestig","related","word","word",0.243509213268195
"tjek","bevestig","related","word","word",0.235507090701823
"bewysstuk","bewys","related","word","word",0.603974685009876
"drankie","bier","related","word","word",0.447115338594605
"miljoen","biljoen","related","word","word",0.752650955785308
"buitekant","binne","related","word","word",0.385125096733229
"chemie","biologie","related","word","word",0.528927453770573
"chemies","biologies","related","word","word",0.507375815863908
"fabriek","blom","related","word","word",0.113805421234447
"verbruin","blou","related","word","word",NA
"top","bodem","related","word","word",0.126783014379275
"bybel","boek","related","word","word",0.356625288174533
"waarskuwing","boodskap","related","word","word",0.395242091339873
"bos","boom","related","word","word",0.307447050663076
"laer","boonste","related","word","word",0.257787644485558
"duikboot","boot","related","word","word",0.561740753260361
"bak","bord","related","word","word",0.240394833662408
"maag","borskas","related","word","word",0.53083226564549
"washington","boston","related","word","word",0.381248080332788
"glas","bottel","related","word","word",0.281193682299787
"heuning","botter","related","word","word",0.377107728672636
"konstruksie","bou","related","word","word",0.448474217394015
"gas","brandstof","related","word","word",0.38768710220084
"verbrysel","breek","related","word","word",0.289858381175713
"telegram","brief","related","word","word",0.378980310602906
"man","bro","related","word","word",NA
"suster","broer","related","word","word",0.564498510864547
"stalkneg","bruid","related","word","word",NA
"huishoudelik","buitekantste","related","word","word",NA
"sheriff","burgemeester","related","word","word",0.24115262627765
"afrig","bus","related","word","word",0.164223625031043
