"af_target","af_cue","af_fake_cue","af_fake_target","en_cue","en_target"
"'n teken gee","vorm","vott","'n tekslagen","form","sign"
"aaklig","verskriklik","verswaarlik","wozlig","terrible","horrible"
"aand","nag","urg","aais","night","evening"
"aandui","punt","pule","aanlil","point","indicate"
"aangenaam","gemaklik","gedryflik","aangeskre","comfortable","pleasant"
"aanhou","voortgaan","paardgaan","aanski","proceed","continue"
"aanklaer","prokureur","prokuklee","aansiener","lawyer","prosecutor"
"aanname","afsluiting","afwendting","tsoename","conclusion","assumption"
"aanneemlik","verduideliking","verduideliosfeer","aanhanglik","explanation","plausible"
"aantrek","aandag","aanlok","aandies","attention","attract"
"aantrek","romp","roay","aandies","skirt","dress"
"aanvaar","weier","floer","aanving","refuse","accept"
"aanvaller","slagoffer","boeroffer","aanskraler","victim","attacker"
"aarbei","piesang","piestap","bilbei","banana","strawberry"
"aas","strik","porik","tss","trap","bait"
"abdominale","spoeg","bloeg","abdominaleraarspaar","spinal","abdominal"
"absurde","belaglik","bebeerlik","abelande","ridiculous","absurd"
"administratief","bestuur","benaars","administraspruit","management","administrative"
"adrenalien","hormoon","takmoon","baainalien","hormone","adrenaline"
"adviserend","advies","adklee","advisechmet","advice","advise"
"afdanking","bedanking","bedanweer","afdanster","resignation","dismissal"
"afgelope","toekomstig","toepligtig","afgestaanpe","future","past"
"afhandel","totaal","toplas","aftrekdel","total","complete"
"afpersing","omkoopgeld","omkoopboue","afpermark","bribe","blackmail"
"afskrif","oorspronklik","oorlogspolik","afplaas","original","copy"
"afsluiting","opening","simning","afvaarting","opening","closure"
"afspraak","reeks","retas","afstands","series","episode"
"afwesigheid","teenwoordigheid","swartwoordigheid","afwesigrings","presence","absence"
"agentskap","ferm","fesk","lengtskap","firm","agency"
"agter","front","ndont","agnos","front","rear"
"akkedis","padda","belda","akkekoop","frog","lizard"
"aksent","stem","stty","akbers","voice","accent"
"akteur","outeur","oulaar","aklaar","author","actor"
"aktiveer","sneller","dierler","aktilaag","trigger","activate"
"aktiwiteit","aktief","akneer","aktiwizards","active","activity"
"alarm","waaksaam","wilfsaam","aluim","alert","alarm"
"alfa","bravo","wynvo","alkof","bravo","alpha"
"alibi","motief","moping","paubi","motive","alibi"
"altyd","nooit","nokst","almig","never","ever"
"amerika","afrika","bergka","noorrika","africa","america"
"amptelik","amptelik","dragtelik","obertelik","officially","official"
