"ko_cue","ko_target","type","cue_type","target_type","ko_cosine"
"개연성","~ 할 것 같은","related","word","word",NA
"밖","~에 대한","related","word","word",NA
"만들다","~하다","related","word","word",NA
"백만","10 억","related","word","word",NA
"십일월","12 월","related","word","word",NA
"둘","4","related","word","word",0.14169879437874
"반","4 분의 1","related","word","word",NA
"가게","가게","related","word","word",1
"값","가격","related","word","word",0.536217846664986
"가능성","가능성","related","word","word",1
"입력하다","가다","related","word","word",NA
"비어있는","가득한","related","word","word",0.349756490531558
"배우다","가르치다","related","word","word",NA
"상자","가방","related","word","word",0.483377022875415
"서류 가방","가방","related","word","word",NA
"위","가슴","related","word","word",0.255031691327003
"봄","가을","related","word","word",0.594225491763633
"씨족","가족","related","word","word",NA
"쓸모없는","가치 없는","related","word","word",NA
"~받을 만하다","가치 있는","related","word","word",NA
"신장","간","related","word","word",0.256280223988081
"굶주림","갈증","related","word","word",0.474647827248654
"생산자","감독","related","word","word",NA
"고마워하는","감사하다","related","word","word",NA
"화면","감시 장치","related","word","word",NA
"역병","감염병 유행","related","word","word",NA
"셀","감옥","related","word","word",0.164541998315173
"인상","감정","related","word","word",0.286007906820409
"정신적 인","감정적 인","related","word","word",NA
"즐겁게 하다","감탄시키다","related","word","word",NA
"방패","갑옷","related","word","word",0.432471670114593
"선실","갑판","related","word","word",0.656594518266816
"값 비싼","값이 싼","related","word","word",NA
"훔침","강도","related","word","word",NA
"세미나","강의","related","word","word",0.334144298044191
"콘크리트","강철","related","word","word",0.312216023553569
"단단히","강하게","related","word","word",0.237944912575027
"장비","갖추어 주다","related","word","word",NA
"벌","개미","related","word","word",0.27966160820631
"진전","개발","related","word","word",0.396305447328613
"변화","개선","related","word","word",0.413373677561795
"사람","개인","related","word","word",0.0743890321493815
"여기","거기","related","word","word",0.270684456483095
"큰","거대한","related","word","word",0.309787316661599
"수단","거리","related","word","word",0.240729521786721
"무지","거만","related","word","word",0.232869414235073
"달팽이","거북이","related","word","word",0.549775018861488
"반사","거울","related","word","word",0.344009130095736
"문자 그대로","거의","related","word","word",NA
"가짜","거짓","related","word","word",0.27904810965178
"거짓말하다","거짓말 쟁이","related","word","word",NA
"우려","걱정하다","related","word","word",NA
"탑","건물","related","word","word",0.386076905476503
"엔지니어","건축가","related","word","word",0.557572917566894
"운영","걷다","related","word","word",0.131494017867963
"하얀색","검은 색","related","word","word",NA
"확인하다","검증","related","word","word",NA
"레즈비언","게이","related","word","word",0.426431005876361
"플레이","게임","related","word","word",0.348552331217881
"여름","겨울","related","word","word",0.460492755220046
"화","격노","related","word","word",NA
