ko_cue,ko_target,type,cue_type,target_type,ko_cosine
확률,그럴듯한,related,word,word,0.325099952634097
밖,~에 대한,related,word,word,
만들다,~하다,related,word,word,
백만,십억,related,word,word,0.638216504393477
십일월,십이월,related,word,word,
둘,사 / 넷,related,word,word,
반,사분의 일,related,word,word,
백화점,가게,related,word,word,0.184816806713977
값,가격,related,word,word,0.536217846664986
가능성,가망,related,word,word,0.368232438108505
입력하다,가다,related,word,word,
비어있는,가득한,related,word,word,0.349756490531558
배우다,가르치다,related,word,word,
상자,가방,related,word,word,0.483377022875415
브리프 케이스,캐리어 / 여행가방,related,word,word,
배,가슴,related,word,word,0.248025045509991
봄,가을,related,word,word,0.594225491763633
집안,가족,related,word,word,0.350198793550171
쓸모없는,가치 없는,related,word,word,
자격이 있는,가치 있는,related,word,word,
신장,간,related,word,word,0.256280223988081
배고픔,목 마름,related,word,word,
제작자,감독,related,word,word,0.459527428862721
고맙다,감사하다,related,word,word,
화면,모니터,related,word,word,0.45294569340884
역병,유행성(if verb); 전염병(if noun),related,word,word,
유치장,감옥,related,word,word,
인상,감정,related,word,word,0.286007906820409
정신적 인,감정적 인,related,word,word,
아첨하다,감탄시키다,related,word,word,
방패,갑옷,related,word,word,0.432471670114593
선실,갑판,related,word,word,0.656594518266816
비싼,싼,related,word,word,0.451741053268664
절도,강도,related,word,word,0.487348353083058
세미나,강의,related,word,word,0.334144298044191
콘크리트,강철,related,word,word,0.312216023553569
단단히,강하게,related,word,word,0.237944912575027
장비,설치,related,word,word,0.443845441339509
벌,개미,related,word,word,0.27966160820631
진전,개발,related,word,word,0.396305447328613
변화,개선,related,word,word,0.413373677561795
사람,개인,related,word,word,0.0743890321493815
여기,저기,related,word,word,0.228671884092077
큰,거대한,related,word,word,0.309787316661599
길,거리,related,word,word,0.234945297898731
무지,거만,related,word,word,0.232869414235073
달팽이,거북이,related,word,word,0.549775018861488
반사,거울,related,word,word,0.344009130095736
문자 그대로,실지로,related,word,word,
가짜,거짓,related,word,word,0.27904810965178
