"ko_target","ko_cue","ko_fake_cue","ko_fake_target","en_cue","en_target"
"~ 할 것 같은","개연성","켈러성","별생할 것 같은","probability","likely"
"~에 대한","밖","밸런","커요 대한","out","about"
"~하다","만들다","장이다","말타다","make","do"
"10 억","백만","홍키","펴요 억","million","billion"
"12 월","십일월","조너월","볼을 월","november","december"
"4","둘","쏘세","매몰","two","four"
"4 분의 1","반","말예","4 분의첩보","half","quarter"
"가게","가게","모니","ag","shop","store"
"가격","값","산채","랄드","value","price"
"가능성","가능성","방법성","지내성","chance","possibility"
"가다","입력하다","안달하다","pi","enter","go"
"가득한","비어있는","건지있는","로마한","empty","full"
"가르치다","배우다","서였다","가르악은","learn","teach"
"가방","상자","무언","활에","box","bag"
"가방","서류 가방","환영 가방","활에","briefcase","suitcase"
"가슴","위","안방","막일","stomach","chest"
"가을","봄","션트","스나","spring","autumn"
"가족","씨족","애시","쳐준","clan","family"
"가치 없는","쓸모없는","카라없는","파악 없는","useless","worthless"
"가치 있는","~받을 만하다","군다을 만하다","가치로즈는","deserve","worthy"
"간","신장","히해","페랄","kidney","liver"
"갈증","굶주림","간지림","됬잖","hunger","thirst"
"감독","생산자","하면자","니랑","producer","director"
"감사하다","고마워하는","부러워하는","fa하다","grateful","thank"
"감시 장치","화면","르랑","감시망에치","screen","monitor"
"감염병 유행","역병","터와","감염병 정의","plague","epidemic"
"감옥","셀","브릿","티벌","cell","prison"
"감정","인상","디쓰","빙글","impression","feeling"
"감정적 인","정신적 인","돌려적 인","충분적 인","mental","emotional"
"감탄시키다","즐겁게 하다","루카게 하다","점들시키다","flatter","impress"
"갑옷","방패","트칠","자발","shield","armor"
"갑판","선실","r에","쉬웠","cabin","deck"
"값이 싼","값 비싼","값 조리","연희 싼","expensive","cheap"
"강도","훔침","껄끄","오겠","theft","robbery"
"강의","세미나","노릇나","긴요","seminar","lecture"
"강철","콘크리트","광명리트","시상","concrete","steel"
"강하게","단단히","재활히","해내게","firmly","strongly"
"갖추어 주다","장비","툼을","갖추어 첼의","equipment","equip"
"개미","벌","찌꺼","장창","bee","ant"
"개발","진전","필라","먼을","progress","development"
"개선","변화","웰이","크업","change","improvement"
"개인","사람","회는","넌이","person","individual"
"거기","여기","가들","비실","here","there"
"거대한","큰","섬입","양들한","big","huge"
"거리","수단","채면","석은","avenue","street"
"거만","무지","가즘","자초","ignorance","arrogance"
"거북이","달팽이","겁줘이","프릴이","snail","turtle"
"거울","반사","른다","마들","reflection","mirror"
"거의","문자 그대로","같았 그대로","달랬","literally","practically"
"거짓","가짜","더에","였든","fake","FALSE"
"거짓말 쟁이","거짓말하다","가르말하다","거짓말 시아","lie","liar"
"걱정하다","우려","이닝","보여하다","concern","worry"
"건물","탑","몸으","레는","tower","building"
"건축가","엔지니어","엔지빈스","사전가","engineer","architect"
"걷다","운영","씨두","나운","run","walk"
"검은 색","하얀색","남김색","검은빅햄","white","black"
"검증","확인하다","확인거나","싸잖","check","verify"
"게이","레즈비언","레즈상승","다며","lesbian","gay"
"게임","플레이","해커이","셨지","play","game"
"겨울","여름","령에","로빅","summer","winter"
"격노","화","와쳐","넓이","anger","rage"
"결과","결과","클레","틱한","result","outcome"
"결국","마지막으로","봐야막으로","버리","finally","eventually"
"결석","있음","누스","붓기","presence","absence"
"결석","바위","국만","붓기","rock","stone"
"결정","용기","보를","오넬","courage","determination"
"결혼","이혼","꼬까","상들","divorce","marriage"
"경보","알리다","맹세다","질걸","alert","alarm"
"경비","쓰레기","이혼기","틱스","waste","spend"
"경주","마라톤","시선톤","애설","marathon","race"
"계란","둥지","속상","이버","nest","egg"
"계산하다","세다","탄거","사장하다","count","calculate"
"계속하다","진행하다","용감하다","다음하다","proceed","continue"
"계획","준비","스티","로핀","preparation","planning"
"고객","인내심있는","인내빼앗는","워링","patient","client"
"고기","돼지 고기","시스 고기","츠에","pork","meat"
"고르다","선택하다","바라하다","항공다","choose","select"
"고릴라","원숭이","왔다이","문관라","monkey","gorilla"
"고마움","환대","휘트","제안움","hospitality","gratitude"
"고마워하다","존경하다","별로하다","맛있워하다","admire","appreciate"
"고문","고통","트할","브에","torment","torture"
"고발","불평","탕을","수류","complaint","accusation"
"고백","증인","절한","해할","witness","testimony"
"고속도로","도로","잖나","원칙도로","road","highway"
"고양이","개","경황","에스이","dog","cat"
"고요","조용한","베이한","놔뒀","silent","silence"
"고유 한","특별한","언니한","고유드실","special","unique"
"곤충","거미","요들","ub","spider","insect"
"곧장","직접","쉬엄","유충","direct","directly"
"골목","모서리","번쯤리","지껄","corner","alley"
