cue,target,cosine,fake_cue,fake_target
gøre,udrette,0.491778356,jøre,udrettæ
gøre,gor,0.452807526,gøke,goø
gøre,ske,0.452031355,gsre,sge
gøre,gre,0.451067881,ghre,goe
gøre,hjælpe,0.432360118,gørc,hnælpe
nok,måske,0.602875894,aok,mæske
nok,vel,0.528533873,aok,ael
nok,sikkert,0.498599997,nsk,sikkerm
nok,rigeligt,0.49303809,iok,rigelipt
nok,tilstrækkeligt,0.475287794,ñok,tilstrækklligt
tilbage,hjem,0.562823105,thlbage,hjev
tilbage,tiibage,0.512320357,tilbage,teibage
tilbage,returnere,0.474127736,tilbawe,returnure
tilbage,retur,0.470243428,tslbage,retuy
tilbage,dertil,0.46553666,nilbage,pertil
igen,tilbage,0.452574843,iggn,tilbpge
igen,snart,0.376012656,egen,snarg
igen,endelig,0.36505703,igeo,endelig
igen,hjem,0.361030647,iåen,hjam
igen,senere,0.358564574,ijen,senere
sammen,tilsammen,0.391152063,sammjn,tilsammin
sammen,alene,0.390328889,samren,alenå
sammen,hinanden,0.380342179,gammen,hdnanden
sammen,genforene,0.350763067,samman,_enforene
sammen,tætte,0.349874837,samuen,tætce
dag,idag,0.650053509,dar,ixag
dag,aften,0.6486618,das,aftsn
dag,eftermiddag,0.617487433,dog,eftermicdag
dag,morgen,0.611582548,mag,morlen
dag,nat,0.565053002,wag,nah
måske,muligvis,0.64567436,måmke,muligvns
måske,nok,0.602875894,påske,nok
måske,sikkert,0.559814593,mådke,skkkert
måske,vel,0.529616756,låske,zel
måske,sandsynligvis,0.526230326,måskh,sendsynligvis
finde,skaffe,0.489516467,fwnde,skkffe
finde,lokalisere,0.486243272,vinde,lokalisbre
finde,spore,0.44057819,fonde,sporz
finde,regne,0.42200107,findo,rebne
finde,identificere,0.414393513,fidde,identifibere
stadig,stadigvæk,0.821400468,stedig,staåigvæk
stadig,stadigt,0.660656203,stadit,stadiåt
stadig,virkelig,0.430645883,stsdig,virielig
stadig,overhovedet,0.424141269,itadig,overhofedet
stadig,allerede,0.411163659,stadcg,alleræde
folk,mænd,0.549372426,folj,mfnd
folk,politifolk,0.463639992,yolk,pælitifolk
folk,foik,0.440785409,colk,foiq
folk,vælgere,0.440601774,éolk,vælgexe
folk,medarbejdere,0.435157638,fulk,medarbtjdere
ting,tinge,0.572150906,titg,tinge
ting,tingester,0.416397298,xing,tingefter
ting,genstande,0.411955666,jing,genstadde
ting,sætninger,0.403272889,tinl,sætningær
ting,opgaver,0.402875782,thng,opgavex
altid,aitid,0.537643354,altod,aitie
