"en_cue","en_target","type","cue_type","target_type"
"actually","really","related","word","word"
"admire","appreciate","related","word","word"
"agent","detective","related","word","word"
"aids","hiv","related","word","word"
"air","oxygen","related","word","word"
"alcohol","drug","related","word","word"
"allow","let","related","word","word"
"alone","lonely","related","word","word"
"already","still","related","word","word"
"always","constantly","related","word","word"
"ambassador","minister","related","word","word"
"ambulance","helicopter","related","word","word"
"angel","devil","related","word","word"
"anonymous","unknown","related","word","word"
"antidote","vaccine","related","word","word"
"apply","use","related","word","word"
"arrive","come","related","word","word"
"artifact","medallion","related","word","word"
"attractive","charming","related","word","word"
"author","actor","related","word","word"
"autograph","photographer","related","word","word"
"autopsy","analysis","related","word","word"
"banana","strawberry","related","word","word"
"banker","investor","related","word","word"
"banking","financial","related","word","word"
"bay","harbor","related","word","word"
"beast","animal","related","word","word"
"bee","ant","related","word","word"
"birth","pregnancy","related","word","word"
"boys","girls","related","word","word"
"bravo","alpha","related","word","word"
"briefcase","suitcase","related","word","word"
"brown","blue","related","word","word"
"cabin","deck","related","word","word"
"caliber","bullet","related","word","word"
"call","telephone","related","word","word"
"carnival","festival","related","word","word"
"catholic","christian","related","word","word"
"celebrity","star","related","word","word"
"cement","plastic","related","word","word"
"champion","fighter","related","word","word"
"chancellor","president","related","word","word"
"change","improvement","related","word","word"
"channel","news","related","word","word"
"chip","device","related","word","word"
"christmas","holiday","related","word","word"
"clean","wash","related","word","word"
"clearly","obviously","related","word","word"
"cloth","handkerchief","related","word","word"
"cloud","fog","related","word","word"
"coach","player","related","word","word"
"coal","oil","related","word","word"
"coffin","funeral","related","word","word"
"combat","fight","related","word","word"
"comfortable","pleasant","related","word","word"
"command","order","related","word","word"
"commercial","merchant","related","word","word"
"competition","championship","related","word","word"
"complaint","accusation","related","word","word"
"concern","worry","related","word","word"
"conclusion","assumption","related","word","word"
"congratulate","greet","related","word","word"
"consider","think","related","word","word"
"construction","build","related","word","word"
"contain","content","related","word","word"
"control","manipulate","related","word","word"
"corner","alley","related","word","word"
"count","calculate","related","word","word"
"cover","hide","related","word","word"
"crack","hole","related","word","word"
"cream","sauce","related","word","word"
"create","produce","related","word","word"
"creation","destruction","related","word","word"
"critical","political","related","word","word"
"crown","throne","related","word","word"
"current","electricity","related","word","word"
"daddy","mum","related","word","word"
"darkness","light","related","word","word"
"death","disappearance","related","word","word"
"decent","honest","related","word","word"
"describe","express","related","word","word"
"desert","valley","related","word","word"
"desire","wish","related","word","word"
"digusting","ugly","related","word","word"
"distance","speed","related","word","word"
"doubt","suspect","related","word","word"
"down","up","related","word","word"
"dragon","lion","related","word","word"
"dramatic","romantic","related","word","word"
"drop","sip","related","word","word"
"earthquake","explosion","related","word","word"
"elsewhere","somewhere","related","word","word"
"embassy","ministry","related","word","word"
"end","finish","related","word","word"
"enough","sufficient","related","word","word"
