"gl_target","gl_cue","type","target_type","cue_type","gl_cosine"
"up","abaixo","related","word","word",0.206067347869421
"completamente","absolutely","related","word","word",NA
"intencionalmente","accidentalmente","related","word","word",NA
"primo","achegada","related","word","word",NA
"proporcionar","activar","related","word","word",0.506669486626857
"actividade","active","related","word","word",NA
"player","adestrador","related","word","word",NA
"goberno","administración","related","word","word",0.302682063811479
"apreciar","admire","related","word","word",NA
"confesar","admit","related","word","word",NA
"pegada dixital","adn","related","word","word",NA
"parent","adulto","related","word","word",NA
"nadar","afogar","related","word","word",0.461674885691505
"américa","áfrica","related","word","word",0.732081351455419
"catch","agarrar","related","word","word",NA
"know","agora","related","word","word",NA
"lovely","agradable","related","word","word",NA
"grazas","agradecido","related","word","word",0.307746566507985
"xiringa","agulla","related","word","word",NA
"osíxeno","air","related","word","word",0.184671689921818
"canción","álbum","related","word","word",0.20242504378571
"droga","alcohol","related","word","word",0.503878339125629
"alarma","alerta","related","word","word",0.350316695185292
"comida","alimentación","related","word","word",0.29186539894282
"cebola","allo","related","word","word",0.389618035470605
"spirit","alma","related","word","word",NA
"rent","aluguer","related","word","word",NA
"profesional","amateur","related","word","word",NA
"atmosfera","ambiente","related","word","word",0.388640135375395
"helicóptero","ambulancia","related","word","word",0.503366629990339
"investigador","analista","related","word","word",NA
"capitalismo","anarquía","related","word","word",0.428369023333959
"psicoloxía","anatomía","related","word","word",NA
"sail","anchor","related","word","word",NA
"colares","anel","related","word","word",NA
"devil","angel","related","word","word",NA
"aniversario","aniversario","related","word","word",1
"descoñecido","anónimo","related","word","word",0.346732854587024
"vacina","antidoto","related","word","word",NA
"interesante","apaixonante","related","word","word",NA
"peche","apertura","related","word","word",0.26024210328184
"uso","aplicar","related","word","word",0.308767974289328
"asistencia","apoiar","related","word","word",0.281634823843831
"ensino","aprender","related","word","word",0.356360757351678
"alí","aquí","related","word","word",0.383680341903732
"zona","área","related","word","word",0.560191939520411
"battlefield","arena","related","word","word",NA
"organizar","arranxar","related","word","word",0.283599432151974
"perigoso","arriscado","related","word","word",0.375763758885301
"armory","arsenal","related","word","word",NA
"literatura","art","related","word","word",0.193100200678059
"medallón","artefacto","related","word","word",NA
"xornal","artigo","related","word","word",0.442905324748399
"pintor","artista","related","word","word",0.342822440934771
"a miúdo","ás veces","related","word","word",NA
"murderer","asasina","related","word","word",NA
"dust","ash","related","word","word",NA
"morphine","aspirina","related","word","word",NA
"butt","ass","related","word","word",NA
"piloto","astronauta","related","word","word",0.267693261787281
"creepy","asustado","related","word","word",NA
"funeral","ataúd","related","word","word",0.164274616652165
"atraer","atención","related","word","word",0.28556665415643
"flight","aterraxe","related","word","word",NA
"nuclear","atómica","related","word","word",0.592617328010895
"encanto","atractivo","related","word","word",0.295791527935617
"lagosta","atún","related","word","word",NA
"xuízo","audición","related","word","word",0.216671033921147
"reducir","aumentar","related","word","word",0.355315847143245
"fotógrafo","autógrafo","related","word","word",0.901730696472121
"análise","autopsia","related","word","word",NA
"actor","autor","related","word","word",0.571040905761053
"continúa","avanzar","related","word","word",0.219377041241648
"rúa","avenue","related","word","word",0.382127567551504
"mensaxe","aviso","related","word","word",0.280365038126929
"avoa","avó","related","word","word",0.52924076286638
"fiscal","avogado","related","word","word",0.341820429103769
"detective","axente","related","word","word",0.404735308017838
"axudar","axuda","related","word","word",0.796244357495453
"chocolate","azucre","related","word","word",0.524168705358912
"niño","baby","related","word","word",NA
"uniform","badge","related","word","word",NA
"corte","bágoa","related","word","word",0.220614521545603
"high","baixo","related","word","word",NA
"full","baleiro","related","word","word",NA
"fútbol","baloncesto","related","word","word",0.503626655127053
"strawberry","banana","related","word","word",NA
"financial","banca","related","word","word",NA
"símbolo","bandeira","related","word","word",0.259141986664914
"investidor","banqueiro","related","word","word",NA
"condesas","barón","related","word","word",NA
"sede","base","related","word","word",0.168241705445761
"porto","bay","related","word","word",0.300761963504656
"wolf","bear","related","word","word",NA
"animal","beast","related","word","word",NA
"beer","beber","related","word","word",NA
"ant","bee","related","word","word",NA
"book","biblia","related","word","word",NA
"museo","biblioteca","related","word","word",0.30482917706784
"hug","bico","related","word","word",NA
"grand","big","related","word","word",0.484839448296985
"tie","bind","related","word","word",NA
"cardeal","bishop","related","word","word",NA
"toalla","blanket","related","word","word",NA
"pechado","bloqueado","related","word","word",0.625904722846769
"bad","bo","related","word","word",0.156486267185501
"nariz","boca","related","word","word",0.334256467067195
"bird","bolboreta","related","word","word",NA
"explosivo","bomb","related","word","word",NA
"bonito","bonito","related","word","word",1
"recompensa","bonus","related","word","word",NA
"shoe","boot","related","word","word",NA
"prensa","botón","related","word","word",0.127016316800905
"placa","bowl","related","word","word",NA
"cerebral","brain","related","word","word",NA
"black","branco","related","word","word",0.186726446480634
"alpha","bravo","related","word","word",NA
"chantaxe","bribe","related","word","word",NA
"bright","brillo","related","word","word",NA
"bacon","brindis","related","word","word",NA
"azul","brown","related","word","word",0.136047555528582
"cruel","brutal","related","word","word",0.327025090643434
"estoupar","burst","related","word","word",NA
"find","busca","related","word","word",NA
"árbore","bush","related","word","word",0.175030787542089
"artillería","cabalería","related","word","word",0.554019886651727
"deck","cabina","related","word","word",NA
"wire","cable","related","word","word",NA
"colapso","caída","related","word","word",0.348252992980817
"bag","caixa","related","word","word",0.218376607726467
"programa","calendario","related","word","word",0.321458063171968
"bullet","caliber","related","word","word",NA
"cool","calor","related","word","word",NA
"temperatura","calor","related","word","word",0.431253773434118
"micrófono","cámara","related","word","word",0.399712852752202
"camareira","camareiro","related","word","word",0.739957608172488
"mellora","cambio","related","word","word",0.158450587980162
"chaqueta","camisa","related","word","word",0.522065264838779
"aldea","camp","related","word","word",0.2212664591977
"elección","campaña","related","word","word",0.236206804544369
"loitador","campión","related","word","word",0.317071829627014
"presidente","canciller","related","word","word",NA
"voter","candidato","related","word","word",NA
"news","canle","related","word","word",0.186065803831446
"fame","cansado","related","word","word",0.303200412103159
"músico","cantante","related","word","word",0.282504739089566
"calidade","cantidade","related","word","word",0.684665156299639
"habilidade","capacidade","related","word","word",0.704498771789043
"cidade","capital","related","word","word",0.255724178881383
"sonda","capsule","related","word","word",NA
"turtle","caracol","related","word","word",NA
"personalidade","carácter","related","word","word",0.357088204678021
"hidróxeno","carbón","related","word","word",0.373825692273812
"oil","carbón","related","word","word",NA
"cargo","carga","related","word","word",0.635877298257859
"donación","caridade","related","word","word",NA
"festival","carnival","related","word","word",NA
"barato","caro","related","word","word",0.277953664609064
"reputación","carreira","related","word","word",0.206817164625986
"hat","casco","related","word","word",NA
"money","cash","related","word","word",NA
"christian","católica","related","word","word",0.341846787262849
"pesca","cazar","related","word","word",0.382747293829854
"almorzo","cea","related","word","word",0.46999390411723
"sorda","cego","related","word","word",NA
"star","celebrity","related","word","word",NA
"prison","cell","related","word","word",NA
"enojado","celoso","related","word","word",NA
"plástico","cemento","related","word","word",0.224153493600651
"far","cerca","related","word","word",NA
"roma","césar","related","word","word",0.236046985071007
"corda","chain","related","word","word",NA
"teléfono","chamar","related","word","word",0.344324189567475
"alfombra","chan","related","word","word",0.338543885244329
"confusión","chaos","related","word","word",NA
"botarlle o ferrollo","chave","related","word","word",NA
"verificar","check","related","word","word",0.265066974092998
"saída","chegada","related","word","word",0.308859707245881
"vén","chegar","related","word","word",0.117719922467185
"biolóxico","chemical","related","word","word",NA
"turquía","chicken","related","word","word",NA
"dispositivo","chip","related","word","word",0.255225612105979
"teatro","cine","related","word","word",0.501505301905132
"vanilla","cinnamon","related","word","word",NA
"triángulo","circle","related","word","word",NA
"doctor","cirujano","related","word","word",NA
"militar","civil","related","word","word",0.38192044415998
"familia","clan","related","word","word",0.144069826029415
"obviamente","claramente","related","word","word",0.805812087664665
"escola","clase","related","word","word",0.156118159645329
"fog","cloud","related","word","word",NA
"bar","club","related","word","word",0.278272596994432
"heroína","cocaine","related","word","word",NA
"contrasinal","código","related","word","word",0.360367543652888
"friend","colega","related","word","word",NA
"execución","colgado","related","word","word",0.239484753016456
"universidade","college","related","word","word",NA
"federación","colony","related","word","word",NA
"capitán","comandante","related","word","word",0.386821402708718
"orde","comando","related","word","word",0.188533316311495
"fight","combate","related","word","word",NA
"mestura","combinación","related","word","word",0.389124766780308
"declaración","comentario","related","word","word",0.188460729701142
"comerciante","comercial","related","word","word",0.778042805564447
"comité","comisión","related","word","word",0.599422206041308
"agradable","cómodo","related","word","word",0.334768526590163
"corporation","company","related","word","word",NA
"mapa","compás","related","word","word",0.298977251996436
"xeneroso","compasivo","related","word","word",NA
"campionato","competición","related","word","word",NA
"gift","complemento","related","word","word",NA
"vender","compra","related","word","word",0.290956225161792
"casamento","compromiso","related","word","word",0.176319208610031
"definición","concepto","related","word","word",0.361618467387049
"asunción","conclusión","related","word","word",NA
"aceiro","concrete","related","word","word",NA
"distrito","condado","related","word","word",0.347192457326975
"calcular","conde","related","word","word",0.208783388916255
"ride","conducir","related","word","word",NA
"reunión","conferencia","related","word","word",0.287013845243945
"confirmar","confirmación","related","word","word",0.713121773545791
"disputa","conflito","related","word","word",0.352147308486164
"advise","consello","related","word","word",NA
"liberal","conservador","related","word","word",0.212255649736148
"pensas","considerar","related","word","word",0.142421948949887
"fraude","conspiración","related","word","word",0.33912521779585
"construír","construción","related","word","word",0.692488641105097
"conexión","contactar","related","word","word",0.38895960400039
"radiación","contaminación","related","word","word",0.685341378371953
"contido","conteñen","related","word","word",0.543795834422813
"acordo","contrato","related","word","word",0.302905626762127
"manipular","control","related","word","word",NA
"discusión","conversa","related","word","word",0.387356313298101
"xefe","cook","related","word","word",0.334734906296686
"café","copa","related","word","word",0.375440617952271
