"gl_cue","gl_target","gl_fake_target","gl_fake_cue","en_cue","en_target"
"abaixo","up","êu","arisxo","down","up"
"absolutely","completamente","comexhaustamente","absolufríos","absolutely","completely"
"accidentalmente","intencionalmente","intencionalmentemuñas","hollywocidentalmente","accidentally","intentionally"
"achegada","primo","tiámo","trangada","relative","cousin"
"activar","proporcionar","proporcioquiños","actituín","enable","provide"
"active","actividade","actidesherdade","substive","active","activity"
"adestrador","player","evayer","brantrador","coach","player"
"administración","goberno","gousouno","administratrañar","administration","government"
"admire","apreciar","coinciar","adocórre","admire","appreciate"
"admit","confesar","confechos","addré","admit","confess"
"adn","pegada dixital","pegada dixkeworth","eín","dna","fingerprint"
"adulto","parent","pacran","avóito","adult","parent"
"afogar","nadar","nacha","siggar","drown","swim"
"áfrica","américa","pleirica","noirca","africa","america"
"agarrar","catch","frách","agardán","grab","catch"
"agora","know","zhow","taira","now","know"
"agradable","lovely","lofert","inundable","nice","lovely"
"agradecido","grazas","graxen","orquídecido","grateful","thank"
"agulla","xiringa","xiobliga","igrela","needle","syringe"
"air","osíxeno","stamxeno","flr","air","oxygen"
"álbum","canción","pección","áltáo","album","song"
"alcohol","droga","avega","alcombs","alcohol","drug"
"alerta","alarma","abonma","clauta","alert","alarm"
"alimentación","comida","coagarda","alimentamaños","food","meal"
"allo","cebola","ceríanla","pralo","garlic","onion"
"alma","spirit","spietc","fórma","soul","spirit"
"aluguer","rent","recá","aluders","hire","rent"
"amateur","profesional","luftwafesional","amatrea","amateur","professional"
"ambiente","atmosfera","attriunfera","prohibiente","environment","atmosphere"
"ambulancia","helicóptero","helitrañeitero","ambulangráns","ambulance","helicopter"
"analista","investigador","investigalinsky","anatolyta","analyst","investigator"
"anarquía","capitalismo","capitalismonastyrsky","ankyquía","anarchy","capitalism"
"anatomía","psicoloxía","amañacoloxía","préstomía","anatomy","psychology"
"anchor","sail","samk","annair","anchor","sail"
"anel","colares","colación","anko","ring","necklace"
"angel","devil","detri","anlor","angel","devil"
"aniversario","aniversario","aniversafeway","aniversafeway","anniversary","birthday"
"anónimo","descoñecido","destruírcido","ucranimo","anonymous","unknown"
"antidoto","vacina","anuncina","antiriñento","antidote","vaccine"
"apaixonante","interesante","interemuíñoste","esquéxonante","exciting","interesting"
"apertura","peche","pezan","fluctura","opening","closure"
"aplicar","uso","oño","apliten","apply","use"
"apoiar","asistencia","practencia","averar","support","assistance"
"aprender","ensino","ensigual","aprengos","learn","teach"
"aquí","alí","emí","aqír","here","there"
"área","zona","denna","róea","area","zone"
"arena","battlefield","deshotlefield","souna","arena","battlefield"
"arranxar","organizar","organicións","arqueixar","arrange","organize"
"arriscado","perigoso","periniónsso","arristophedo","risky","dangerous"
"arsenal","armory","ardart","arsemión","arsenal","armory"
"art","literatura","apáñasteratura","ent","art","literature"
"artefacto","medallón","mechónlón","artemuñosto","artifact","medallion"
"artigo","xornal","xorcer","existigo","article","newspaper"
"artista","pintor","pingan","arapunta","artist","painter"
"ás veces","a miúdo","asanúdo","ás vpião","sometimes","often"
"asasina","murderer","gañáderer","subssina","killer","murderer"
"ash","dust","urst","ith","ash","dust"
"aspirina","morphine","tomshine","askatherina","aspirin","morphine"
"ass","butt","buzy","ens","ass","butt"
"astronauta","piloto","piasústo","astrotreinta","astronaut","pilot"
"asustado","creepy","creoud","obritado","scary","creepy"
"ataúd","funeral","funeniño","atuad","coffin","funeral"
"atención","atraer","nhauer","acorción","attention","attract"
"aterraxe","flight","fligón","trouraxe","landing","flight"
"atómica","nuclear","nuaboiar","coñémica","atomic","nuclear"
"atractivo","encanto","enelecto","apañativo","attractive","charming"
"atún","lagosta","lareilta","athu","tuna","lobster"
"audición","xuízo","loczo","audireil","hearing","trial"
"aumentar","reducir","redulóns","auafastar","increase","reduce"
"autógrafo","fotógrafo","fociñosgrafo","auchampgrafo","autograph","photographer"
"autopsia","análise","friclise","aumetzsia","autopsy","analysis"
"autor","actor","acció","audan","author","actor"
"avanzar","continúa","contility","ofenzar","proceed","continue"
"avenue","rúa","bqa","cólnue","avenue","street"
"aviso","mensaxe","agarsaxe","broso","warning","message"
"avó","avoa","avat","cáó","grandfather","grandmother"
"avogado","fiscal","celcal","churgado","lawyer","prosecutor"
"axente","detective","deraquítive","clante","agent","detective"
"axuda","axudar","tendar","porda","help","assist"
"azucre","chocolate","atrancolate","azuseu","sugar","chocolate"
"baby","niño","nion","baok","baby","child"
"badge","uniform","univron","amsge","badge","uniform"
"bágoa","corte","siste","bábin","tear","cut"
"baixo","high","hiso","apaxo","low","high"
"baleiro","full","uill","baciónro","empty","full"
"baloncesto","fútbol","pjabol","baathiscesto","basketball","football"
"banana","strawberry","shaheberry","baasigna","banana","strawberry"
"banca","financial","firewallcial","sosca","banking","financial"
"bandeira","símbolo","buñubolo","afordeira","flag","symbol"
"banqueiro","investidor","investicións","bankingro","banker","investor"
"barón","condesas","condetéña","bacei","baron","countess"
"base","sede","funde","disse","base","headquarters"
"bay","porto","xecto","oty","bay","harbor"
"bear","wolf","ailf","becia","bear","wolf"
"beast","animal","térmal","bexid","beast","animal"
"beber","beer","betas","bevan","drink","beer"
"bee","ant","ght","toe","bee","ant"
"biblia","book","bomín","bilois","bible","book"
"biblioteca","museo","muxoa","bihollywooteca","library","museum"
"bico","hug","urg","binar","kiss","hug"
"big","grand","oiand","urg","big","huge"
"bind","tie","ree","birt","bind","tie"
"bishop","cardeal","ofendeal","bitiop","bishop","cardinal"
"blanket","toalla","toalcohó","blanrís","blanket","towel"
"bloqueado","pechado","petrándo","triunqueado","locked","closed"
"bo","bad","aud","ke","good","bad"
"boca","nariz","nator","rinca","mouth","nose"
"bolboreta","bird","herd","esquéboreta","butterfly","bird"
"bomb","explosivo","exnorthsivo","bocí","bomb","explosive"
