"Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD"
"stating",92,90,87,85,1.80392156862745,1.96848294855394,1.07296137339056,1.95904139232109
"washes",93,91,86,84,1.82352941176471,1.9731278535997,1.08488316642823,1.96378782734556
"accordingly",93,89,80,77,1.82352941176471,1.9731278535997,1.06103958035289,1.95424250943932
"exposing",94,92,93,91,1.84313725490196,1.97772360528885,1.0968049594659,1.96848294855394
"dipped",94,90,87,85,1.84313725490196,1.97772360528885,1.07296137339056,1.95904139232109
"maintaining",94,90,83,80,1.84313725490196,1.97772360528885,1.07296137339056,1.95904139232109
"intruding",94,89,94,89,1.84313725490196,1.97772360528885,1.06103958035289,1.95424250943932
"arranging",95,92,91,88,1.86274509803922,1.98227123303957,1.0968049594659,1.96848294855394
"connects",95,91,93,89,1.86274509803922,1.98227123303957,1.08488316642823,1.96378782734556
"unusually",95,91,86,82,1.86274509803922,1.98227123303957,1.08488316642823,1.96378782734556
"plagued",95,90,94,89,1.86274509803922,1.98227123303957,1.07296137339056,1.95904139232109
"bitching",95,89,84,80,1.86274509803922,1.98227123303957,1.06103958035289,1.95424250943932
"humbly",95,89,86,83,1.86274509803922,1.98227123303957,1.06103958035289,1.95424250943932
"identifying",96,91,91,86,1.88235294117647,1.98677173426624,1.08488316642823,1.96378782734556
"distinctly",96,90,94,88,1.88235294117647,1.98677173426624,1.07296137339056,1.95904139232109
"specifics",96,90,94,88,1.88235294117647,1.98677173426624,1.07296137339056,1.95904139232109
"examining",96,89,92,86,1.88235294117647,1.98677173426624,1.06103958035289,1.95424250943932
"compelling",97,92,92,87,1.90196078431373,1.99122607569249,1.0968049594659,1.96848294855394
"bulk",97,91,89,83,1.90196078431373,1.99122607569249,1.08488316642823,1.96378782734556
"raises",97,91,92,86,1.90196078431373,1.99122607569249,1.08488316642823,1.96378782734556
"scrubbing",97,91,86,81,1.90196078431373,1.99122607569249,1.08488316642823,1.96378782734556
"composed",97,90,93,88,1.90196078431373,1.99122607569249,1.07296137339056,1.95904139232109
"bedside",98,96,90,89,1.92156862745098,1.99563519459755,1.1444921316166,1.98677173426624
