"sl_cue","sl_target","type","cue_type","target_type","sl_cosine"
"žlička","\ t","related","word","word",NA
"spinal","abdominalno","related","word","word",0.327716307969076
"ugrabit","abduct","related","word","word",NA
"smešno","absurdno","related","word","word",0.506995468436082
"hormon","adrenalin","related","word","word",0.478400252618709
"podjetje","agencija","related","word","word",0.349559487540335
"sprožilec","aktivirajte","related","word","word",0.35068350634525
"opozorilo","alarm","related","word","word",0.338137031368364
"motiv","alibi","related","word","word",0.453179360375212
"ufo","alien","related","word","word",0.172063247631314
"kotiček","alley","related","word","word",0.00834448389440705
"bravo","alpha","related","word","word",0.406580294395509
"afrika","amerika","related","word","word",0.626841294428117
"autopsion","analiza","related","word","word",NA
"hiša","apartma","related","word","word",0.289498688324027
"kaznovati","aretirati","related","word","word",0.522337199261479
"inženir","arhitekt","related","word","word",0.492275074434554
"arsenal","armory","related","word","word",0.462273535695445
"nevednost","arogance","related","word","word",0.382449941823009
"vein","arterija","related","word","word",NA
"konjenica","artilerija","related","word","word",0.493916911113354
"pacific","atlantic","related","word","word",0.460758580453101
"okolje","atmosfera","related","word","word",0.3564121981966
"vozilo","avto","related","word","word",0.542651998170409
"vlak","avtobus","related","word","word",0.730418792658984
"cesta","avtocesta","related","word","word",0.73636741736391
"dedek","babica","related","word","word",0.582208767465376
"orkester","band","related","word","word",0.368762172128157
"club","bar","related","word","word",0.468939968729572
"stadion","baseball","related","word","word",0.31144790770477
"regiment","bataljon","related","word","word",0.554124186960146
"superman","batman","related","word","word",0.480187369218856
"arena","battlefield","related","word","word",0.251971844379877
"norec","berka","related","word","word",0.0950633307650487
"anger","bes","related","word","word",0.151528578526117
"kemija","biologija","related","word","word",0.542905590041909
"kemikalije","biološki","related","word","word",0.314141639918761
"pošast","bitje","related","word","word",0.468143987044617
"vojna","bitka","related","word","word",0.621735772851399
"treasure","bogastvo","related","word","word",0.0907138239622111
"boj","boj","related","word","word",1
"bolan","bolan","related","word","word",1
"trpljenje","bolečina","related","word","word",0.524175654319737
"flue","bolezen","related","word","word",NA
"silk","bombaž","related","word","word",0.106497776447443
"biblija","book","related","word","word",0.221199665696904
"prvak","borec","related","word","word",0.456408856188791
"washington","boston","related","word","word",0.535640889525136
"bog","božanska","related","word","word",0.326235129364025
"stari","bra","related","word","word",0.206767582416934
"lase","brada","related","word","word",0.33426759414047
"zaščititi","braniti","related","word","word",0.631170198052363
"sestra","brat","related","word","word",0.482305081580895
"relativno","bratranec","related","word","word",-0.000294259172197972
"plemeniti","brave","related","word","word",0.140564157200055
"tattoo","brazgotina","related","word","word",0.359848138033467
"neuporabna","brez vrednosti","related","word","word",NA
"shine","bright","related","word","word",0.290168381249517
"odeja","brisačo","related","word","word",0.34725167283811
"igla","brizga","related","word","word",0.378752660904878
"scratch","bruise","related","word","word",NA
"caliber","bullet","related","word","word",NA
"ass","butt","related","word","word",0.326037108375754
"zdravo","bye","related","word","word",0.425921270088552
"sladica","cake","related","word","word",0.160146190079713
"očala","cap","related","word","word",0.133407040150716
"bishop","cardinal","related","word","word",0.156564345313468
"prekletstvo","čarovnica","related","word","word",0.45494293818458
"magic","čarovnik","related","word","word",0.200267137630118
"nadstropje","carpet","related","word","word",-0.0252394427831592
"članek","časopis","related","word","word",0.61455390823725
"detonator","časovnik","related","word","word",0.392075626967329
"privilege","čast","related","word","word",NA
"garlic","čebula","related","word","word",0.179578945519308
"vrednost","cena","related","word","word",0.479744391705909
"občudovati","cenim","related","word","word",0.365157225377932
"mile","centimeter","related","word","word",0.126454958356225
"antidote","cepivo","related","word","word",NA
"možgani","cerebral","related","word","word",NA
"imperial","cesar","related","word","word",0.144650812344166
"tretjič","četrtič","related","word","word",0.598405849599331
"polovica","četrtina","related","word","word",0.530785299994294
"boot","čevelj","related","word","word",0.171503303944517
"črpalka","cevi","related","word","word",0.277980352570935
"vino","champagne","related","word","word",0.267503840658086
"ustnice","cheek","related","word","word",0.117066629045591
"kruh","cheese","related","word","word",0.148448030300663
"katoliška","christian","related","word","word",0.103341613603179
"dim","cigar","related","word","word",0.286854637303282
"tobak","cigareta","related","word","word",0.372017331370527
"naiven","ciničen","related","word","word",0.546435971426855
"živalski vrt","cirkus","related","word","word",NA
"kultura","civilizacija","related","word","word",0.53308032293108
"tipično","classic","related","word","word",0.141360332681031
"človek","človek","related","word","word",1
"rum","cognac","related","word","word",NA
"sladkor","čokolada","related","word","word",0.490707400637074
"podmornica","čoln","related","word","word",0.390256430756809
"območje","cona","related","word","word",0.40077632059514
"podjetje","corporation","related","word","word",0.467296325482431
"body","corpse","related","word","word",NA
"paranoid","crazy","related","word","word",NA
"telegram","črka","related","word","word",0.0850403642377062
"bela","črna","related","word","word",0.64948815762604
"nenavadno","čudno","related","word","word",0.642389267119145
"duševno","čustveno","related","word","word",0.586620790980939
"trgati","cut","related","word","word",0.185966134723145
"rastlina","cvet","related","word","word",0.387766904181419
"ponudba","da","related","word","word",0.193563122963561
"v bližini","daljno","related","word","word",NA
"gospod","dama","related","word","word",0.323692817887869
"kompliment","darilo","related","word","word",0.3725418043721
"tark","debela","related","word","word",0.0918990704278806
"century","decade","related","word","word",NA
"november","december","related","word","word",0.769109063358816
"aktivna","dejavnost","related","word","word",0.348043919361515
"fantje","dekleta","related","word","word",0.452124498573575
"farmer","delavec","related","word","word",0.0905129057557329
"materija","delce","related","word","word",0.320591615650898
"job","delo","related","word","word",0.203418302249859
"operativno","delujoč","related","word","word",0.244956656075466
"svoboda","demokracijo","related","word","word",0.475440720440063
"protest","demonstracija","related","word","word",0.456470855372946
"cash","denar","related","word","word",0.22040274610338
"žep","denarnica","related","word","word",0.386605091240291
"stres","depresija","related","word","word",0.432727161945904
"usoda","destiny","related","word","word",0.226141680975032
"agent","detektiv","related","word","word",0.483844161099942
"trpeti","die","related","word","word",0.158303364474365
"ping","ding","related","word","word",0.592539575234487
"diploma","diplomant","related","word","word",0.759490502861837
"proizvajalec","direktorica","related","word","word",0.155110997594358
"pogovor","diskusija","related","word","word",0.350185971670135
"county","district","related","word","word",0.277661242292971
"enota","division","related","word","word",0.260459257944053
"make","do","related","word","word",0.219731638379612
"dodatno","dodatno","related","word","word",1
"pojavijo","dogaja","related","word","word",0.21412608174533
"pojav","dogodek","related","word","word",0.4501995124988
"dobiček","dohodek","related","word","word",0.50300523403967
"dokaze","dokaz","related","word","word",0.619288944045127
"mapa","dokument","related","word","word",0.304102090387873
"funt","dolar","related","word","word",0.502314217771843
"kratek","dolga","related","word","word",0.329442332103733
"puščava","dolina","related","word","word",0.424423412725523
"velikost","dolžina","related","word","word",0.5367982525554
"odgovornost","dolžnost","related","word","word",0.534149725054937
"dobrodelnost","donacija","related","word","word",0.459810397468219
"ponos","dostojanstvo","related","word","word",0.47028800855364
"dovolj","dovolj","related","word","word",1
"diamant","dragulj","related","word","word",0.592761889203379
"paint","draw","related","word","word",0.36672755527519
"nočna mora","dream","related","word","word",NA
"bush","drevo","related","word","word",0.0437420841333114
"podobno","drugačen","related","word","word",0.204136447355298
"klan","družina","related","word","word",0.277857752086406
"federal","država","related","word","word",0.204474183600238
"goos","duck","related","word","word",0.248855260817467
"monk","duhovnik","related","word","word",0.157298455690863
"rusty","dusty","related","word","word",0.580280758712393
"pušnica","dynamite","related","word","word",NA
"zahod","east","related","word","word",0.223059316998866
"nemogoče","easy","related","word","word",0.108959348666034
"poseben","edinstven","related","word","word",0.560434950140627
"liga","ekipa","related","word","word",0.362255258783081
"izbruh","eksplodira","related","word","word",0.30252173533821
"potres","eksplozije","related","word","word",0.402043919310582
"bomba","eksplozivno","related","word","word",0.382546791811735
"modna","eleganten","related","word","word",0.284408841570359
"magnetno","elektric","related","word","word",NA
"tok","elektrika","related","word","word",0.314861910153863
"factor","element","related","word","word",0.171183989292455
"dynasty","empire","related","word","word",0.383623885694438
"power","energija","related","word","word",0.166086961258979
"preprosto","enostavo","related","word","word",0.517988809966833
"millionaire","entrepreneur","related","word","word",NA
"kuga","epidemija","related","word","word",0.517116810134047
"serija","epizoda","related","word","word",0.494578616543117
"orgazem","erekcijo","related","word","word",0.374789956454393
"opišite","express","related","word","word",0.127328883863962
"mail","faks","related","word","word",0.372244978364835
"lažne","false","related","word","word",0.158409412713363
"dekle","fant","related","word","word",0.4512823230607
"čudovito","fantastično","related","word","word",0.677998234570257
"realnost","fantasy","related","word","word",0.194653483488262
"kolonija","federacija","related","word","word",0.442750186754804
"karneval","festival","related","word","word",0.462953590978925
"porn","film","related","word","word",0.301688540272075
"bančništvo","financial","related","word","word",0.356656529878845
"finančno","financiranje","related","word","word",0.475145773096803
"proračun","financiranje","related","word","word",0.327096168747353
"konec","finish","related","word","word",0.168186928347273
"spolno","fizično","related","word","word",0.490786252012122
"naval","flota","related","word","word",0.103577339697885
"tekočina","fluid","related","word","word",0.471065038077035
"zemljišče","fly","related","word","word",0.0205976345242362
"slika","foto","related","word","word",0.421136618719971
"avtogram","fotograf","related","word","word",0.393193678561563
"angleščina","francozi","related","word","word",0.146732769224375
"talt","freeze","related","word","word",0.170592655845527
"universe","galaksija","related","word","word",0.195743838294977
"delavnica","garaža","related","word","word",0.548152826573702
"lezbijka","gay","related","word","word",0.312285874015185
"koda","geslo","related","word","word",0.432318873099556
"jazz","glasba","related","word","word",0.482383813430554
"singer","glasbenik","related","word","word",0.21059561311896
"večina","glasuj","related","word","word",0.177683117180624
"kino","gledališče","related","word","word",0.466166278422396
"national","global","related","word","word",0.446067922890522
"slep","gluh","related","word","word",0.530287583290373
