"sr_cue","sr_target","type","cue_type","target_type","sr_cosine"
"фирма","агенција","related","word","word",0.584710982607377
"управљање","административни","related","word","word",0.486397258970655
"хормон","адреналин","related","word","word",0.601239949317918
"број","адреса","related","word","word",0.524220027029771
"терминал","аеродром","related","word","word",0.530224772279195
"окидач","активирати","related","word","word",0.609895271734505
"активан","активност","related","word","word",0.629353917373316
"глас","акценат","related","word","word",0.46930807043704
"упозорити","алармни","related","word","word",NA
"мотив","алиби","related","word","word",0.51659903878002
"браво","алфа","related","word","word",0.404940587109199
"африка","америка","related","word","word",0.730529110717365
"обдукција","анализа","related","word","word",0.634885685390654
"смешан","апсурдан","related","word","word",0.624909109056638
"незнање","ароганција","related","word","word",0.492269785491192
"вена","артерија","related","word","word",0.506532257175934
"коњица","артиљерија","related","word","word",0.579468451582532
"инжењер","архитекта","related","word","word",0.603732842281651
"плаћеник","атентатор","related","word","word",0.584883455734446
"пацифички","атлантик","related","word","word",NA
"животна средина","атмосфера","related","word","word",NA
"возити","аутобус","related","word","word",0.564847163120362
"возило","аутомобил","related","word","word",0.554978498889613
"пут","аутопут","related","word","word",0.679226688819332
"деда","бака","related","word","word",0.457032744450256
"клуб","бара","related","word","word",0.398867188744364
"пуковник","батаљон","related","word","word",0.565270002244719
"супермен","батман","related","word","word",NA
"сеф","безбедан","related","word","word",0.430060787274539
"сигурност","безбедност","related","word","word",0.725950452677319
"бескористан","безвредан","related","word","word",0.616611555510012
"стадион","бејзбол","related","word","word",0.497570908751501
"слободно","бесплатно","related","word","word",0.42932111950526
"љутња","бијес","related","word","word",0.480937382990382
"хемија","биологија","related","word","word",0.696220712971865
"хемијски","биолошки","related","word","word",0.670525557434996
"рат","битка","related","word","word",0.459385019259228
"избеглица","бјегунац","related","word","word",NA
"отворен","близу","related","word","word",0.392004290987459
"сиромашан","богат","related","word","word",0.635610613576604
"благо","богатство","related","word","word",0.533258390541452
"бог","божански","related","word","word",0.469144580769333
"хорор","бојати се","related","word","word",NA
"арена","бојно поље","related","word","word",NA
"патња","бол","related","word","word",0.58213046601255
"грип","болест","related","word","word",0.471165912247722
"болестан","болестан","related","word","word",1
"шампион","борац","related","word","word",0.570772193278722
"борба","борити се","related","word","word",NA
"вашингтон","бостон","related","word","word",0.64488908067965
"стакло","боца","related","word","word",0.507975512928602
"коса","брада","related","word","word",0.573970577282063
"развод","брак","related","word","word",0.534726055897537
"сестра","брат","related","word","word",0.501834251003152
"кицош","брат","related","word","word",0.419574744924357
"зрно","брашно","related","word","word",0.680506019056412
"спор","брз","related","word","word",0.459915082081329
"растојање","брзина","related","word","word",0.452650059133113
"полако","брзо","related","word","word",0.484198548126297
"посада","брод","related","word","word",0.449547842141343
"вредан","важан","related","word","word",0.607732212185092
"протући","вакцина","related","word","word",NA
"зомби","вампир","related","word","word",0.471319461426594
"нло","ванземаљски","related","word","word",0.589597414011989
"цимет","ванилија","related","word","word",NA
"приколица","вањски","related","word","word",NA
"схерлоцк","ватсон","related","word","word",0.626356321970943
"интернет","веб","related","word","word",0.490344701016949
"пракса","вежби","related","word","word",0.569581049918002
"одличан","велики","related","word","word",0.423816254221327
"саосећајан","великодушан","related","word","word",0.583732308645655
"марса","венес","related","word","word",0.650295420593009
"вентил","вентилација","related","word","word",0.780680041457423
"ангажовање","венчање","related","word","word",0.624591393622923
"надати се","вера","related","word","word",NA
"одан","веран","related","word","word",0.628497192016428
"поверење","веровати","related","word","word",0.443779578683557
"вероватноћа","вероватно","related","word","word",0.916115247678263
"можда","вероватно","related","word","word",0.412904908392479
"објашњење","веродостојан","related","word","word",0.476941748145641
"канал","вести","related","word","word",0.373200237475434
"ноћ","вече","related","word","word",0.462561567069386
"природњак","вештачки","related","word","word",NA
"проклетство","вештица","related","word","word",0.410867134797682
"двд","видео","related","word","word",0.380781270094985
"откровење","визија","related","word","word",0.455890008938638
"кашика","виљушкар","related","word","word",NA
"тежина","висина","related","word","word",0.698196938448987
"низак","високо","related","word","word",0.441954928532238
"величанство","височанство","related","word","word",0.902554403606971
"беланчевина","витамин","related","word","word",NA
"управа","владавина","related","word","word",0.521955639758393
"својство","власник","related","word","word",NA
"виски","водка","related","word","word",0.494561091849561
"угљеник","водоник","related","word","word",0.72387368854664
"члан","вођа","related","word","word",0.520599214202467
"путник","возач","related","word","word",0.534208649350221
"погон","возити се","related","word","word",NA
"грађан","војни","related","word","word",NA
"легија","војска","related","word","word",0.578345310841474
"медвед","волф","related","word","word",0.427451183309903
"јабука","воће","related","word","word",0.633993408981854
"анђео","враг","related","word","word",0.472088616292028
"грло","врат","related","word","word",0.487057557445006
"прозор","врата","related","word","word",0.605577648326751
"назад","вратити се","related","word","word",NA
"изузетно","врло","related","word","word",0.633745044531961
"свемир","галаксија","related","word","word",0.569738722411628
"радионица","гаража","related","word","word",0.581685849486385
"лезбијка","геј","related","word","word",0.515205241398466
"клавир","гитара","related","word","word",0.473803297026895
"кувар","главни кувар","related","word","word",NA
"уморан","гладан","related","word","word",0.651740213673475
"већина","гласати","related","word","word",0.401861073052698
"кандидат","гласач","related","word","word",NA
"гледати","гледати","related","word","word",1
"национални","глобално","related","word","word",0.539132095558962
"аутор","глумац","related","word","word",0.487600610960297
"наиван","глуп","related","word","word",0.515625338101852
"лудило","глупост","related","word","word",0.456860195238921
"слеп","глух","related","word","word",NA
"разговарати","говорити","related","word","word",0.558096871374458
"голуб","голи","related","word","word",0.672704804951711
"гасни","гориво","related","word","word",NA
"манкирати","горила","related","word","word",NA
"нижи","горњи","related","word","word",0.595763390346695
"главни град","град","related","word","word",NA
"конструкција","градити","related","word","word",0.387699496243675
"шериф","градоначелник","related","word","word",0.554888672058323
"килограм","грам","related","word","word",0.773767473460346
"грешка","грешка","related","word","word",1
"гроб","гробље","related","word","word",0.774105687662537
"кашаљ","грозница","related","word","word",0.567803493575399
"муња","гром","related","word","word",0.486309240346802
"барон","грофица","related","word","word",0.538106598543447
"стомак","груди","related","word","word",0.600687074686976
"банда","група","related","word","word",0.521257428041637
"римски","грчки","related","word","word",0.718585760095312
"кап","гутљај","related","word","word",0.410439527248277
"жаба","гуштер","related","word","word",0.486990433576792
"добро","да","related","word","word",0.49546123077596
"залазак сунца","давалац","related","word","word",NA
"близу","далеко","related","word","word",0.463459329172973
"господар","дама","related","word","word",0.413870082601374
"понудити","дати","related","word","word",0.606484485073034
"палата","дворац","related","word","word",0.55307576303638
"танак","дебео","related","word","word",0.431984187454605
"децаци","девојке","related","word","word",NA
"век","декада","related","word","word",NA
"гест","деловати","related","word","word",0.399508714824805
"слобода","демократија","related","word","word",0.503474399933179
"протест","демонстрација","related","word","word",0.540540995359029
"стрес","депресија","related","word","word",0.513462539495997
"догодити се","десити се","related","word","word",NA
"беба","дете","related","word","word",0.527002321563346
"агент","детектив","related","word","word",0.496881979835068
"младост","детињство","related","word","word",0.515551748626104
"концепт","дефиниција","related","word","word",0.506763566483915
"новембар","децембар","related","word","word",0.816716095096343
"девојка","дечак","related","word","word",0.493598255582619
"јединица","дивизија","related","word","word",0.561119089175294
"барут","динамит","related","word","word",0.56843655764361
"пинг","динг","related","word","word",0.786961462222027
"диплома","дипломирани","related","word","word",NA
"директан","директно","related","word","word",0.779595240695536
"разговор","дискусија","related","word","word",0.489465898322735
"на врху","дно","related","word","word",NA
"волонтерски","добровољно","related","word","word",NA
"довољно","довољан","related","word","word",0.702348674281149
"феномен","догађај","related","word","word",0.526399208439418
"уговор","договор","related","word","word",0.833508747910426
"додатни","додатни","related","word","word",1
"дозволити","дозволити","related","word","word",1
"доказ","доказ","related","word","word",1
"досије","документ","related","word","word",0.593302525832537
"фунта","долар","related","word","word",0.577578148577951
"пустиња","долина","related","word","word",0.520755719239837
"милосрђе","донација","related","word","word",0.426162473188371
"вечерати","доручак","related","word","word",0.44858660357383
"заслужити","достојан","related","word","word",0.491629185901156
"понос","достојанство","related","word","word",0.470253833703808
"стићи","доћи","related","word","word",0.621362441634841
"дијамантски","драгуљ","related","word","word",0.552540644810425
"грм","дрво","related","word","word",0.472684152342037
"савезљив","држава","related","word","word",NA
"алкохол","дрога","related","word","word",0.570088614714401
"кратак","дугачак","related","word","word",0.608680676548717
"величина","дужина","related","word","word",0.649051554307531
"одговорност","дужност","related","word","word",0.695305040676898
"душа","дух","related","word","word",0.578990638611225
"провалити","експлодирати","related","word","word",0.608885308248339
"бомба","експлозиван","related","word","word",NA
"земљотрес","експлозија","related","word","word",0.578385484184843
"модни","елегантан","related","word","word",0.546738292469092
"магнетни","електричан","related","word","word",NA
"тренутни","електрична енергија","related","word","word",NA
"фактор","елемент","related","word","word",0.609866566964285
"ментални","емотиван","related","word","word",0.595633351135964
"снага","енергија","related","word","word",0.541316949114997
"куга","епидемија","related","word","word",0.582279992655289
"серија","епизода","related","word","word",0.523600460389501
"оргазам","ерекција","related","word","word",0.395202199199555
"корисно","ефикасан","related","word","word",0.500648339872635
"прогутати","жвакати","related","word","word",0.706278666217025
"глад","жеђ","related","word","word",0.499496854067138
"жеља","желети","related","word","word",0.43529513904387
"мужа","жена","related","word","word",0.458723819929716
"удовица","жена","related","word","word",0.523526810600084
"мушки","женско","related","word","word",0.55256877722284
"звер","животињски","related","word","word",0.415495731207234
"кабл","жица","related","word","word",0.507292013135884
"рецепција","журка","related","word","word",0.504764989026849
"црвено","жути","related","word","word",0.486228203415789
"забрањен","забранити","related","word","word",0.717204303738942
"забринутост","забринути","related","word","word",0.831327003579128
"крај","завршити","related","word","word",0.39077961677288
"пољубити","загрлити","related","word","word",0.742358796920984
"предњи део","задњи","related","word","word",NA
"први","задњи","related","word","word",0.494896219062755
"дупе","задњица","related","word","word",0.444231899015151
"држати","задржати","related","word","word",0.895234835036617
"заправо","заиста","related","word","word",0.473163089727238
"кредит","зајам","related","word","word",0.569471975715719
"друштво","заједница","related","word","word",0.343566363569925
"закуни се","заклетва","related","word","word",NA
"кључ","закључати","related","word","word",0.601980205035927
"копати","закопати","related","word","word",0.878066883817869
"ред","закренути","related","word","word",NA
"најам","закуп","related","word","word",0.525647670112594
"заменити","заменити","related","word","word",1
"растопити","замрзнути","related","word","word",NA
"узбудљив","занимљив","related","word","word",0.684750362343029
"јужни","западни","related","word","word",0.643007828844241
"заборавити","запамтити","related","word","word",0.642226453413685
"отварање","затварање","related","word","word",0.907508785807779
"казна","затвор","related","word","word",0.461113679711596
"ћелија","затвор","related","word","word",0.422782604478142
