"sr_target","sr_cue","sr_fake_cue","sr_fake_target","en_cue","en_target"
"агенција","фирма","ноћма","умреција","firm","agency"
"административни","управљање","златвљање","вeрoвaтминистративни","management","administrative"
"адреналин","хормон","хорнер","адренаством","hormone","adrenaline"
"адреса","број","брho","енерса","number","address"
"аеродром","терминал","знајминал","аерокорд","terminal","airport"
"активирати","окидач","умадач","стрпљетивирати","trigger","activate"
"активност","активан","актистим","активство","active","activity"
"акценат","глас","глež","акцеквог","voice","accent"
"алармни","упозорити","стварзорити","алберни","alert","alarm"
"алиби","мотив","мовет","фраби","motive","alibi"
"алфа","браво","најво","ahфа","bravo","alpha"
"америка","африка","партка","отворика","africa","america"
"анализа","обдукција","обстранција","бренлиза","autopsy","analysis"
"апсурдан","смешан","смесем","албердан","ridiculous","absurd"
"ароганција","незнање","некретње","зajeдганција","ignorance","arrogance"
"артерија","вена","брана","озбиљтерија","vein","artery"
"артиљерија","коњица","костарца","нeкoлитиљерија","cavalry","artillery"
"архитекта","инжењер","инжетрај","озбиљхитекта","engineer","architect"
"атентатор","плаћеник","окрећеник","озбитатор","mercenary","assassin"
"атлантик","пацифички","струкцифички","атланјор","pacific","atlantic"
"атмосфера","животна средина","животна средстрпљив","опкламосфера","environment","atmosphere"
"аутобус","возити","вообрати","аутосрет","train","bus"
"аутомобил","возило","воуспело","аутомосперт","vehicle","car"
"аутопут","пут","онт","аутоштај","road","highway"
"бака","деда","манда","итека","grandfather","grandmother"
"бара","клуб","твуб","спора","club","bar"
"батаљон","пуковник","пустимник","батарпер","regiment","battalion"
"батман","супермен","суперзнаш","шваман","superman","batman"
"безбедан","сеф","šuф","берлиндан","safe","secure"
"безбедност","сигурност","сигурство","безбедство","security","safety"
"безвредан","бескористан","бескорилност","екравредан","useless","worthless"
"бејзбол","стадион","брендион","опизбол","stadium","baseball"
"бесплатно","слободно","слокретно","бесстично","freely","free"
"бијес","љутња","љушћу","бимог","anger","rage"
"биологија","хемија","хеструја","опклалогија","chemistry","biology"
"биолошки","хемијски","хешпански","гладлошки","chemical","biological"
"битка","рат","ogт","скука","war","battle"
"бјегунац","избеглица","избестранца","шпангунац","refugee","fugitive"
"близу","отворен","отвозак","опезу","open","close"
"богат","сиромашан","сиромалност","бокић","poor","rich"
"богатство","благо","отиго","богатност","treasure","wealth"
"божански","бог","руг","бовјетски","god","divine"
"бојати се","хорор","хојен","бојатизврат","horror","fear"
"бојно поље","арена","обрна","истинно поље","arena","battlefield"
"бол","патња","панам","рил","suffering","pain"
"болест","грип","грџу","борант","flu","disease"
"болестан","болестан","боленокс","болеквих","ill","sick"
"борац","шампион","шарлотон","бошеш","champion","fighter"
"борити се","борба","такба","борититланд","combat","fight"
"бостон","вашингтон","ваклејтон","боклин","washington","boston"
"боца","стакло","стаћег","штица","glass","bottle"
"брада","коса","коник","стода","hair","beard"
"брак","развод","разсле","брtl","divorce","marriage"
"брат","сестра","сесним","išат","sister","brother"
"брат","кицош","кисме","išат","dude","bro"
"брашно","зрно","течно","брапис","grain","flour"
"брз","спор","спги","физ","slow","fast"
"брзина","растојање","растојалност","брсрећна","distance","speed"
"брзо","полако","потребко","брнар","slowly","quickly"
"брод","посада","подручда","брив","crew","ship"
"важан","вредан","смидан","вачем","valuable","important"
"вакцина","протући","осветући","углецина","antidote","vaccine"
"вампир","зомби","триби","вадљив","zombie","vampire"
"ванземаљски","нло","жио","ванзеспортски","ufo","alien"
"ванилија","цимет","цитро","огромнилија","cinnamon","vanilla"
"вањски","приколица","стварколица","вашник","trailer","van"
"ватсон","схерлоцк","мицрлоцк","серсон","sherlock","watson"
"веб","интернет","интерстан","vjб","internet","web"
"вежби","пракса","трејса","ветез","practice","exercise"
"велики","одличан","одлистим","вефренки","excellent","great"
"великодушан","саосећајан","саосећамплекс","великодумплекс","compassionate","generous"
"венес","марса","подса","вевоу","mars","venus"
"вентилација","вентил","вензен","стрпљетилација","valve","ventilation"
"венчање","ангажовање","стрпљегажовање","главчање","engagement","wedding"
"вера","надати се","надатифаркт","ведем","hope","faith"
"веран","одан","одли","весни","loyal","faithful"
"веровати","поверење","поздраврење","веробертсти","trust","believe"
"вероватно","вероватноћа","вероватностингс","вероискрено","probability","likely"
"вероватно","можда","мопре","вероискрено","maybe","probably"
"веродостојан","објашњење","објалностње","веродостомплекс","explanation","plausible"
"вести","канал","казор","ведем","channel","news"
"вече","ноћ","zoћ","вешти","night","evening"
"вештачки","природњак","приролтет","вефренки","natural","artificial"
"вештица","проклетство","простарство","веударца","curse","witch"
"видео","двд","yuд","вимак","dvd","video"
"визија","откровење","испракровење","сплозија","revelation","vision"
"виљушкар","кашика","каодлука","виљурург","spoon","fork"
"висина","тежина","тетрудна","витребна","weight","height"
"високо","низак","никла","виглатко","low","high"
"височанство","величанство","величанлност","височанлност","majesty","highness"
"витамин","беланчевина","исправланчевина","витаквом","protein","vitamin"
"владавина","управа","окрува","огромдавина","administration","government"
"власник","својство","сканство","спосник","property","owner"
"водка","виски","виште","омока","whiskey","vodka"
"водоник","угљеник","узорник","водослов","carbon","hydrogen"
"вођа","члан","tран","уређа","member","leader"
"возач","путник","викник","вожва","passenger","driver"
"возити се","погон","показ","возитиблдор","drive","ride"
"војни","грађан","грагој","амени","civil","military"
"војска","легија","лестерја","војком","legion","army"
"волф","медвед","межњен","вопун","bear","wolf"
"воће","јабука","јаистока","криће","apple","fruit"
"враг","анђео","антум","врäà","angel","devil"
"врат","грло","ojло","aiат","throat","neck"
"врата","прозор","пропис","дента","window","door"
"вратити се","назад","надон","вратитиглeдa","back","return"
"врло","изузетно","изуогромно","свло","extremely","very"
"галаксија","свемир","свевоз","гаимпресија","universe","galaxy"
"гаража","радионица","радионистинкт","предража","workshop","garage"
"геј","лезбијка","лепљачка","šmј","lesbian","gay"
"гитара","клавир","кладок","освотара","piano","guitar"
"главни кувар","кувар","купих","озбиљни кувар","cook","chef"
"гладан","уморан","ручран","главио","tired","hungry"
"гласати","већина","весрећна","адресати","majority","vote"
"гласач","кандидат","кандисном","глабео","candidate","voter"
"гледати","гледати","отводати","отводати","look","watch"
"глобално","национални","национастрпљив","другбално","national","global"
"глумац","аутор","аусте","глушен","author","actor"
"глуп","наиван","наистим","глjv","naïve","stupid"
"глупост","лудило","одредило","глујорк","madness","stupidity"
"глух","слеп","ајеп","глjf","blind","deaf"
"говорити","разговарати","нeкoлиговарати","стварворити","talk","speak"
"голи","голуб","гоњац","итали","nude","naked"
"гориво","гасни","гаран","горимент","gas","fuel"
"горила","манкирати","зajeдкирати","стварила","monkey","gorilla"
"горњи","нижи","дражи","гоглу","lower","upper"
"град","главни град","згодни град","грrf","capital","city"
"градити","конструкција","конклинција","сплодити","construction","build"
"градоначелник","шериф","шегов","градоначестронг","sheriff","mayor"
"грам","килограм","килоштво","грab","kilo","gram"
"грешка","грешка","грецем","гредњи","error","mistake"
"гробље","гроб","грxo","гротњу","grave","cemetery"
"грозница","кашаљ","капли","ухвазница","cough","fever"
"гром","муња","шљања","еком","lightning","thunder"
"грофица","барон","баваш","ухвафица","baron","countess"
"груди","стомак","стосет","тајди","stomach","chest"
