sr_cue,sr_target,type,cue_type,target_type,sr_cosine
фирма,агенција,related,word,word,0.584710982607377
управљање,административни,related,word,word,0.486397258970655
хормон,адреналин,related,word,word,0.601239949317918
број,адреса,related,word,word,0.524220027029771
терминал,аеродром,related,word,word,0.530224772279195
окидач,активирати,related,word,word,0.609895271734505
активан,активност,related,word,word,0.629353917373316
глас,акценат,related,word,word,0.46930807043704
узбуна,аларм,related,word,word,0.469512350287268
мотив,алиби,related,word,word,0.51659903878002
браво,алфа,related,word,word,0.404940587109199
африка,америка,related,word,word,0.730529110717365
обдукција,анализа,related,word,word,0.634885685390655
смешан,апсурдан,related,word,word,0.624909109056638
незнање,ароганција,related,word,word,0.492269785491192
вена,артерија,related,word,word,0.506532257175934
коњица,артиљерија,related,word,word,0.579468451582532
инжењер,архитекта,related,word,word,0.603732842281651
плаћени убица,атентатор,related,word,word,
пацифик,атлантик,related,word,word,0.727348037812299
животна средина,атмосфера,related,word,word,
воз,аутобус,related,word,word,0.651447785609819
возило,аутомобил,related,word,word,0.554978498889613
пут,аутопут,related,word,word,0.679226688819332
деда,баба,related,word,word,0.558005050395239
клуб,бар,related,word,word,0.358384786499562
одред,батаљон,related,word,word,0.610579593152873
супермен,бетмен,related,word,word,0.655230098614842
сигуран,безбедан,related,word,word,0.58874009587365
безбедност,сигурност,related,word,word,0.725950452677319
бескористан,безвредан,related,word,word,0.616611555510013
стадион,бејзбол,related,word,word,0.497570908751501
слободно,бесплатно,related,word,word,0.429321119505259
љутња,бес,related,word,word,0.530236863202081
хемија,биологија,related,word,word,0.696220712971865
хемијски,биолошки,related,word,word,0.670525557434996
рат,битка,related,word,word,0.459385019259228
избеглица,бегунац,related,word,word,0.564578588518847
отворен,затворен,related,word,word,0.823097527273749
сиромашан,богат,related,word,word,0.635610613576604
благо,богатство,related,word,word,0.533258390541452
бог,божански,related,word,word,0.469144580769333
хорор,страх,related,word,word,0.494232699009139
арена,бојно поље,related,word,word,
патња,бол,related,word,word,0.58213046601255
грип,болест,related,word,word,0.471165912247722
нездрав,болестан,related,word,word,0.508181475510737
шампион,борац,related,word,word,0.570772193278722
битка,борба,related,word,word,0.59502285866067
вашингтон,бостон,related,word,word,0.64488908067965
стакло,боца,related,word,word,0.507975512928602
коса,брада,related,word,word,0.573970577282063
развод,брак,related,word,word,0.534726055897537
сестра,брат,related,word,word,0.501834251003152
ортак,брат,related,word,word,0.39839425739635
зрно,брашно,related,word,word,0.680506019056412
спор,брз,related,word,word,0.459915082081329
растојање,брзина,related,word,word,0.452650059133113
полако,брзо,related,word,word,0.484198548126297
посада,брод,related,word,word,0.449547842141343
вредан,важан,related,word,word,0.607732212185092
противотров,вакцина,related,word,word,0.578924916476867
зомби,вампир,related,word,word,0.471319461426594
нло,ванземаљски,related,word,word,0.589597414011989
цимет,ванила,related,word,word,0.451764940540464
приколица,камион,related,word,word,0.536364121017331
шерлок,вотсон,related,word,word,0.63435412523912
интернет,веб,related,word,word,0.490344701016949
вежбање,вежба,related,word,word,0.763501212699392
одличан,велики,related,word,word,0.423816254221327
саосећајан,великодушан,related,word,word,0.583732308645655
марс,венера,related,word,word,0.424865383313786
вентил,вентилација,related,word,word,0.780680041457423
веридба,венчање,related,word,word,0.477541252157904
нада,вера,related,word,word,0.420257425578393
одан,веран,related,word,word,0.628497192016428
поверење,веровати,related,word,word,0.443779578683557
вероватноћа,вероватно,related,word,word,0.916115247678263
можда,вероватно,related,word,word,0.412904908392479
објашњење,вероватан,related,word,word,
канал,вести,related,word,word,0.373200237475435
ноћ,вече,related,word,word,0.462561567069386
природни,вештачки,related,word,word,0.577887640644819
клетва,вештица,related,word,word,0.550401791676066
двд,видео,related,word,word,0.380781270094985
откровење,визија,related,word,word,0.455890008938638
кашика,виљушка,related,word,word,0.722710435297717
тежина,висина,related,word,word,0.698196938448987
низак,висок,related,word,word,0.510577487870496
величанство,височанство,related,word,word,0.902554403606971
протеин,витамин,related,word,word,0.633826484784032
управа,владавина,related,word,word,0.521955639758393
својина,власник,related,word,word,0.373576318072204
виски,вотка,related,word,word,0.483857924670941
угљеник,водоник,related,word,word,0.72387368854664
члан,вођа,related,word,word,0.520599214202467
путник,возач,related,word,word,0.534208649350221
вожња,возити се,related,word,word,
цивилни,војни,related,word,word,0.659793779665703
легија,војска,related,word,word,0.578345310841474
медвед,вук,related,word,word,0.571124948937186
јабука,воће,related,word,word,0.633993408981854
анђео,ђаво,related,word,word,0.52011213869341
грло,врат,related,word,word,0.487057557445006
прозор,врата,related,word,word,0.605577648326752
натраг,повратак,related,word,word,0.484250522609343
изузетно,веома,related,word,word,0.582225120998259
свемир,галаксија,related,word,word,0.569738722411628
радионица,гаража,related,word,word,0.581685849486385
лезбијка,геј,related,word,word,0.515205241398466
клавир,гитара,related,word,word,0.473803297026895
кувар,шеф кухиње,related,word,word,
уморан,гладан,related,word,word,0.651740213673475
већина,гласање,related,word,word,0.420431599080288
кандидат,гласач,related,word,word,
посматрати,гледати,related,word,word,0.637689828237768
национално,глобално,related,word,word,0.71130902626532
аутор,глумац,related,word,word,0.487600610960297
наиван,глуп,related,word,word,0.515625338101852
лудило,глупост,related,word,word,0.456860195238921
слеп,глув,related,word,word,0.529274470521731
разговор,говор,related,word,word,0.736545383319396
наг,голи,related,word,word,0.37713439057944
бензин,гориво,related,word,word,0.602033275563428
мајмун,горила,related,word,word,0.429159084003158
доњи,горњи,related,word,word,0.738076082189116
главни град,град,related,word,word,
грађевина,градити,related,word,word,0.586697404735831
шериф,градоначелник,related,word,word,0.554888672058323
килограм,грам,related,word,word,0.773767473460346
погрешка,грешка,related,word,word,0.852508752690909
гроб,гробље,related,word,word,0.774105687662537
кашаљ,грозница,related,word,word,0.567803493575399
муња,гром,related,word,word,0.486309240346802
барон,грофица,related,word,word,0.538106598543447
стомак,груди,related,word,word,0.600687074686976
банда,група,related,word,word,0.521257428041637
римски,грчки,related,word,word,0.718585760095312
кап,гутљај,related,word,word,0.410439527248277
жаба,гуштер,related,word,word,0.486990433576792
ок,да,related,word,word,0.44892207179377
сутон,зора,related,word,word,
близу,далеко,related,word,word,0.463459329172973
господин,дама,related,word,word,0.395344834941469
понудити,дати,related,word,word,0.606484485073034
палата,дворац,related,word,word,0.55307576303638
танак,дебео,related,word,word,0.431984187454605
дечаци,девојчице,related,word,word,0.501716578426805
век,деценија,related,word,word,0.426107931726317
гест,чин,related,word,word,0.467723973972264
слобода,демократија,related,word,word,0.503474399933179
протест,демонстрације,related,word,word,0.546335228840703
стрес,депресија,related,word,word,0.513462539495997
догодити се,десити се,related,word,word,
беба,дете,related,word,word,0.527002321563346
агент,детектив,related,word,word,0.496881979835068
младост,детињство,related,word,word,0.515551748626104
појам,дефиниција,related,word,word,0.48060795250748
новембар,децембар,related,word,word,0.816716095096343
девојчица,дечак,related,word,word,0.54526828343407
јединица,дивизија,related,word,word,0.561119089175294
барут,динамит,related,word,word,0.56843655764361
пинг,динг,related,word,word,0.786961462222027
диплома,дипломирати,related,word,word,0.754798251974655
директан,директно,related,word,word,0.779595240695536
разговор,дискусија,related,word,word,0.489465898322735
врх,дно,related,word,word,0.447743682848777
својевољно,добровољно,related,word,word,0.718837944727807
доста,довољан,related,word,word,0.463622922939437
феномен,догађај,related,word,word,0.526399208439418
уговор,договор,related,word,word,0.833508747910426
допунски,додатни,related,word,word,
дозволити,допустити,related,word,word,0.718614679950091
сведочанство,доказ,related,word,word,0.448242561638849
фајл,документ,related,word,word,0.606587247186308
фунта,долар,related,word,word,0.577578148577951
пустиња,долина,related,word,word,0.520755719239837
милосрђе,донација,related,word,word,0.426162473188371
вечера,доручак,related,word,word,0.474165521815924
заслужити,достојан,related,word,word,0.491629185901156
понос,достојанство,related,word,word,0.470253833703808
стићи,доћи,related,word,word,0.621362441634841
дијамант,драгуљ,related,word,word,0.540487895682177
грм,дрво,related,word,word,0.472684152342037
федерација,држава,related,word,word,0.501883583346011
алкохол,дрога,related,word,word,0.570088614714401
кратак,дугачак,related,word,word,0.608680676548718
величина,дужина,related,word,word,0.649051554307531
одговорност,дужност,related,word,word,0.695305040676898
душа,дух,related,word,word,0.578990638611225
пући,експлодирати,related,word,word,0.551667552676207
бомба,експлозив,related,word,word,0.598668638808968
земљотрес,експлозија,related,word,word,0.578385484184843
модеран,елегантан,related,word,word,0.694091828570843
магнетни,електричан,related,word,word,
струја,електрична енергија,related,word,word,
фактор,елемент,related,word,word,0.609866566964285
ментални,емоционални,related,word,word,0.725740255622471
снага,енергија,related,word,word,0.541316949114997
куга,епидемија,related,word,word,0.582279992655289
серија,епизода,related,word,word,0.523600460389501
оргазам,ерекција,related,word,word,0.395202199199555
користан,ефикасан,related,word,word,0.614657167963676
прогутати,жвакати,related,word,word,0.706278666217025
глад,жеђ,related,word,word,0.499496854067138
жеља,чежња,related,word,word,0.51600052875295
муж,жена,related,word,word,0.500274037842293
удовица,жена,related,word,word,0.523526810600084
мушки,женски,related,word,word,0.711546465962876
звер,животиња,related,word,word,0.436799917751483
кабл,жица,related,word,word,0.507292013135884
пријем,журка,related,word,word,0.344719484250876
црвен,жут,related,word,word,0.595145421034801
забрањен,забранити,related,word,word,0.717204303738942
забринутост,брига,related,word,word,0.529573253427281
крај,завршетак,related,word,word,0.539175840130346
пољубац,загрљај,related,word,word,0.61487017586191
предњи,задњи,related,word,word,0.654458365194647
први,последњи,related,word,word,0.477422606217858
дупе,задњица,related,word,word,0.444231899015151
држати,задржати,related,word,word,0.895234835036618
заправо,заиста,related,word,word,0.473163089727238
кредит,зајам,related,word,word,0.569471975715719
друштво,заједница,related,word,word,0.343566363569925
заклети се,заклетва,related,word,word,
кључ,брава,related,word,word,0.405943307624557
копати,закопати,related,word,word,0.878066883817869
окренути,заротирати,related,word,word,
најам,закуп,related,word,word,0.525647670112594
заменити,изменити,related,word,word,0.817726240831746
истопити,замрзнути,related,word,word,0.627356642370655
узбудљив,занимљив,related,word,word,0.684750362343029
јужни,западни,related,word,word,0.643007828844241
заборавити,сетити се,related,word,word,
отварање,затварање,related,word,word,0.907508785807779
казна,затвор,related,word,word,0.461113679711596
ћелија,затвор,related,word,word,0.422782604478142
закључан,затворен,related,word,word,0.609830611615011
талац,затвореник,related,word,word,0.458089503706994
вечни,заувек,related,word,word,0.506606862520232
спречити,зауставити,related,word,word,0.617191101930334
захвалан,захвалити,related,word,word,0.804805242112986
