"ca_cue","ca_target","ca_fake_target","ca_fake_cue","en_cue","en_target"
"a fora","sobre","soone","qmfora","out","about"
"a vegades","amb freqüència","amb frauüència","vævegades","sometimes","often"
"abella","formiga","fábriga","abusla","bee","ant"
"absolutament","completament","compartament","abralutament","absolutely","completely"
"accidentalment","intencionalment","intencionançent","accidentallunt","accidentally","intentionally"
"acompanyar","acompanyar","acompatiar","acompatiar","escort","accompany"
"actiu","activitat","actiostat","acueu","active","activity"
"acumular","reunir","reusón","actaular","collect","gather"
"admetre","confessar","coelessar","dimetre","admit","confess"
"administració","govern","orvern","adonnistració","administration","government"
"admirar","valorar","vacirar","adonrar","admire","appreciate"
"adolescent","adolescent","adanescent","prolescent","teenage","teenager"
"adult","pare","pareajustament","adett","adult","parent"
"advertència","missatge","missegge","advertíccia","warning","message"
"advocat","acusador","cantador","adlecat","lawyer","prosecutor"
"afalagar","impressionar","sipressionar","afaldear","flatter","impress"
"afició","esport","espodo","piició","hobby","sport"
"aficionat","professional","prenessional","òricionat","amateur","professional"
"àfrica","amèrica","magraca","louica","africa","america"
"agent","detectiva","detectnta","mpent","agent","detective"
"agraida","agraïr","agrayà","agragoa","grateful","thank"
"agulla","xeringa","xerioca","agenla","needle","syringe"
"aire","oxígen","oxcken","etre","air","oxygen"
"ajeure's","mentider","mentaier","ajeurefm","lie","liar"
"ajudar","ajudar","wiudar","ajilar","help","assist"
"ajut","ajut","rcut","wiut","support","assistance"
"ajuts","contrairi","contrabii","fruts","aids","hiv"
"àlbum","cançó","vençó","axbum","album","song"
"alcohol","droga","ofoga","alcombl","alcohol","drug"
"alerta","alarma","igarma","cherta","alert","alarm"
"àliar","cognom","coesom","byiar","nickname","surname"
"alimentar","menjar","metear","alarentar","feed","eat"
"all","ceba","cegu","exl","garlic","onion"
"amant","amant","rrant","rrant","mistress","lover"
"ambaixada","ministeri","venisteri","esbrinada","embassy","ministry"
"ambaixador","pastor","deutor","encaixador","ambassador","minister"
"ambulància","helicòpter","heliampter","amislància","ambulance","helicopter"
"analista","investigador","necessitador","rialista","analyst","investigator"
"anarquia","capitalisme","capiollisme","mbarquia","anarchy","capitalism"
"anatomia","psicologia","psnyologia","antoomia","anatomy","psychology"
"àncora","navegar","divegar","ghcora","anchor","sail"
"anfiteatre","camp de batalla","campave batalla","anfiisatre","arena","battlefield"
"àngel","diable","dibule","àndul","angel","devil"
"anglès","francès","franpas","anglat","english","french"
"ànima","humor","gimor","tòima","soul","spirit"
"aniversari","aniversari","anxaersari","aniverieri","anniversary","birthday"
"anomenada","telèfon","telèctn","riaparada","call","telephone"
"anònim","desconegut","desconegis","anudim","anonymous","unknown"
"antídot","vacuna","vancna","ancudot","antidote","vaccine"
"apetitós","deliciosa","declinasa","apetitir","tasty","delicious"
"aprendre","ensenyar","enseitar","aprempre","learn","teach"
"aprop","llunyà","llunrf","aptip","near","far"
"aquí","ací","rtí","aqrk","here","there"
"ara","saber","samir","pía","now","know"
"aranya","insecte","inercte","rcanya","spider","insect"
"arbust","arbre","arnoe","archst","bush","tree"
"àrea","zona","ohna","whea","area","zone"
"arrabassar","atrapar","brrapar","llrabassar","grab","catch"
"arribada","partença","partentu","agradada","arrival","departure"
"arribar","venir","vemer","llribar","arrive","come"
"arsenal","armeria","llmeria","pasenal","arsenal","armory"
"art","literatura","litemptura","llt","art","literature"
"artefacte","medalló","medassó","artertcte","artifact","medallion"
"article","diari","lvari","artifue","article","newspaper"
"artista","pintora","vantora","lltista","artist","painter"
"ase","cavall","caenll","ize","donkey","horse"
"aspirina","morfina","mottina","aslerina","aspirin","morphine"
"assassí","assassí","assaatí","assaatí","killer","murderer"
"assumpte","preocupar-se","preoprofase","assudite","concern","worry"
"astronauta","pilot","nelot","astronpèta","astronaut","pilot"
"atenció","atreure","atrejoe","brenció","attention","attract"
"aterrar","horripilant","horrrgilant","brerrar","scary","creepy"
"aterratge","vol","arl","nverratge","landing","flight"
"atòmic","nuclear","nucllor","atgaic","atomic","nuclear"
"atractiva","encantador","començador","brractiva","attractive","charming"
"augmentar","reduir","reafir","auraentar","increase","reduce"
"autògraf","fotògraf","fotògrbi","autògrgh","autograph","photographer"
"autòpsia","anàlisi","anàluli","autòrmia","autopsy","analysis"
"autor","actor","acumr","nator","author","actor"
"avi","àvia","bèia","rsi","grandfather","grandmother"
"avinguda","carrer","canter","avelguda","avenue","street"
"avui","ahir","rgir","ecui","today","yesterday"
"badia","port","poxo","etdia","bay","harbor"
"baix","alt","iet","bato","low","high"
"bala","disparar","disparea","pula","shot","shoot"
"ballarí","dansa","cuísa","ballrtí","dancer","dance"
"banca","financer","fisincer","badaa","banking","financial"
"bandera","símbol","dumbol","fundera","flag","symbol"
"banquera","inversor","inveshor","linquera","banker","investor"
"banya","xiulet","xistet","lunya","horn","whistle"
"bar","restaurant","restorrant","rir","pub","restaurant"
"baró","comissió","colassió","baww","baron","countess"
"base","quarter general","ctarter general","baras","base","headquarters"
"bàsquet","futbol","fursol","stsquet","basketball","football"
"bé","sí","ev","td","okay","yeah"
"bèstia","animal","anngal","tàstia","beast","animal"
"beure","cervesa","cullesa","besae","drink","beer"
"bíblia","llibre","llogre","bíemia","bible","book"
"biblioteca","museu","ceseu","biblioroca","library","museum"
"bisbe","cardinal","cardnyal","bitue","bishop","cardinal"
"blanc","negre","neene","blrec","white","black"
"blasfemar","bruixa","bruiah","blaskamar","curse","witch"
"bo","dolent","salent","op","good","bad"
"boca","nas","ops","iaca","mouth","nose"
"bogeria","estupidesa","estrenyesa","bogenda","madness","stupidity"
"boig","idiota","ideita","oxig","fool","idiot"
"bomba","explosiu","explosad","bouia","bomb","explosive"
"bomba","mànega","cknega","bouia","pump","hose"
"bonic","bonic","boscc","tànic","pretty","beautiful"
"bota","sabata","sabans","bori","boot","shoe"
"botiga","tenda","terna","basaga","shop","store"
"botó","pressionar","pressistar","bodh","button","press"
"bravo","alfa","alor","breso","bravo","alpha"
"brillar","lluminós","llieinós","bratlar","shine","bright"
"broma","broma","brrea","brcca","trick","joke"
"brúixola","plànol","plrmol","brúislla","compass","map"
