"ca_target,"ca_cue","type","target_type","cue_type","ca_cosine"
"sobre","a fora","related","word","word",NA
"amb freqüència","a vegades","related","word","word",NA
"formiga","abella","related","word","word",NA
"completament","absolutament","related","word","word",0.613045517830119
"intencionalment","accidentalment","related","word","word",NA
"acompanyar","acompanyar","related","word","word",1
"activitat","actiu","related","word","word",0.537184795976908
"reunir","acumular","related","word","word",0.294606054407064
"confessar","admetre","related","word","word",0.227972412220898
"govern","administració","related","word","word",0.415177419127238
"valorar","admirar","related","word","word",0.436221139626556
"adolescent","adolescent","related","word","word",1
"pare","adult","related","word","word",0.169502554243111
"missatge","advertència","related","word","word",0.162636327443921
"acusador","advocat","related","word","word",NA
"impressionar","afalagar","related","word","word",NA
"esport","afició","related","word","word",0.19605196869871
"professional","aficionat","related","word","word",0.331971194809657
"amèrica","àfrica","related","word","word",0.664249409274184
"detectiva","agent","related","word","word",NA
"agraïr","agraida","related","word","word",NA
"xeringa","agulla","related","word","word",0.414241515352476
"oxígen","aire","related","word","word",NA
"mentider","ajeure's","related","word","word",NA
"ajudar","ajudar","related","word","word",1
"ajut","ajut","related","word","word",1
"contrairi","ajuts","related","word","word",NA
"cançó","àlbum","related","word","word",0.163393350646633
"droga","alcohol","related","word","word",0.29970480938041
"alarma","alerta","related","word","word",0.33976379642978
"cognom","àliar","related","word","word",NA
"menjar","alimentar","related","word","word",0.323567874079399
"ceba","all","related","word","word",0.302948086355972
"amant","amant","related","word","word",1
"ministeri","ambaixada","related","word","word",0.282463433636611
"pastor","ambaixador","related","word","word",0.247268337437423
"helicòpter","ambulància","related","word","word",0.424510762767904
"investigador","analista","related","word","word",0.316966372798797
"capitalisme","anarquia","related","word","word",NA
"psicologia","anatomia","related","word","word",0.469917194795728
"navegar","àncora","related","word","word",0.212179735681187
"camp de batalla","anfiteatre","related","word","word",NA
"diable","àngel","related","word","word",0.268847692791497
"francès","anglès","related","word","word",0.467648263903266
"humor","ànima","related","word","word",0.201023087521444
"aniversari","aniversari","related","word","word",1
"telèfon","anomenada","related","word","word",0.080944604100021
"desconegut","anònim","related","word","word",0.215906512317431
"vacuna","antídot","related","word","word",0.33270753212886
"deliciosa","apetitós","related","word","word",NA
"ensenyar","aprendre","related","word","word",0.355299377780162
"llunyà","aprop","related","word","word",0.271768107412999
"ací","aquí","related","word","word",0.40387199453015
"saber","ara","related","word","word",0.216850087240091
"insecte","aranya","related","word","word",0.170096514122239
"arbre","arbust","related","word","word",NA
"zona","àrea","related","word","word",0.441352670969809
"atrapar","arrabassar","related","word","word",0.265910647473407
"partença","arribada","related","word","word",NA
"venir","arribar","related","word","word",0.246690448330713
"armeria","arsenal","related","word","word",0.360428170642673
"literatura","art","related","word","word",0.320819240206061
"medalló","artefacte","related","word","word",0.306560268661163
"diari","article","related","word","word",0.44108666898286
"pintora","artista","related","word","word",NA
"cavall","ase","related","word","word",0.083761548828061
"morfina","aspirina","related","word","word",0.630182179890369
"assassí","assassí","related","word","word",1
"preocupar-se","assumpte","related","word","word",NA
"pilot","astronauta","related","word","word",0.369894597515326
"atreure","atenció","related","word","word",0.261539157908746
"horripilant","aterrar","related","word","word",0.153259650183268
"vol","aterratge","related","word","word",0.131597513354981
"nuclear","atòmic","related","word","word",0.537368007583674
"encantador","atractiva","related","word","word",0.278329512248698
"reduir","augmentar","related","word","word",0.373517395842483
"fotògraf","autògraf","related","word","word",0.770908014390957
"anàlisi","autòpsia","related","word","word",0.43302581378812
"actor","autor","related","word","word",0.486006619317478
"àvia","avi","related","word","word",0.231453403316486
"carrer","avinguda","related","word","word",0.12920600238966
"ahir","avui","related","word","word",0.244246270150716
"port","badia","related","word","word",0.314695794160154
"alt","baix","related","word","word",0.299120392704989
"disparar","bala","related","word","word",0.307080417140141
"dansa","ballarí","related","word","word",NA
"financer","banca","related","word","word",0.166178718405753
"símbol","bandera","related","word","word",0.308366506076071
"inversor","banquera","related","word","word",NA
"xiulet","banya","related","word","word",0.340982452281249
"restaurant","bar","related","word","word",0.362000695358267
"comissió","baró","related","word","word",0.15734507183554
"quarter general","base","related","word","word",NA
"futbol","bàsquet","related","word","word",0.468587255749625
"sí","bé","related","word","word",0.319889012415908
"animal","bèstia","related","word","word",0.21382301678056
"cervesa","beure","related","word","word",0.400452975900004
"llibre","bíblia","related","word","word",0.326661130599095
"museu","biblioteca","related","word","word",0.401730974808477
"cardinal","bisbe","related","word","word",NA
"negre","blanc","related","word","word",0.446668465846161
"bruixa","blasfemar","related","word","word",NA
"dolent","bo","related","word","word",0.351600825946408
"nas","boca","related","word","word",0.26702760003987
"estupidesa","bogeria","related","word","word",0.347228782762143
"idiota","boig","related","word","word",0.30228696079485
"explosiu","bomba","related","word","word",0.339499849297851
"mànega","bomba","related","word","word",0.345498114309507
"bonic","bonic","related","word","word",1
"sabata","bota","related","word","word",0.430249844629052
"tenda","botiga","related","word","word",0.355155591648615
"pressionar","botó","related","word","word",0.185386824767584
"alfa","bravo","related","word","word",0.39171448432847
"lluminós","brillar","related","word","word",0.427502249876055
"broma","broma","related","word","word",1
"plànol","brúixola","related","word","word",0.396970540350941
"inmmund","brut","related","word","word",NA
"repugnant","brut","related","word","word",0.366781798207339
"cruel","brutal","related","word","word",0.337101522929235
"ple","buit","related","word","word",0.207775926154653
"cartera","butxaca","related","word","word",0.310642097521515
"coberta","cabanya","related","word","word",0.270383187727194
"barba","cabell","related","word","word",0.351427619283609
"cable","cable","related","word","word",1
"pescar","cacera","related","word","word",0.261517468099008
"corda","cadena","related","word","word",0.176804536261478
"bossa","caixa","related","word","word",0.320448209820357
"segur","caixa forta","related","word","word",NA
"llista","calendari","related","word","word",0.250603568622652
"refredat","calent","related","word","word",0.304601552019367
"guai","calent","related","word","word",0.296809422408581
"bala","calibre","related","word","word",0.284528296236536
"temperatura","calor","related","word","word",0.335539990889119
"cambrera","cambrer","related","word","word",0.878153261122543
"micròfon","càmera","related","word","word",0.347974340704613
