Var1,Var2,Freq
"",,1026
ca-es,,1
cs-cz,,247
da-dk,,225
el-gr,,163
en-001,,3
en-150,,6
en-ag,,1
en-at,,4
en-be,,3
en-bs,,4
en-de,,6
en-dk,,7
en-hk,,2
en-im,,1
en-in,,7
en-nl,,2
en-pk,,19
en-si,,2
es-419,,27
es-us,,2
es-xl,,1
fr-cd,,1
he-il,,17
hu-hu,,198
hy-am,,1
it-it,,307
ja-jp,,100
nb-no,,27
nb-sj,,1
nl-nl,,56
nn-no,,1
pl-pl,,491
pt-pt,,707
ro-md,,2
ro-ro,,49
ru-by,,1
ru-kz,,4
ru-ru,,291
ru-ua,,1
sk-sk,,222
sl-si,,6
sr-cyrl-ba,,1
sr-cyrl-rs,,2
sr-latn,,1
sr-latn-rs,,18
th-th,,3
tr-tr,,254
uk-ua,,6
zh-hans-cn,,10
zh-hans-hk,,2
zh-hant-hk,,1
zh-hant-tw,,1
