"pt_cue","pt_target","type","cue_type","target_type","pt_cosine"
"suave","□ gentil","related","word","word",NA
"sair","abandono","related","word","word",0.181585262711095
"espinal","abdominal","related","word","word",0.608998896386838
"seqüestrar","abduct.","related","word","word",NA
"beijo","abraço","related","word","word",0.722312712229984
"refúgio","abrigo","related","word","word",0.685878963920576
"ridículo","absurdo","related","word","word",0.744015186755054
"piquenique","acampamento","related","word","word",0.315992828380549
"recusar","aceitar","related","word","word",0.65476593866983
"incidente","acidente","related","word","word",0.598072900645635
"baixa","acima","related","word","word",0.251390199132421
"concreto","aço","related","word","word",0.43180898946924
"escolta","acompanhar","related","word","word",0.368662980096512
"ocorrer","acontecer","related","word","word",0.673988257942483
"contrato","acordo","related","word","word",0.60216263796243
"confiar em","acreditam","related","word","word",NA
"reclamação","acusação","related","word","word",0.431937815960817
"extra","adicional","related","word","word",0.542325102829549
"gestão","administrativo","related","word","word",0.509513189137339
"adolescência","adolescente","related","word","word",0.570391103097853
"hormônio","adrenalina","related","word","word",0.494146331491948
"terminal","aeroporto","related","word","word",0.436457777064697
"banheiro","afundar","related","word","word",0.153819367415803
"empresa","agência","related","word","word",0.538189385614164
"calendário","agendar","related","word","word",0.330719530117604
"grato","agradecer","related","word","word",0.630193931360927
"já","ainda","related","word","word",0.579463139921902
"ajuda","ajudar","related","word","word",0.58323045468785
"alerta","alarme","related","word","word",0.453476479489858
"prazer","alegria","related","word","word",0.393751668597216
"bravo","alfa","related","word","word",0.497143168129852
"nada","algo","related","word","word",0.567364987896457
"seda","algodão","related","word","word",0.510095474275031
"motivo","álibi","related","word","word",0.418606588352348
"lanche","almoço","related","word","word",0.667229788876053
"majestade","alteza","related","word","word",0.702827147060716
"baixo","alto","related","word","word",0.517168210731316
"peso","altura","related","word","word",0.263421033775927
"ilusão","alucinação","related","word","word",0.513609429228422
"pôr do sol","alvorecer","related","word","word",NA
"amante","amante","related","word","word",1
"odiar","amar","related","word","word",0.649256362840856
"vermelho","amarelo","related","word","word",0.740243249643145
"susto","amedrontar","related","word","word",0.158796292606858
"áfrica","américa","related","word","word",0.636967003134447
"educado","amigáveis","related","word","word",0.303842930012275
"colega","amigo","related","word","word",0.624887645224596
"relação","amizade","related","word","word",0.437922176968693
"estreito","ampla","related","word","word",0.34113120247425
"autópsia","análise","related","word","word",0.547168313395816
"corre","andar","related","word","word",0.27062415028573
"orgulhoso","animado","related","word","word",0.454184906544542
"fera","animal","related","word","word",0.47003353502362
"aniversário","aniversário","related","word","word",1
"agarrar","apanhar","related","word","word",0.437170653399219
"casa","apartamento","related","word","word",0.572078763041982
"admirar","apreciar","related","word","word",0.566956266674354
"permissão","aprovação","related","word","word",0.488409528629725
"que","aquele","related","word","word",0.303433761577459
"cabo","arame","related","word","word",0.315689566152301
"cabine","área coberta","related","word","word",NA
"lama","areia","related","word","word",0.584215083619649
"pistola","arma","related","word","word",0.800788028755572
"rifle","arma de fogo","related","word","word",NA
"escudo","armaduras","related","word","word",0.45874042467379
"gabinete","armário de roupa","related","word","word",NA
"fazer compras","armazenar","related","word","word",NA
"engenheiro","arquiteto","related","word","word",0.52815256197912
"ignorância","arrogância","related","word","word",0.564817439480178
"arsenal.","arsenal","related","word","word",NA
"veia","artéria","related","word","word",0.62572537028498
"natural","artificial","related","word","word",0.390543948804794
"cavalaria","artilharia","related","word","word",0.518624639668647
"arbusto","árvore","related","word","word",0.521377024208025
"suicídio","assassinato","related","word","word",0.543533364908521
"mercenário","assassino","related","word","word",0.4016405673837
"assassino","assassino","related","word","word",1
"carimbo","assinatura","related","word","word",0.402658246668289
"apoio, suporte","assistência","related","word","word",NA
"secretário","assistente","related","word","word",0.326975177584742
"veja","assistir","related","word","word",0.214599730610749
"chifre","assobiar","related","word","word",0.199390794970541
"vítima","atacante","related","word","word",0.482757736345667
"invasão","ataque","related","word","word",0.485183401174341
"atirador","atirador de elite","related","word","word",NA
"tomada","atirar","related","word","word",0.0664353764970676
"opinião","atitude","related","word","word",0.458764506865293
"acionar","ativar","related","word","word",0.659268688860261
"ativo","atividade","related","word","word",0.382429646869444
"pacífico","atlântico","related","word","word",0.647578934229499
"meio ambiente","atmosfera","related","word","word",NA
"gesto","ato","related","word","word",0.551759956184934
"autor","ator","related","word","word",0.391035195409924
"atenção","atrai","related","word","word",0.363506152033123
"exposição","atuação","related","word","word",0.367710872526604
"fresco","atualizar","related","word","word",0.168298737343552
"presença","ausência","related","word","word",0.481258602606255
"jurisdição","autoridade","related","word","word",0.578683549222347
"observação","avaliação","related","word","word",0.517836080342384
"vô","avó","related","word","word",0.322692526265317
"castanho","azul","related","word","word",0.639915592753513
"brinde","bacon","related","word","word",0.194964488265154
"calibre","bala","related","word","word",0.529427546053853
"orquestra","banda","related","word","word",0.575017180212401
"chuveiro","banheiro","related","word","word",0.666681185946298
"caro","barato","related","word","word",0.602783699427822
"cabelo","barba","related","word","word",0.56517746084672
"submarino","barco","related","word","word",0.635933270489038
"equipe técnica","barco","related","word","word",NA
"clube","barra","related","word","word",0.0940907691515689
"estádio","baseball.","related","word","word",NA
"guerra","batalha","related","word","word",0.663821069916979
"regimento","batalhão","related","word","word",0.682934613587973
"canela","baunilha","related","word","word",0.655985735777782
"sóbrio","bêbado","related","word","word",0.558088845468458
"canto","beco","related","word","word",0.296968173071199
"charme","beleza","related","word","word",0.473722003959689
"milhão","bilhão","related","word","word",0.765075967914933
"química","biologia","related","word","word",0.572120970990425
"químico","biológico","related","word","word",0.562790320506407
"lábio","bochecha","related","word","word",0.596333572891996
"sobremesa","bolo","related","word","word",0.582087020493661
"copos","boné","related","word","word",0.246854219178898
"doce","bonitinho","related","word","word",0.364705095544044
"washington.","boston","related","word","word",NA
"mão","braço","related","word","word",0.518363591558543
"brilhar","brilhante","related","word","word",0.49187683881978
"boneca","brinquedo","related","word","word",0.435355700680702
"xingamento","bruxa","related","word","word",0.152775509660615
"magia","bruxo","related","word","word",0.454128701852537
"bunda","bunda","related","word","word",1
"corpo","cadáver","related","word","word",0.672005330622854
"tabela","cadeira","related","word","word",0.2511911168275
"xícara","café","related","word","word",0.574711718688862
"jantar","café da manhã","related","word","word",NA
"contar","calcular","related","word","word",0.181978198770852
"quieto","calma","related","word","word",0.434097976013219
