"uk_cue","uk_target","type","cue_type","target_type","uk_cosine"
"смішний","абсурдний","related","word","word",NA
"інцидент","аварія","related","word","word",0.366528947753732
"потяг","автобус","related","word","word",0.291800975635083
"фірма","агентство","related","word","word",0.331043592785168
"керівництво","адміністративний","related","word","word",NA
"гормон","адреналін","related","word","word",NA
"число","адреса","related","word","word",0.21923177371759
"термінал","аеропорт","related","word","word",0.392195038191719
"жест","акт","related","word","word",0.313022454253618
"тригер","активувати","related","word","word",NA
"автор","актор","related","word","word",0.627152867321468
"голос","акцент","related","word","word",0.290676551896147
"кут","алея","related","word","word",0.165703268977952
"мотив","алібі","related","word","word",0.243652401822792
"браво","альфа","related","word","word",0.395423297409453
"африка","америка","related","word","word",0.677543881779449
"аутопсія","аналіз","related","word","word",NA
"покарати","арешт","related","word","word",0.338614083687027
"легіон","армія","related","word","word",0.423342594054935
"вена","артерія","related","word","word",NA
"кавалерія","артилерія","related","word","word",NA
"інженер","архітектор","related","word","word",0.502669008999552
"вторгнення","атакувати","related","word","word",0.288853906115057
"тихоокеанський","атлантичний","related","word","word",NA
"середовище","атмосфера","related","word","word",0.284860800858803
"натовп","аудиторія","related","word","word",0.326136142225688
"дідусь","бабуся","related","word","word",0.465269095155234
"шовк","бавовна","related","word","word",NA
"бідний","багатий","related","word","word",0.567668105741944
"скарбниця","багатство","related","word","word",0.326325854821423
"бажання","бажання","related","word","word",1
"клуб","бар","related","word","word",0.401894633270424
"полк","батальйон","related","word","word",0.375124133058075
"дорослий","батько","related","word","word",0.196993498640277
"мама","батько","related","word","word",0.17044100362167
"одкровення","бачення","related","word","word",0.66996294992934
"нерозумний","безвідповідальний","related","word","word",NA
"безпека","безпека","related","word","word",1
"сейф","безпечний","related","word","word",0.13728905664987
"прямий","безпосередньо","related","word","word",0.352435053319695
"безпорадний","безсилий","related","word","word",NA
"стадіон","бейсбол","related","word","word",0.370502559142274
"тост","бекон","related","word","word",0.256261780518067
"супермен","бетмен","related","word","word",0.598435242472671
"війна","битва","related","word","word",0.549760322899416
"галузь","бізнес","related","word","word",0.392665486570246
"страждання","біль","related","word","word",0.220732863506053
"хімічний","біологічний","related","word","word",0.822062401453753
"хімія","біологія","related","word","word",0.755249925214257
"відчинено","близький","related","word","word",NA
"параноїд","божевільний","related","word","word",NA
"бог","божественний","related","word","word",NA
"волосся","борода","related","word","word",0.130748998086012
"бойовий","боротися","related","word","word",0.261194381448621
"зерно","борошно","related","word","word",NA
"керівник","бос","related","word","word",0.382518038720294
"вашингтон","бостон","related","word","word",0.499112230405705
"чувак","брат","related","word","word",0.162631360233087
"сестра","брат","related","word","word",0.297590620521066
"лежати","брехун","related","word","word",0.210526144923756
"щит","броня","related","word","word",0.291899414891347
"неприємний","брудний","related","word","word",0.599698563590886
"башта","будівля","related","word","word",NA
"будівельний","будувати","related","word","word",NA
"телеграма","буква","related","word","word",NA
"клітина","в'язниця","related","word","word",NA
"народження","вагітність","related","word","word",0.303767997152095
"цінний","важливий","related","word","word",0.549909186258204
"сенс","важливість","related","word","word",0.352079365310949
"антидот","вакцина","related","word","word",0.422113107988424
"портфель","валіза","related","word","word",0.280210706740733
"зомбі","вампір","related","word","word",0.409238562952472
"причіп","ван","related","word","word",NA
"кориця","ваніль","related","word","word",NA
"душ","ванна кімната","related","word","word",NA
"навантаження","вантаж","related","word","word",0.575246613873547
"джип","вантажівка","related","word","word",0.316743450213621
"шервок","ватсон","related","word","word",NA
"самогубство","вбивство","related","word","word",0.551601499754719
"убивця","вбивця","related","word","word",0.805523929297089
"найманця","вбивця","related","word","word",NA
"викинутий","вгору","related","word","word",NA
"відмінний","великий","related","word","word",0.361737058072094
"палець","великий палець","related","word","word",NA
"великий","величезний","related","word","word",0.638330636550503
"марс","венера","related","word","word",0.326516689189674
"клапан","вентиляція","related","word","word",NA
"швидка допомога","вертоліт","related","word","word",NA
"нижній","верхній","related","word","word",0.644931931469627
"залучення","весілля","related","word","word",0.386486237666505
"ніч","вечір","related","word","word",0.355547127479063
"завантажувати","взуття","related","word","word",NA
"вибирати","вибирати","related","word","word",1
"кампанія","вибори","related","word","word",NA
"кандидат","виборця","related","word","word",NA
"землетрус","вибух","related","word","word",0.421013362298867
"вибухнути","вибухнути","related","word","word",NA
"бомба","вибуховий","related","word","word",NA
"дослідження","вивчення","related","word","word",NA
"викрадати","вигнати","related","word","word",NA
"завиток","виграти","related","word","word",NA
"усунути","видалити","related","word","word",NA
"жити","вижити","related","word","word",NA
"концепція","визначення","related","word","word",NA
"студент","викладач","related","word","word",NA
"перешкода","виклик","related","word","word",NA
"висячий","виконання","related","word","word",NA
"застосовувати","використання","related","word","word",NA
"викрадач","викуп","related","word","word",NA
"ложка","вилка","related","word","word",NA
"захопити","виловити","related","word","word",NA
"чемпіон","винищувач","related","word","word",NA
"невинний","винним","related","word","word",NA
"прощати","виправдання","related","word","word",NA
"забруднення","випромінювання","related","word","word",NA
"диплом","випускник","related","word","word",NA
"створювати","виробляти","related","word","word",NA
"завод","виробництво","related","word","word",NA
"описувати","висловлювати","related","word","word",NA
"низький","високий","related","word","word",NA
"величність","високість","related","word","word",NA
"вага","висота","related","word","word",NA
"галерея","виставка","related","word","word",NA
"відходи","витрачати","related","word","word",NA
"вихід","вихід","related","word","word",NA
"понеділок","вівторок","related","word","word",NA
"прибуття","від'їзд","related","word","word",NA
"дна","відбиток пальця","related","word","word",NA
"вірність","відданість","related","word","word",NA
"двійник","відеоролик","related","word","word",NA
"залишати","відмовлятися","related","word","word",NA
"відповідь","відповідати","related","word","word",NA
"присутність","відсутність","related","word","word",NA
"враження","відчуття","related","word","word",NA
"прокляття","відьма","related","word","word",NA
"цивільний","військовий","related","word","word",NA
"снід","віл","related","word","word",NA
"вільно","вільний","related","word","word",NA
"надія","віра","related","word","word",NA
"довіра","вірити","related","word","word",NA
"лояльний","вірний","related","word","word",NA
"білок","вітамін","related","word","word",NA
"анкер","вітрило","related","word","word",NA
"точка","вказувати","related","word","word",NA
"юрисдикція","влада","related","word","word",NA
"майно","власник","related","word","word",NA
"ведмідь","вовка","related","word","word",NA
"пасажирський","водій","related","word","word",NA
"вуглець","водневий","related","word","word",NA
"солдат","воїн","related","word","word",NA
"портал","ворота","related","word","word",NA
"практика","вправа","related","word","word",NA
"лестити","вражати","related","word","word",NA
"сенсаційний","вражаючий","related","word","word",NA
"назовні","всередині","related","word","word",NA
"бігти","втеча","related","word","word",NA
"біженець","втікач","related","word","word",NA
"проспект","вулиця","related","word","word",NA
"око","вухо","related","word","word",NA
"геніальний","вчений","related","word","word",NA
"сьогодні","вчора","related","word","word",NA
"затока","гавань","related","word","word",NA
"стаття","газета","related","word","word",NA
"всесвіт","галактика","related","word","word",NA
"ілюзія","галюкування","related","word","word",NA
"кишеньковий","гаманець","related","word","word",NA
"бутерброд","гамбургер","related","word","word",NA
"семінар","гараж","related","word","word",NA
"баланс","гармонія","related","word","word",NA
"гарний","гарний","related","word","word",NA
"лесбійський","гей","related","word","word",NA
"кокаїн","героїн","related","word","word",NA
"заслуговувати","гідний","related","word","word",NA
"гордість","гідність","related","word","word",NA
"піаніно","гітара","related","word","word",NA
"національний","глобальний","related","word","word",NA
"сліпий","глухий","related","word","word",NA
"оголений","голий","related","word","word",NA
"втомлений","голодний","related","word","word",NA
"більшість","голосувати","related","word","word",NA
"марафон","гонка","related","word","word",NA
"пагорб","гора","related","word","word",NA
"мавпа","горила","related","word","word",NA
"віскі","горілка","related","word","word",NA
"грати","гра","related","word","word",NA
"красти","грабувати","related","word","word",NA
"тренер","гравець","related","word","word",NA
"кілограма","гран","related","word","word",NA
"барон","графиня","related","word","word",NA
"римський","грецький","related","word","word",NA
"блискавка","грім","related","word","word",NA
"готівка","гроші","related","word","word",NA
"листопад","грудень","related","word","word",NA
"шлунок","груди","related","word","word",NA
"банда","група","related","word","word",NA
"оркестр","група","related","word","word",NA
"пропозиція","давати","related","word","word",NA
"біля","далеко","related","word","word",NA
"комплімент","дар","related","word","word",NA
"вікно","двері","related","word","word",NA
"танк","двигун","related","word","word",NA
"свобода","демократія","related","word","word",NA
"протест","демонстрація","related","word","word",NA
"стрес","депресія","related","word","word",NA
"кущ","дерева","related","word","word",NA
"федеральний","держава","related","word","word",NA
"в іншому місці","десь","related","word","word",NA
"століття","десятиліття","related","word","word",NA
"агент","детектив","related","word","word",NA
"мужність","детермінація","related","word","word",NA
"дорочий","дешевий","related","word","word",NA
"ромео","джульєтта","related","word","word",NA
"відбиток","дзеркало","related","word","word",NA
"подивитися","дивитися","related","word","word",NA
"незвичайний","дивний","related","word","word",NA
"вражаючий","дивовижний","related","word","word",NA
"порох","динаміт","related","word","word",NA
"виробник","директор","related","word","word",NA
"дитина","дитина","related","word","word",NA
"молодь","дитинство","related","word","word",NA
"ангел","диявол","related","word","word",NA
"хлопчики","дівчата","related","word","word",NA
"активний","діяльність","related","word","word",NA
"вершина","дно","related","word","word",NA
"здравствуйте","до побачення","related","word","word",NA
"волонтер","добровільно","related","word","word",NA
"короткий","довго","related","word","word",NA
"розмір","довжина","related","word","word",NA
"поважання","довіра","related","word","word",NA
"додатковий","додатковий","related","word","word",NA
"дозволяти","дозволяє","related","word","word",NA
"докази","доказ","related","word","word",NA
"хірург","доктор","related","word","word",NA
"управляти","документ","related","word","word",NA
"фунт","долар","related","word","word",NA
"пустеля","долина","related","word","word",NA
"доля","доля","related","word","word",NA
"довідка","допомагати","related","word","word",NA
"підтримка","допомога","related","word","word",NA
"маршрут","доріжка","related","word","word",NA
"ідеальний","досконалий","related","word","word",NA
"аналітик","дослідник","related","word","word",NA
"достатньо","достатні","related","word","word",NA
"управляти","досягати успіху","related","word","word",NA
"прибуток","дохід","related","word","word",NA
"пінг","дрібний","related","word","word",NA
"кабель","дріт","related","word","word",NA
"колега","друг","related","word","word",NA
"відносини","дружба","related","word","word",NA
"чоловіка","дружина","related","word","word",NA
"ввічливий","дружній","related","word","word",NA
"надзвичайно","дуже","related","word","word",NA
"розглядати","думати","related","word","word",NA
"божевілля","дурість","related","word","word",NA
"наїзд","дурний","related","word","word",NA
"душа","дух","related","word","word",NA
"упертий","егоїстичний","related","word","word",NA
"модний","елегантний","related","word","word",NA
"струм","електрика","related","word","word",NA
"магнітний","електричний","related","word","word",NA
"фактор","елемент","related","word","word",NA
"психічний","емоційний","related","word","word",NA
"потужність","енергія","related","word","word",NA
"чума","епідемія","related","word","word",NA
"серія","епізод","related","word","word",NA
"вплив","ефект","related","word","word",NA
"корисний","ефективний","related","word","word",NA
"жалюгідний","жалюгідний","related","word","word",NA
"трюк","жарт","related","word","word",NA
"жахливий","жахливий","related","word","word",NA
"художник","живопис","related","word","word",NA
"вдова","жінка","related","word","word",NA
"чоловічий","жіночий","related","word","word",NA
"вересень","жовтень","related","word","word",NA
"червоний","жовтий","related","word","word",NA
"жорсткий","жорсткий","related","word","word",NA
"жорстокий","жорстокий","related","word","word",NA
"зло","жорстокість","related","word","word",NA
"проковтнути","жувати","related","word","word",NA
"плейбой","журнал","related","word","word",NA
"репортер","журналіст","related","word","word",NA
"дотепний","забавний","related","word","word",NA
"заборонений","забороняти","related","word","word",NA
"природно","загалом","related","word","word",NA
"назва","заголовок","related","word","word",NA
"відновлювати","загоюватися","related","word","word",NA
"нормально","зазвичай","related","word","word",NA
"кінець","закінчити","related","word","word",NA
"незаконний","законний","related","word","word",NA
"відкриття","закриття","related","word","word",NA
"перебування","залишати","related","word","word",NA
"уважність","залучати","related","word","word",NA
"замінити","замінник","related","word","word",NA
"палац","замку","related","word","word",NA
"ключ","замок","related","word","word",NA
"розтопити","заморожувати","related","word","word",NA
"забути","запам'ятати","related","word","word",NA
"смак","запах","related","word","word",NA
"рекорд","записування","related","word","word",NA
"попит","запит","related","word","word",NA
"запитання","запитувати","related","word","word",NA
"незнання","зарозумілість","related","word","word",NA
"пенсія","зарплата","related","word","word",NA
"дозвіл","затвердження","related","word","word",NA
"грип","захворювання","related","word","word",NA
"захищати","захищати","related","word","word",NA
"південний","західний","related","word","word",NA
"замкнений","зачинено","related","word","word",NA
"коментар","заява","related","word","word",NA
"збирати","збирати","related","word","word",NA
"пістолет","зброю","related","word","word",NA
"арсенал","зброя","related","word","word",NA
"гордий","збуджений","related","word","word",NA
"звичайний","звичайний","related","word","word",NA
"відставка","звільнення","related","word","word",NA
"шум","звук","related","word","word",NA
"потенціал","здатність","related","word","word",NA
"фронт","ззаду","related","word","word",NA
"літній","зима","related","word","word",NA
"визнавати","зізнатися","related","word","word",NA
"знаменитість","зірка","related","word","word",NA
"постріл","зйомка","related","word","word",NA
"ревнивий","злий","related","word","word",NA
"жертва","зловмисник","related","word","word",NA
"гріх","злочинність","related","word","word",NA
"містити","зміст","related","word","word",NA
"черв'як","змія","related","word","word",NA
"визнавати","знав","related","word","word",NA
"форма","знак","related","word","word",NA
"популярний","знаменитий","related","word","word",NA
"зараз","знання","related","word","word",NA
"досвід","знання","related","word","word",NA
"пошук","знаходження","related","word","word",NA
"смерть","зникнення","related","word","word",NA
"внутрішній","зовнішній","related","word","word",NA
"площа","зона","related","word","word",NA
"капсула","зонд","related","word","word",NA
"шпигун","зрадник","related","word","word",NA
"нарешті","зрештою","related","word","word",NA
"усвідомлювати","зрозуміти","related","word","word",NA
"цвях","зубний","related","word","word",NA
"конференція","зустріч","related","word","word",NA
"подивитися","зустрічатися","related","word","word",NA
"лялька","іграшка","related","word","word",NA
"дурень","ідіот","related","word","word",NA
"їжа","їжа","related","word","word",NA
"привід","їздити","related","word","word",NA
"імперський","імператор","related","word","word",NA
"династія","імперія","related","word","word",NA
"доза","ін'єкція","related","word","word",NA
"банкір","інвестор","related","word","word",NA
"фінансування","інвестувати","related","word","word",NA
"людина","індивідуальний","related","word","word",NA
"курятина","індичка","related","word","word",NA
"обстеження","інспекція","related","word","word",NA
"інструмент","інструмент","related","word","word",NA
"особистий","інтимний","related","word","word",NA
"інстинкт","інтуїція","related","word","word",NA
"вірус","інфекція","related","word","word",NA
"джерело","інформатор","related","word","word",NA
"дані","інформація","related","word","word",NA
"аналогічний","інший","related","word","word",NA
"іронія","іронічний","related","word","word",NA
"годувати","їсти","related","word","word",NA
"ймовірність","ймовірно","related","word","word",NA
"вводити","йти","related","word","word",NA
"чашка","кава","related","word","word",NA
