"word_combo","sk_cue","sk_target","type","cue_type","target_type","sk_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"absolútnedokusoch","absolútne","dokusoch","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolútneolúpiť","absolútne","olúpiť","unrelated","word","word",0.1452807362808,1.05373603800861,1.07188875237974,0.405135867417726,7,7,9,0,0.777777777777778,9,9,0,1,FALSE,FALSE,FALSE
"absolútneúplne","absolútne","úplne","related","word","word",0.536932949272553,-0.79778707216433,0.267322448645462,0.0891074828818205,9,9,11,0,0.818181818181818,9,11,0,0.818181818181818,FALSE,FALSE,FALSE
"absosmiešnečaroovplyvnica","absosmiešne","čaroovplyvnica","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absosmiešnenaučiť","absosmiešne","naučiť","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acevdúšok","acev","dúšok","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acevprábaš","acev","prábaš","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoprenierálna","adoprenie","rálna","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoprenieverný","adoprenie","verný","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaamerika","afrika","amerika","related","word","word",0.592001360043602,-0.815369326340975,0.330880860432067,0.09976433312392,11,13,14,0,0.928571428571429,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"afrikaoceľ","afrika","oceľ","unrelated","word","word",0.142139381604176,-0.59950631397297,0.391596098583425,0.17512709923125,5,5,6,1,0.833333333333333,6,6,1,1,FALSE,FALSE,FALSE
"afrikavýrociam","afrika","výrociam","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agenšport","agen","šport","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentdetektív","agent","detektív","related","word","word",0.366443056945208,0.0282258374146507,1.58200894881897,0.559324627803846,8,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"agentdirýchlo","agent","dirýchlo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentzápadný","agent","západný","unrelated","word","word",0.144608709602356,-0.682643332529444,0.408169069832729,0.0816338139665459,25,27,27,0,1,24,27,0,0.888888888888889,FALSE,FALSE,FALSE
"agenzávzacniť","agen","závzacniť","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agómaamerika","agóma","amerika","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agómaúden","agóma","úden","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
