"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abajoarriba","abajo","arriba","related","word","word",0.855572093602845,-0.924257440799172,0.38198827084449,0.0876341194857355,19,19,19,0,1,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"abajoenduoz","abajo","enduoz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abajofútbol","abajo","fútbol","unrelated","word","word",0.122040711512369,-0.683789986743213,0.672443325088691,0.0809526633426333,69,70,70,0,1,66,70,0,0.942857142857143,TRUE,TRUE,TRUE
"abareconfesar","abare","confesar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abarepemur","abare","pemur","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcalutamentecapíver","abcalutamente","capíver","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcalutamentecoche","abcalutamente","coche","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abejaclob","abeja","clob","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abejahormiga","abeja","hormiga","related","word","word",0.62515154004941,-0.617908421032455,1.17960174185575,0.15103252659062,61,62,62,1,1,60,62,1,0.967741935483871,FALSE,TRUE,TRUE
"abejaretirar","abeja","retirar","unrelated","word","word",0.0540576242246325,-0.303559918382272,0.583016286512326,0.0759022554251238,59,62,65,1,0.953846153846154,59,65,1,0.907692307692308,TRUE,TRUE,TRUE
"ablondercombuñero","ablonder","combuñero","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablondertemperatura","ablonder","temperatura","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abogadobaile","abogado","baile","unrelated","word","word",0.0607665575837784,-0.394246095973943,0.695156945410163,0.114283097843716,37,38,39,0,0.974358974358974,36,39,0,0.923076923076923,FALSE,FALSE,FALSE
"abogadofiscal","abogado","fiscal","related","word","word",0.552454044393976,-0.211947868888823,0.976411360160514,0.136724938145147,51,52,54,1,0.962962962962963,51,54,1,0.944444444444444,FALSE,TRUE,TRUE
"abogadonaredar","abogado","naredar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abosuedocaminar","abosuedo","caminar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abosuedoevocinación","abosuedo","evocinación","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrircerrar","abrir","cerrar","related","word","word",0.766509682954511,-0.195259467949044,1.09862162382806,0.491318526486148,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"abrircumpleaca","abrir","cumpleaca","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipo","abrir","equipo","unrelated","word","word",0.0633153944791076,-0.397998914191898,1.12177632840284,0.146042838558833,59,62,63,1,0.984126984126984,59,63,1,0.936507936507937,FALSE,TRUE,TRUE
"absolutamenteafengancia","absolutamente","afengancia","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.677747615086265,-0.407981142885772,0.328238773284726,0.0796095960397703,17,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"absolutamenterobar","absolutamente","robar","unrelated","word","word",0.0450080244589127,-0.408420489082468,0.904290272283789,0.109661303201312,68,73,73,1,1,73,73,1,1,FALSE,TRUE,TRUE
"abueloabuela","abuelo","abuela","related","word","word",0.745065084356621,-0.936655115401267,0.638214256552144,0.0817149621376293,61,61,62,0,0.983870967741935,58,62,0,0.935483870967742,TRUE,TRUE,TRUE
"abuelofetemática","abuelo","fetemática","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abuelovainilla","abuelo","vainilla","unrelated","word","word",0.0705155889003707,-0.348846683775661,0.682517398560966,0.109290250971418,39,40,41,1,0.975609756097561,41,41,1,1,FALSE,FALSE,FALSE
"abuesoconexión","abueso","conexión","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abuesozarrota","abueso","zarrota","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aburamanipular","abura","manipular","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aburavañiso","abura","vañiso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acaizembarazo","acaiz","embarazo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acaizplamuficación","acaiz","plamuficación","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acamparpesadamente","acampar","pesadamente","unrelated","word","word",0.0720230757222629,1.55868543696229,1.34586827698464,0.347501694863358,15,17,19,2,0.894736842105263,17,19,2,0.894736842105263,FALSE,FALSE,FALSE
"acamparpoblado","acampar","poblado","related","word","word",0.275388269877401,-0.233831055609862,1.05938875921958,0.134542506963462,62,63,64,0,0.984375,51,64,0,0.796875,FALSE,TRUE,TRUE
"acamparsosvachar","acampar","sosvachar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acánimodestillo","acánimo","destillo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acánimovaliente","acánimo","valiente","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentalmenteintencionalmente","accidentalmente","intencionalmente","related","word","word",0.510761210461292,0.125678867582214,0.987924468252472,0.137000474098838,52,55,55,2,1,50,55,2,0.909090909090909,FALSE,TRUE,TRUE
"accidentalmenteJusman","accidentalmente","Jusman","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentalmenteregreso","accidentalmente","regreso","unrelated","word","word",0.101654056299379,-0.444710559149146,0.758773806219792,0.132085565587324,33,33,34,0,0.970588235294118,33,34,0,0.970588235294118,FALSE,FALSE,FALSE
"acejaBoston","aceja","Boston","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acejagatidor","aceja","gatidor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aclinacumpleaños","aclina","cumpleaños","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aclinagetoral","aclina","getoral","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnivomensaje","acnivo","mensaje","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnivotriunje","acnivo","triunje","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acouadicional","acou","adicional","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acoucicañor","acou","cicañor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actirbiñal","actir","biñal","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actirenorme","actir","enorme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activoactividad","activo","actividad","related","word","word",0.441750151807585,-0.637621912315364,0.681971357673919,0.0839448712212825,66,69,69,0,1,67,69,0,0.971014492753623,TRUE,TRUE,TRUE
"activocizdad","activo","cizdad","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activocubierta","activo","cubierta","unrelated","word","word",0.118215170633757,-0.597882907857685,0.68571618514589,0.101103335704984,46,49,50,0,0.98,49,50,0,0.98,FALSE,TRUE,FALSE
"actualactualizar","actual","actualizar","related","word","word",0.406994637884567,-0.30205733488665,0.820391978083525,0.290052365466953,8,9,9,1,1,9,9,1,1,FALSE,FALSE,FALSE
"actualmelgo","actual","melgo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actualsalvar","actual","salvar","unrelated","word","word",0.102828485294731,-0.797870614340693,0.580202091904754,0.0846311732027476,47,50,50,1,1,50,50,1,1,TRUE,TRUE,FALSE
"acugarcosta","acugar","costa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acugaremarme","acugar","emarme","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acustiremocional","acustir","emocional","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acustirtrovu","acustir","trovu","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adeltivoatar","adeltivo","atar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adeltivofivar","adeltivo","fivar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adispardrimoso","adispar","drimoso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adisparpoblado","adispar","poblado","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admiblarmuvor","admiblar","muvor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
