"word_combo","cs_cue","cs_target","type","cue_type","target_type","cs_cosine","M_Z","SD_Z","SE_Z","sampleN","done_both","done","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_totalN"
"absochvalněbibsy","absochvalně","bibsy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absochvalněexterní","absochvalně","externí","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutněokrást","absolutně","okrást","unrelated","word","word",0.101146167647047,-0.212233709754974,0.649526818836677,0.0781938401877392,69,TRUE,TRUE,73,76,1,0.960526315789474,73,76,1,0.960526315789474,TRUE
"absolutněprůtě","absolutně","průtě","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutnězcela","absolutně","zcela","related","word","word",0.593528008634948,-0.563476446206702,0.418583836630435,0.0486593826246166,74,TRUE,TRUE,80,82,3,0.975609756097561,78,80,5,0.975,TRUE
"afrikaamerika","afrika","amerika","related","word","word",0.623935567058892,-0.791581642495815,0.330506115416518,0.0413132644270648,64,TRUE,TRUE,75,76,3,0.986842105263158,72,77,2,0.935064935064935,TRUE
"afrikahenus","afrika","henus","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikapřitahovat","afrika","přitahovat","unrelated","word","word",0.0942095367780848,-0.0220661722257366,0.782828136556318,0.0978535170695397,64,FALSE,TRUE,69,73,7,0.945205479452055,68,74,6,0.918918918918919,TRUE
"agenginálnáhrvštěvník","agenginál","náhrvštěvník","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agenginálulice","agenginál","ulice","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentdetektiv","agent","detektiv","related","word","word",0.52313960273812,-0.44369658507619,0.69189965654923,0.087171163020965,63,TRUE,TRUE,68,69,1,0.985507246376812,64,69,1,0.927536231884058,TRUE
"agentpobre","agent","pobre","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentzápadní","agent","západní","unrelated","word","word",0.0764034957115673,-0.280436104510429,1.05266456613504,0.125817480547718,70,FALSE,TRUE,76,77,4,0.987012987012987,69,75,6,0.92,TRUE
"agsarpoděkomiksy","agsar","poděkomiksy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agsarrodina","agsar","rodina","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahcádveře","ahcá","dveře","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahcápolešení","ahcá","polešení","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahojna shledanou","ahoj","na shledanou","related","word","word",NA,0.00230849752807768,0.936108028104008,0.106679410511228,77,FALSE,TRUE,82,85,4,0.964705882352941,84,86,3,0.976744186046512,TRUE
"ahojpodpír","ahoj","podpír","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahojústava","ahoj","ústava","unrelated","word","word",0.0620076728048068,-0.512974583410869,0.579281207041547,0.0724101508801933,64,TRUE,TRUE,70,71,4,0.985915492957746,69,71,4,0.971830985915493,TRUE
"aičoobskvělý","aičo","obskvělý","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aičoparanormální","aičo","paranormální","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aidshiv","aids","hiv","related","word","word",0.686343399288292,0.648906344323844,1.53099446462854,0.185660349702925,68,FALSE,TRUE,73,104,6,0.701923076923077,51,106,4,0.481132075471698,TRUE
"aidsrestaurace","aids","restaurace","unrelated","word","word",0.10444859325506,-0.0580534112090947,1.02626183375327,0.127292114168621,65,FALSE,TRUE,67,72,3,0.930555555555556,35,71,4,0.492957746478873,TRUE
