"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abhoarselyinvestibling","abhoarsely","investibling","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abhoarselystill","abhoarsely","still","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutelycompletely","absolutely","completely","related","word","word",0.623705129487914,-0.444926281642246,0.719451893145345,0.0444478863969287,262,294,301,7,0.976744186046512,290,301,7,0.963455149501661,TRUE,TRUE,TRUE
"absolutelydolted","absolutely","dolted","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutelyrob","absolutely","rob","unrelated","word","word",0.1194109302294,-0.160726323989027,0.752834159037311,0.0493198055879536,233,255,285,6,0.894736842105263,274,285,6,0.96140350877193,TRUE,TRUE,TRUE
"accidenshilyattibler","accidenshily","attibler","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidenshilyleft","accidenshily","left","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentallyintentionally","accidentally","intentionally","related","word","word",0.579188820690093,-0.175740723534958,0.754999789608844,0.0471874868505528,256,290,297,5,0.976430976430976,290,297,5,0.976430976430976,TRUE,TRUE,TRUE
"accidentallypreporacy","accidentally","preporacy","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentallyreturn","accidentally","return","unrelated","word","word",0.101390045893246,-0.283363321080581,0.949162624524437,0.0586394627757966,262,284,293,3,0.969283276450512,286,293,3,0.976109215017065,TRUE,TRUE,TRUE
"accistbracker","accist","bracker","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
