"word_combo","ja_cue","ja_target","type","cue_type","target_type","ja_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"アーティファム―提案する","アーティファム―","提案する","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アーティファム―禍估小","アーティファム―","禍估小","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アウトスチン","アウト","スチン","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アウトだいたい","アウト","だいたい","related","word","word",0.862612446817307,0.302526559195463,0.762300840271357,0.0931298700882963,67,76,87,1,0.873563218390805,74,85,3,0.870588235294118,FALSE,TRUE,TRUE
"アウト決定","アウト","決定","unrelated","word","word",0.673108153648668,-0.644693594136889,0.643844518854693,0.0901562656962823,51,55,59,8,0.932203389830508,54,59,8,0.915254237288136,FALSE,TRUE,TRUE
"あきへはへ人工的な","あきへはへ","人工的な","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"あきへはへ埋囲","あきへはへ","埋囲","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アクティブアクティビティ","アクティブ","アクティビティ","related","word","word",0,0.325084141465549,0.821292351555032,0.10692315684583,59,65,73,4,0.89041095890411,65,73,4,0.89041095890411,FALSE,TRUE,TRUE
"アクティブ上","アクティブ","上","unrelated","word","word",0.655580498634343,-0.442455110864452,0.481467655238022,0.0575463916009632,70,75,80,1,0.9375,77,80,1,0.9625,TRUE,TRUE,TRUE
"アクティブ禅揚","アクティブ","禅揚","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アスピリンモルヒネ","アスピリン","モルヒネ","related","word","word",0.912324267547588,-0.150477593864068,0.556585363224082,0.0685109222165258,66,73,82,4,0.890243902439024,63,83,3,0.759036144578313,TRUE,TRUE,TRUE
"アスピリンレホ","アスピリン","レホ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アスピリン中尉","アスピリン","中尉","unrelated","word","word",0.948454433850719,0.473409555923946,1.1768829415603,0.157267598273476,56,59,72,3,0.819444444444444,61,73,2,0.835616438356164,FALSE,TRUE,TRUE
"アゾ位置","アゾ","位置","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アゾ妖軽りの","アゾ","妖軽りの","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"あだ名冊梯","あだ名","冊梯","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"あだ名売る","あだ名","売る","unrelated","word","word",0,-0.710694007527698,0.408194635340262,0.0477755683995305,73,83,88,2,0.943181818181818,81,87,3,0.931034482758621,TRUE,TRUE,TRUE
"あだ名姓","あだ名","姓","related","word","word",0.826594710574939,-0.439883299599586,0.514085061197923,0.0686975059521908,56,63,63,4,1,57,63,4,0.904761904761905,TRUE,TRUE,TRUE
"アドあおおーバル","アドあ","おおーバル","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アドあプロフェッショナル","アドあ","プロフェッショナル","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アヒ禁段","アヒ","禁段","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アヒ首","アヒ","首","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アフリカアメリカ","アフリカ","アメリカ","related","word","word",0.824735790457083,-0.587272292367714,0.489041228346895,0.0588736454686534,69,77,79,0,0.974683544303797,76,79,0,0.962025316455696,TRUE,TRUE,TRUE
"アフリカ十ク","アフリカ","十ク","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"アフリカ救う","アフリカ","救う","unrelated","word","word",0.758916398075898,-0.448019123740821,0.436501202058143,0.0545626502572678,64,77,82,2,0.939024390243902,78,81,3,0.962962962962963,TRUE,TRUE,TRUE
