"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"anόχοςμιγαίνω","anόχος","μιγαίνω","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anόχοςπρωτάθλημα","anόχος","πρωτάθλημα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aύμαελεύθερος","aύμα","ελεύθερος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aύμαράταρτο","aύμα","ράταρτο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chτρικόςκοιλάδα","chτρικός","κοιλάδα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chτρικόςλιγοτάρι","chτρικός","λιγοτάρι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuχτάμαρχονέζα","cuχτά","μαρχονέζα","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuχτάστάση","cuχτά","στάση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dvdβίντεο","dvd","βίντεο","related","word","word",0.505184096904713,-0.488914153190968,0.379428134329006,0.0894320689190002,18,18,18,1,1,10,18,1,0.555555555555556,FALSE,FALSE,FALSE
"dvdότι","dvd","ότι","unrelated","word","word",0.131083366580897,-0.365553619130191,0.453877880003,0.094640080202293,23,24,26,0,0.923076923076923,16,26,0,0.615384615384615,FALSE,FALSE,FALSE
"dvdτιτιότητα","dvd","τιτιότητα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiμάγυναίκα","fiμά","γυναίκα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiμάέμπουςς","fiμά","έμπουςς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joίξηδομή","joίξη","δομή","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joίξησπουκείος","joίξη","σπουκείος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kiμυσίααβώνυμο","kiμυσία","αβώνυμο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kiμυσίαβοηθός","kiμυσία","βοηθός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kαλητήςενάνος","kαλητής","ενάνος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kαλητήςπαπάς","kαλητής","παπάς","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orράκαφές","orρά","καφές","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orράφρίκωνς","orρά","φρίκωνς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oυάσιγκτoνβιολογικός","oυάσιγκτoν","βιολογικός","unrelated","word","word",NA,0.141531715329793,0.676675003330517,0.174716734579596,15,18,19,0,0.947368421052632,10,19,0,0.526315789473684,FALSE,FALSE,FALSE
"oυάσιγκτoνβοστώνη","oυάσιγκτoν","βοστώνη","related","word","word",NA,0.225390721012925,1.14336668133452,0.249503064966947,21,21,22,1,0.954545454545455,15,23,0,0.652173913043478,FALSE,FALSE,FALSE
"oυάσιγκτoντρόμοιω","oυάσιγκτoν","τρόμοιω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reχτυλόεπιστήμη","reχτυλό","επιστήμη","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reχτυλόκάμισταση","reχτυλό","κάμισταση","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saνικόςέξεννος","saνικός","έξεννος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saνικόςπλατύς","saνικός","πλατύς","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ufoδολοφότες","ufo","δολοφότες","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
