"word_combo","zh_hk_cue","zh_hk_target","type","cue_type","target_type","zh_hk_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"一千一百","一千","一百","related","word","word",0.981612243071696,-0.809247141754496,0.276602583374269,0.0874694170149312,10,11,11,0,1,9,11,0,0.818181818181818,FALSE,FALSE,FALSE
"一千曱有","一千","曱有","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一千表親","一千","表親","unrelated","word","word",0.952430950910804,0.774093864356825,0.336184653259446,0.194096300056762,3,4,5,0,0.8,4,5,0,0.8,FALSE,FALSE,FALSE
"一半四分之一","一半","四分之一","related","word","word",0.939521079188345,-0.540033203512515,0.0684605766836134,0.0484089380169247,2,2,3,0,0.666666666666667,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"一半抵抗","一半","抵抗","unrelated","word","word",NA,-0.597464336459677,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"一半巡笨","一半","巡笨","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一條三個","一條","三個","related","word","word",0.957447291699788,2.58017800335516,4.70450109376302,3.32658462549936,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"一條割捷","一條","割捷","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一條酷刑","一條","酷刑","unrelated","word","word",NA,-0.54573590750848,0.609834872846015,0.431218373993453,2,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"一般尋找","一般","尋找","unrelated","word","word",0.964136282660176,-0.378599445690189,0.716563103845816,0.506686629877457,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"一般岳亡","一般","岳亡","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般通常","一般","通常","related","word","word",0.951937858339375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一鬆屁股","一鬆","屁股","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一鬆布時天","一鬆","布時天","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"丈夫妻子","丈夫","妻子","related","word","word",0.895244663782376,NA,NA,NA,NA,0,0,1,NA,0,0,1,NA,FALSE,FALSE,NA
"丈夫自由派","丈夫","自由派","unrelated","word","word",NA,-0.622075728829243,0.12671330640347,0.0633566532017349,4,7,7,2,1,7,7,2,1,FALSE,FALSE,FALSE
"丈夫長磁","丈夫","長磁","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三文治使用","三文治","使用","unrelated","word","word",NA,-0.543623647694514,0.771115966863208,0.344853544088322,5,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"三文治歸樓","三文治","歸樓","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三文治漢堡包","三文治","漢堡包","related","word","word",NA,-0.561740159828306,0.458051559279107,0.152683853093036,9,10,10,0,1,9,10,0,0.9,FALSE,FALSE,FALSE
"上上辱偉大","上上辱","偉大","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上上辱割捷","上上辱","割捷","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上儀再見","上儀","再見","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
