"word_combo","de_cue","de_target","type","cue_type","target_type","de_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abendessenfrühstück","abendessen","frühstück","related","word","word",0.712240680802583,-0.566164506262893,0.726105906100331,0.0801849833026188,82,84,85,0,0.988235294117647,84,85,0,0.988235294117647,TRUE,TRUE,TRUE
"abendessenhauptquarbung","abendessen","hauptquarbung","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abendessensicherheit","abendessen","sicherheit","unrelated","word","word",0.0892428878994265,-0.609082116853566,0.618735148120901,0.0679150056631021,83,85,85,1,1,85,85,1,1,TRUE,TRUE,TRUE
"aberfessenaktividenz","aberfessen","aktividenz","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberfessenwirklich","aberfessen","wirklich","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abfallausgeben","abfall","ausgeben","related","word","word",0.175651579912036,-0.182553617499289,0.766586138449907,0.0799221297415789,92,95,97,1,0.979381443298969,94,96,2,0.979166666666667,TRUE,TRUE,TRUE
"abfallbobtern","abfall","bobtern","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abfallgerichtsverhandlung","abfall","gerichtsverhandlung","unrelated","word","word",0.0215124563193695,1.13693347237659,0.917135836172711,0.106614875362416,74,77,80,2,0.9625,78,80,2,0.975,FALSE,TRUE,TRUE
"ablehnenakzeptieren","ablehnen","akzeptieren","related","word","word",0.513031664614077,-0.512367772408165,0.498321629993896,0.0553690699993218,81,86,87,0,0.988505747126437,82,87,0,0.942528735632184,TRUE,TRUE,TRUE
"ablehnenhoch","ablehnen","hoch","unrelated","word","word",0.101356703139201,-0.542737297877708,1.0676606309618,0.134512595911392,63,67,67,3,1,65,67,3,0.970149253731343,FALSE,TRUE,TRUE
"ablehnenprinoi","ablehnen","prinoi","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abondmarkegeben","abondmarke","geben","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abondmarkewegge","abondmarke","wegge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abschnittabsatz","abschnitt","absatz","related","word","word",0.523772248896627,-0.479626032634833,0.816713803396167,0.0891107815518623,84,85,87,2,0.977011494252874,83,87,2,0.954022988505747,TRUE,TRUE,TRUE
"abschnittbrüment","abschnitt","brüment","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abschnittkrieger","abschnitt","krieger","unrelated","word","word",0.0823531366156081,-0.393885565956262,0.651361351707338,0.0679091152953399,92,93,98,1,0.948979591836735,95,98,1,0.969387755102041,TRUE,TRUE,TRUE
"absobillmilliarde","absobill","milliarde","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absobilltagge","absobill","tagge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutlesatzer","absolut","lesatzer","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutrauben","absolut","rauben","unrelated","word","word",0.0845586004953618,-0.490094825219617,0.734987964535833,0.0792557904870493,86,89,89,2,1,88,89,2,0.98876404494382,TRUE,TRUE,TRUE
