"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"anόχοςμιγαίνω","anόχος","μιγαίνω","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anόχοςπρωτάθλημα","anόχος","πρωτάθλημα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aύμαελεύθερος","aύμα","ελεύθερος","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aύμαράταρτο","aύμα","ράταρτο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chτρικόςκοιλάδα","chτρικός","κοιλάδα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chτρικόςλιγοτάρι","chτρικός","λιγοτάρι","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuχτάμαρχονέζα","cuχτά","μαρχονέζα","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuχτάστάση","cuχτά","στάση","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dvdβίντεο","dvd","βίντεο","related","word","word",0.505184096904713,-0.493011030485531,0.369170039192003,0.0846934154642574,19,19,19,1,1,10,19,1,0.526315789473684,FALSE,FALSE,FALSE
"dvdότι","dvd","ότι","unrelated","word","word",0.131083366580897,-0.32155794949418,0.578963700842278,0.113544123394487,26,27,29,0,0.931034482758621,17,29,0,0.586206896551724,FALSE,FALSE,FALSE
"dvdτιτιότητα","dvd","τιτιότητα","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiμάγυναίκα","fiμά","γυναίκα","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fiμάέμπουςς","fiμά","έμπουςς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joίξηδομή","joίξη","δομή","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"joίξησπουκείος","joίξη","σπουκείος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kiμυσίααβώνυμο","kiμυσία","αβώνυμο","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kiμυσίαβοηθός","kiμυσία","βοηθός","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kαλητήςενάνος","kαλητής","ενάνος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kαλητήςπαπάς","kαλητής","παπάς","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orράκαφές","orρά","καφές","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orράφρίκωνς","orρά","φρίκωνς","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oυάσιγκτoνβιολογικός","oυάσιγκτoν","βιολογικός","unrelated","word","word",NA,0.0647258118673401,0.656227113734505,0.154674214040048,18,21,22,0,0.954545454545455,13,22,0,0.590909090909091,FALSE,FALSE,FALSE
"oυάσιγκτoνβοστώνη","oυάσιγκτoν","βοστώνη","related","word","word",NA,0.180410982318648,1.13558156034876,0.242106802146578,22,22,23,1,0.956521739130435,16,24,0,0.666666666666667,FALSE,FALSE,FALSE
"oυάσιγκτoντρόμοιω","oυάσιγκτoν","τρόμοιω","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reχτυλόεπιστήμη","reχτυλό","επιστήμη","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reχτυλόκάμισταση","reχτυλό","κάμισταση","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saνικόςέξεννος","saνικός","έξεννος","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saνικόςπλατύς","saνικός","πλατύς","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ufoδολοφότες","ufo","δολοφότες","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
