"word_combo","sr_cue","sr_target","type","cue_type","target_type","sr_cosine","M_Z","SD_Z","sr_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"aeраефикарлос","aeра","ефикарлос","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeранестанак","aeра","нестанак","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojлолечење","ojло","лечење","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojлоудобција","ojло","удобција","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojпехпројектил","ojпех","пројектил","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ojпехруним","ojпех","руним","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yeдосећање","yeд","осећање","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yeдсао","yeд","сао","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аберсвло","абер","свло","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аберхладан","абер","хладан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абрицврата","абриц","врата","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"абрицјастукда","абриц","јастукда","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авенијависочанлност","авенија","височанлност","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"авенијаручак","авенија","ручак","unrelated","word","word",0.33476255361179,-0.709457293805129,0.45554176510483,0.131503580355196,12,14,14,0,1,12,14,0,0.857142857142857,FALSE,FALSE,FALSE
"авенијаулица","авенија","улица","related","word","word",0.575889458806157,-0.7582493925882,0.616636197213378,0.154159049303345,16,16,16,0,1,12,16,0,0.75,FALSE,FALSE,FALSE
"агенрањеакцеквог","агенрање","акцеквог","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агенрањеигра","агенрање","игра","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"агентвеома","агент","веома","unrelated","word","word",0.303722251993742,-0.758568615170495,0.371158060594582,0.0851494988532804,19,20,20,1,1,20,20,1,1,FALSE,FALSE,FALSE
"агентдетектив","агент","детектив","related","word","word",0.496881979835068,-0.45472773395636,0.434916857533209,0.0972503658004846,20,20,20,0,1,19,20,0,0.95,FALSE,FALSE,FALSE
"агентдокурвин","агент","докурвин","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокатпојединац","адвокат","појединац","unrelated","word","word",0.42920132350414,-0.342621377146673,0.851080864599837,0.300902525348327,8,8,8,0,1,8,8,0,1,FALSE,FALSE,FALSE
"адвокатсимлавој","адвокат","симлавој","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвокаттужилац","адвокат","тужилац","related","word","word",0.586541302213935,-0.54740986248881,0.495944602167627,0.11377749486543,19,22,22,1,1,22,22,1,1,FALSE,FALSE,FALSE
"адвопиммговити","адвопим","мговити","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адвопимпрезиме","адвопим","презиме","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адресатиоставина","адресати","оставина","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"адресатихитан случај","адресати","хитан случај","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аеравпоглас","аерав","поглас","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"аеравпредузетник","аерав","предузетник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајепзатвор","ајеп","затвор","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајепистомити","ајеп","истомити","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајкулавиљурург","ајкула","виљурург","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ајкулазаједница","ајкула","заједница","unrelated","word","word",0.421560047391702,-0.704927681225372,0.504153351362933,0.100830670272587,25,28,29,0,0.96551724137931,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"ајкулариба","ајкула","риба","related","word","word",0.564122628040843,-0.880509309513279,0.558429451864012,0.131623084075776,18,19,19,1,1,19,19,1,1,FALSE,FALSE,FALSE
"акт ташнакофер","акт ташна","кофер","related","word","word",NA,-0.163514059691933,0.593030522702397,0.148257630675599,16,17,17,1,1,4,18,0,0.222222222222222,FALSE,FALSE,FALSE
"акт ташнаспособност","акт ташна","способност","unrelated","word","word",NA,0.0958225672301273,0.755750947793264,0.188937736948316,16,17,18,1,0.944444444444444,4,19,0,0.210526315789474,FALSE,FALSE,FALSE
"акт ташнаубрза","акт ташна","убрза","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"активанактивност","активан","активност","related","word","word",0.629353917373316,-0.65853423509527,0.332362011613121,0.0888274839882343,14,14,14,0,1,14,14,0,1,FALSE,FALSE,FALSE
"активанјезац","активан","језац","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"активанмотор","активан","мотор","unrelated","word","word",0.438570842819103,-0.891683789367956,0.39627521872716,0.0886098326872528,20,20,20,1,1,19,20,1,0.95,FALSE,FALSE,FALSE
"актистимборба","актистим","борба","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актистимфрамнути","актистим","фрамнути","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актостишпедог","актостиш","педог","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"актостишсвештеник","актостиш","свештеник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алатинструмент","алат","инструмент","related","word","word",0.49838362206986,-0.508502752250594,0.545954613051244,0.151420565494797,13,14,15,0,0.933333333333333,15,15,0,1,FALSE,FALSE,FALSE
"алатмишљаоја","алат","мишљаоја","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"алатнос","алат","нос","unrelated","word","word",0.447403688586249,-0.737928148744056,1.05124277009462,0.291562285425921,13,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"албершавањевентилација","албершавање","вентилација","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"албершавањеодсупруг","албершавање","одсупруг","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"албумжена","албум","жена","unrelated","word","word",0.342356594354958,-0.864268298715222,0.573640465790519,0.139128248916637,17,19,19,1,1,19,19,1,1,FALSE,FALSE,FALSE
"албумогромдржати","албум","огромдржати","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"албумпесма","албум","песма","related","word","word",0.490233932972108,-0.668436719773942,1.11560714696192,0.20716304642783,29,32,32,2,1,32,32,2,1,FALSE,FALSE,FALSE
