"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"一三","一","三","related","word","word",0.774655994802897,0.517549959959188,1.62063108793373,0.236393339862677,47,51,56,4,0.910714285714286,32,45,15,0.711111111111111,FALSE,TRUE,FALSE
"一丝中","一","丝中","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松和援","一松","和援","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松脸颊","一松","脸颊","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般地态","一般","地态","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般睡梦","一般","睡梦","unrelated","word","word",NA,0.191539742443331,1.26619499653099,0.202753467151746,39,47,51,2,0.92156862745098,47,52,1,0.903846153846154,FALSE,TRUE,FALSE
"一般通常","一般","通常","related","word","word",0.734443081075779,-0.513212083933778,0.449703393255702,0.0655959816338173,47,52,52,1,1,49,52,1,0.942307692307692,TRUE,TRUE,FALSE
"一表现","一","表现","unrelated","word","word",0.509686512050833,0.194352353739256,1.2938219055166,0.202061034198412,41,49,50,0,0.98,28,42,8,0.666666666666667,FALSE,TRUE,FALSE
"万公美丽","万公","美丽","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"万公降不","万公","降不","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
