"word_combo","fr_cue","fr_target","type","cue_type","target_type","fr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abdolledépenront","abdolle","dépenront","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abdollenez","abdolle","nez","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeillecompette","abeille","compette","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeillefourmi","abeille","fourmi","related","word","word",0.52499457384056,-0.38651111240202,0.956647319570128,0.138080146868337,48,50,50,1,1,49,49,2,1,FALSE,TRUE,FALSE
"abeilleretirer","abeille","retirer","unrelated","word","word",0.128217315748873,0.913160698506138,2.82435376150473,0.729245005473739,15,15,15,1,1,15,15,1,1,FALSE,FALSE,FALSE
"ableboston","able","boston","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablechejou","able","chejou","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablepêture","able","pêture","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abletraître","able","traître","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolumentchausté","absolument","chausté","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolumentcomplètement","absolument","complètement","related","word","word",0.438245297981234,-0.592483283188386,0.411104842700481,0.106146813954945,15,15,15,0,1,15,15,0,1,FALSE,FALSE,FALSE
"absolumentdérober","absolument","dérober","unrelated","word","word",0.120982964032593,-0.200052600736449,0.491782855004774,0.0843400638306623,34,35,36,0,0.972222222222222,34,36,0,0.944444444444444,FALSE,FALSE,FALSE
"accidentellementgorgée","accidentellement","gorgée","unrelated","word","word",0.114951109745348,-0.19117658318115,0.728921021709887,0.13091808025787,31,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"accidentellementintentionnellement","accidentellement","intentionnellement","related","word","word",0.549733495120296,0.0745261167170123,0.557761540402472,0.121713546601405,21,22,22,0,1,21,22,0,0.954545454545455,FALSE,FALSE,FALSE
"accidentellementquateille","accidentellement","quateille","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accipontelletriquescérébral","accipontelletriques","cérébral","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accipontelletriquestruel","accipontelletriques","truel","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accladéterminageuses","accla","déterminageuses","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acclapère","accla","père","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheminalmagazine","acheminal","magazine","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheminalprosgérer","acheminal","prosgérer","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achetercomité","acheter","comité","unrelated","word","word",0.08416037489482,-0.135467517096054,0.69363199280135,0.122617971439443,32,35,36,0,0.972222222222222,35,36,0,0.972222222222222,FALSE,FALSE,FALSE
"acheterdippétère","acheter","dippétère","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achetervendre","acheter","vendre","related","word","word",0.693497581152787,-0.887558801396238,0.385749917504825,0.0534938887334481,52,53,53,2,1,53,53,2,1,TRUE,TRUE,TRUE
"aciecomité","acie","comité","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aciedibouche","acie","dibouche","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnuaitcoltées","acnuait","coltées","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnuaitenvoyer","acnuait","envoyer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actifactivité","actif","activité","related","word","word",0.472190341969602,-0.594014256515281,0.477679555272601,0.0872119558939465,30,31,31,0,1,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"actifnurez","actif","nurez","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actifpont","actif","pont","unrelated","word","word",0.0676888474842643,-0.37893231395244,0.376230153026024,0.0645229389319127,34,34,34,1,1,33,34,1,0.970588235294118,FALSE,FALSE,FALSE
"adgrammefugitif","adgramme","fugitif","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adgrammeganihe","adgramme","ganihe","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adilesnoisattaque","adilesnois","attaque","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adilesnoiscatas","adilesnois","catas","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adjatecréapagne","adjate","créapagne","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adjateinspection","adjate","inspection","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admettreavouer","admettre","avouer","related","word","word",0.721573151013603,-0.565084380033035,0.444856886882654,0.0889713773765309,25,25,25,1,1,24,25,1,0.96,FALSE,FALSE,FALSE
"admettremission","admettre","mission","unrelated","word","word",0.131463795556665,-0.488538724450991,0.522430782396884,0.102457105920894,26,29,29,0,1,27,29,0,0.931034482758621,FALSE,FALSE,FALSE
"admettresiom","admettre","siom","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administrationétace","administration","étace","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
