"word_combo","ro_cue","ro_target","type","cue_type","target_type","ro_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"a cotacolport","a cotacol","port","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a cotacolstratesă","a cotacol","stratesă","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a inghgdonelimina","a inghgdon","elimina","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a inghgdonpratodraz","a inghgdon","pratodraz","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a opedofdocucţie","a opedof","docucţie","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a opedofeșec","a opedof","eșec","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a operaemoţiocumpărare","a opera","emoţiocumpărare","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a operaintervenție chirurgicală","a opera","intervenție chirurgicală","related","word","word",NA,1.20093097557688,1.45008652634795,0.232199678321729,39,39,42,0,0.928571428571429,42,42,0,1,FALSE,FALSE,FALSE
"a operastradă","a opera","stradă","unrelated","word","word",NA,-0.562667045899851,0.642078950935758,0.123568151721251,27,27,27,0,1,27,27,0,1,FALSE,FALSE,FALSE
"a seamarinăcowboy","a seamarină","cowboy","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a seamarinălocotegoric","a seamarină","locotegoric","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a sphapsbroasțumire","a sphaps","broasțumire","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a sphapssuprafaţă","a sphaps","suprafaţă","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a udalidepozit de arme","a udali","depozit de arme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a udaliîn jrşti","a udali","în jrşti","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a ulișplimbare","a uliș","plimbare","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a ulișreamantă","a uliș","reamantă","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a-și da seamainpracti","a-și da seama","inpracti","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a-și da seamaînțelege","a-și da seama","înțelege","related","word","word",NA,-0.600678516992772,0.440060299148704,0.0984004743095395,20,20,20,0,1,20,20,0,1,FALSE,FALSE,FALSE
"a-și da seamaminister","a-și da seama","minister","unrelated","word","word",NA,0.115304177595293,0.978205980373997,0.188255828697276,27,29,32,2,0.90625,28,31,3,0.903225806451613,FALSE,FALSE,FALSE
"abinicnuntă","abinic","nuntă","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abinicsupravitress","abinic","supravitress","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutcomplet","absolut","complet","related","word","word",0.545900582507094,-0.77956132015337,0.468991745940411,0.0829068109687457,32,32,32,0,1,32,32,0,1,FALSE,FALSE,FALSE
"absolutjefui","absolut","jefui","unrelated","word","word",0.120156126394383,-0.212590270752845,0.473157109655687,0.0788595182759478,36,36,39,0,0.923076923076923,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"absolutstralţime","absolut","stralţime","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absonecieveniment","absoneci","eveniment","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
